TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10-18-2012	
77380SGMGN9186S	1311209132935	000075058	ACETONITRILE	TRI	Pounds																		2011	NO	SIGMA LIFE SCIENCES	9186 SIX PINES, SUITE 100	THE WOODLANDS	MONTGOMERY	TX	77380	YES	NO	NO	NO								325998						30.1721	-95.461218	175342625								SIGMA-ALDRICH CORP	175342625	0		NA												NO	SCOTT.SAMPLE@SIAL.COM			NO	 	
77380SGMGN9186S	1311209132947	000075092	DICHLOROMETHANE	TRI	Pounds																		2011	NO	SIGMA LIFE SCIENCES	9186 SIX PINES, SUITE 100	THE WOODLANDS	MONTGOMERY	TX	77380	YES	NO	NO	NO								325998						30.1721	-95.461218	175342625								SIGMA-ALDRICH CORP	175342625	0		NA												NO	SCOTT.SAMPLE@SIAL.COM			NO	 	
77380SGMGN9186S	1311209132950	000068122	N,N-DIMETHYLFORMAMIDE	TRI	Pounds																		2011	NO	SIGMA LIFE SCIENCES	9186 SIX PINES, SUITE 100	THE WOODLANDS	MONTGOMERY	TX	77380	YES	NO	NO	NO								325998						30.1721	-95.461218	175342625								SIGMA-ALDRICH CORP	175342625	0		NA												NO	SCOTT.SAMPLE@SIAL.COM			NO	 	
75968PNLNDFM246	1311209124092	N420	LEAD COMPOUNDS	PBT	Pounds																		2011	NO	TEMPLE-INLAND PINELAND COMPLEX	FM 2426 1 DENNING ST	PINELAND	SABINE	TX	75968	YES	NO	NO	NO								321113						31.244778	-93.965417	069634525								TEMPLE-INLAND INC	103844346	0		NA												NO	PATMILLER@TEMPLEINLAND.COM			YES	 	
75968PNLNDFM246	1311209124104	000067561	METHANOL	TRI	Pounds																		2011	NO	TEMPLE-INLAND PINELAND COMPLEX	FM 2426 1 DENNING ST	PINELAND	SABINE	TX	75968	YES	NO	NO	NO								321113						31.244778	-93.965417	069634525								TEMPLE-INLAND INC	103844346	0		NA												NO	PATMILLER@TEMPLEINLAND.COM			NO	 	
78550STHTX8600E	1311209124914	007782505	CHLORINE	TRI	Pounds																		2011	NO	SOUTH TEXAS CHLORINE INC	8600 E HARRISON BLDG.	HARLINGEN	CAMERON	TX	78550	YES	NO	NO	NO								325181						26.197306	-97.606972	089605000										0		NA												NO	DANIELB@AOCTX.COM			NO	 	
78945LCRFY6549P	1311209112642	N040	BARIUM COMPOUNDS	TRI	Pounds																		2011	NO	LCRA FAYETTE POWER PROJECT	6549 POWER PLANT RD	LA GRANGE	FAYETTE	TX	78945	YES	NO	NO	NO								221112						29.899462	-96.756447	043226885								LOWER COLORADO RIVER AUTHORITY/CITYOFAUSTIN	043226885	0		NA												NO	JERRY.WHITE@LCRA.ORG			YES	 	
78945LCRFY6549P	1311209112655	N090	CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)	TRI	Pounds																		2011	NO	LCRA FAYETTE POWER PROJECT	6549 POWER PLANT RD	LA GRANGE	FAYETTE	TX	78945	YES	NO	NO	NO								221112						29.899462	-96.756447	043226885								LOWER COLORADO RIVER AUTHORITY/CITYOFAUSTIN	043226885	0		NA												NO	JERRY.WHITE@LCRA.ORG			YES	 	
78945LCRFY6549P	1311209112667	N100	COPPER COMPOUNDS	TRI	Pounds																		2011	NO	LCRA FAYETTE POWER PROJECT	6549 POWER PLANT RD	LA GRANGE	FAYETTE	TX	78945	YES	NO	NO	NO								221112						29.899462	-96.756447	043226885								LOWER COLORADO RIVER AUTHORITY/CITYOFAUSTIN	043226885	0		NA												NO	JERRY.WHITE@LCRA.ORG			YES	 	
78945LCRFY6549P	1311209112679	N150	DIOXIN AND DIOXIN-LIKE COMPOUNDS	DIOXIN	Grams																		2011	NO	LCRA FAYETTE POWER PROJECT	6549 POWER PLANT RD	LA GRANGE	FAYETTE	TX	78945	YES	NO	NO	NO								221112						29.899462	-96.756447	043226885								LOWER COLORADO RIVER AUTHORITY/CITYOFAUSTIN	043226885	0		NA												NO	JERRY.WHITE@LCRA.ORG			NO	 	
