TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 9 MISCELLANEOUS INFORMATION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	20-NOV-13	
36105HGRHN150FO	1312210359206	N090	CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)	TRI	2012	HAGER COS	150 FOLMAR PKWY	MONTGOMERY	MONTGOMERY	AL	36105	YES	NO	NO	NO								332510						32.263	-86.3684	006274765										Updated analytical.	NO	AFISCHER@HAGERCO.COM			YES	 	
36105HGRHN150FO	1312210359257	N495	NICKEL COMPOUNDS	TRI	2012	HAGER COS	150 FOLMAR PKWY	MONTGOMERY	MONTGOMERY	AL	36105	YES	NO	NO	NO								332510						32.263	-86.3684	006274765										Updated waste analytical results.	NO	AFISCHER@HAGERCO.COM			YES	 	
36867WTCCRSTATE	1312210443139	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	2012	CONTINENTAL CARBON CO PHENIX CITY	1500 E STATE DOCKS RD	PHENIX CITY	RUSSELL	AL	36869	YES	NO	NO	NO								325182						32.433844	-84.977731									CONTINENTAL CARBON CO	008076697	Year 2011 reports were for an economically depressed environment, production and sales levels were depressed.  Yr. 2012 had higher production and sales.  The reporting of gaseous emissions is based on a destructive efficiency (DE) of 98% which is the minimal level of DE.  Stack testing demonstrates DE levels of >99.9%.  TRI data is based on lowest and worst case DE.	NO	GJOHNSTONE@CONTINENTALCARBON.COM			NO	 	
36867WTCCRSTATE	1312210443127	007783064	HYDROGEN SULFIDE	TRI	2012	CONTINENTAL CARBON CO PHENIX CITY	1500 E STATE DOCKS RD	PHENIX CITY	RUSSELL	AL	36869	YES	NO	NO	NO								325182						32.433844	-84.977731									CONTINENTAL CARBON CO	008076697	EPA announced that beginning with the 2012 reporting year (reports due July 1, 2013), the facilities were required to submit TRI reports for hydrogen sulfide.	NO	GJOHNSTONE@CONTINENTALCARBON.COM			NO	 	
36867WTCCRSTATE	1312210443089	000191242	BENZO(G,H,I)PERYLENE	PBT	2012	CONTINENTAL CARBON CO PHENIX CITY	1500 E STATE DOCKS RD	PHENIX CITY	RUSSELL	AL	36869	YES	NO	NO	NO								325182						32.433844	-84.977731									CONTINENTAL CARBON CO	008076697	Year 2011 reports were for an economically depressed environment, production and sales levels were depressed.  Yr. 2012 had higher production and sales.  The reporting of gaseous emissions is based on a destructive efficiency (DE) of 98% which is the minimal level of DE.  Stack testing demonstrates DE levels of >99.9%.  TRI data is based on lowest and worst case DE.	NO	GJOHNSTONE@CONTINENTALCARBON.COM			NO	 	
36867WTCCRSTATE	1312210443103	000463581	CARBONYL SULFIDE	TRI	2012	CONTINENTAL CARBON CO PHENIX CITY	1500 E STATE DOCKS RD	PHENIX CITY	RUSSELL	AL	36869	YES	NO	NO	NO								325182						32.433844	-84.977731									CONTINENTAL CARBON CO	008076697	Year 2011 reports were for an economically depressed environment, production and sales levels were depressed.  Yr. 2012 had higher production and sales.  The reporting of gaseous emissions is based on a destructive efficiency (DE) of 98% which is the minimal level of DE.  Stack testing demonstrates DE levels of >99.9%.  TRI data is based on lowest and worst case DE.	NO	GJOHNSTONE@CONTINENTALCARBON.COM			NO	 	
36867WTCCRSTATE	1312210443091	000075150	CARBON DISULFIDE	TRI	2012	CONTINENTAL CARBON CO PHENIX CITY	1500 E STATE DOCKS RD	PHENIX CITY	RUSSELL	AL	36869	YES	NO	NO	NO								325182						32.433844	-84.977731									CONTINENTAL CARBON CO	008076697	Year 2011 reports were for an economically depressed environment, production and sales levels were depressed.  Yr. 2012 had higher production and sales.  The reporting of gaseous emissions is based on a destructive efficiency (DE) of 98% which is the minimal level of DE.  Stack testing demonstrates DE levels of >99.9%.  TRI data is based on lowest and worst case DE.	NO	GJOHNSTONE@CONTINENTALCARBON.COM			NO	 	
36867WTCCRSTATE	1312210443115	000074908	HYDROGEN CYANIDE	TRI	2012	CONTINENTAL CARBON CO PHENIX CITY	1500 E STATE DOCKS RD	PHENIX CITY	RUSSELL	AL	36869	YES	NO	NO	NO								325182						32.433844	-84.977731									CONTINENTAL CARBON CO	008076697	Year 2011 reports were for an economically depressed environment, production and sales levels were depressed.  Yr. 2012 had higher production and sales.  The reporting of gaseous emissions is based on a destructive efficiency (DE) of 98% which is the minimal level of DE.  Stack testing demonstrates DE levels of >99.9%.  TRI data is based on lowest and worst case DE.	NO	GJOHNSTONE@CONTINENTALCARBON.COM			NO	 	
36701HMMRMRIVER	1312210361604	000091203	NAPHTHALENE	TRI	2012	INTERNATIONAL PAPER - RIVERDALE MILL	601 COUNTY RD 78	SELMA	DALLAS	AL	36703	YES	NO	NO	NO								322121						32.42522	-86.871582	001385988								INTERNATIONAL PAPER CO	001316561	|TARL:The corporate air emissions database was updated with current emission factors between 2011 and 2012.  Also, sume Bugs" were fixed with the database.  2012 data is more accurate of actual emissions and 2011 was overestimated.	NO	KENNETH.TROSPER@IPAPER.COM			NO	 	
36701HMMRMRIVER	1312210361578	N450	MANGANESE COMPOUNDS	TRI	2012	INTERNATIONAL PAPER - RIVERDALE MILL	601 COUNTY RD 78	SELMA	DALLAS	AL	36703	YES	NO	NO	NO								322121						32.42522	-86.871582	001385988								INTERNATIONAL PAPER CO	001316561	|TARL:Improvements in the corporate air emision database yielded more accurate data for 2012.  Improvements included fixing "bugs" and updating MCASI data.	NO	KENNETH.TROSPER@IPAPER.COM			YES	 	
