TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10-18-2012	
3281WFLRDR2858S	1311209124078	007439921	LEAD	TRI	Pounds																		2011	NO	FLORIDA ROCK INDUSTRIES INC CARDER ROAD BLOCK PLANT	2858 SIDNEY AVE	ORLANDO	ORANGE	FL	32810	YES	NO	NO	NO								327331						28.607529	-81.415368	009857855								VULCAN MATERIALS CO	805344798	0		NA												NO	UPCHURCHD@VMCMAIL.COM			YES	 	
32955NTRTL47547	1311209142025	N100	COPPER COMPOUNDS	TRI	Pounds																		2011	NO	SOUTHEAST WOOD	475 CARVER RD	ROCKLEDGE	BREVARD	FL	32955	YES	NO	NO	NO								321114						28.276832	-80.696293	037489747								SOUTHEAST WOOD		0		NA												NO	LANCE.LEE@SEWOODTREATING.COM			YES	 	
33860MCFRTHIGHW	1311209139258	N420	LEAD COMPOUNDS	PBT	Pounds																		2011	NO	MOSAIC FERTILIZER LLC - NEW WALES PLANT	3095 COUNTY RD 640 W	MULBERRY	POLK	FL	338601100	YES	NO	NO	NO								325312						27.838488	-82.055023	064696107								MOSAIC FERTILIZER LLC	064696107	0		NA												NO				YES	 	
33860MCFRTHIGHW	1311209139233	007664417	AMMONIA	TRI	Pounds																		2011	NO	MOSAIC FERTILIZER LLC - NEW WALES PLANT	3095 COUNTY RD 640 W	MULBERRY	POLK	FL	338601100	YES	NO	NO	NO								325312						27.838488	-82.055023	064696107								MOSAIC FERTILIZER LLC	064696107	0		NA												NO				NO	 	
33860MCFRTHIGHW	1311209139245	007664393	HYDROGEN FLUORIDE	TRI	Pounds																		2011	NO	MOSAIC FERTILIZER LLC - NEW WALES PLANT	3095 COUNTY RD 640 W	MULBERRY	POLK	FL	338601100	YES	NO	NO	NO								325312						27.838488	-82.055023	064696107								MOSAIC FERTILIZER LLC	064696107	0		NA												NO				NO	 	
33860GRCCHSTATE	1311209139272	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	Pounds																		2011	NO	MOSAIC FERTILIZER LLC - SOUTH PIERCE PLANT	7450 COUNTY RD 630	MULBERRY	POLK	FL	338601100	YES	NO	NO	NO								325312						27.766586	-81.380436	064696107								MOSAIC FERTILIZER LLC	064696107	0		NA												NO				NO	 	
33860GRCCHSTATE	1311209139296	007664939	SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY)	TRI	Pounds																		2011	NO	MOSAIC FERTILIZER LLC - SOUTH PIERCE PLANT	7450 COUNTY RD 630	MULBERRY	POLK	FL	338601100	YES	NO	NO	NO								325312						27.766586	-81.380436	064696107								MOSAIC FERTILIZER LLC	064696107	0		NA												NO				NO	 	
33860MCFRTHIGHW	1311209139260	N458	MERCURY COMPOUNDS	PBT	Pounds																		2011	NO	MOSAIC FERTILIZER LLC - NEW WALES PLANT	3095 COUNTY RD 640 W	MULBERRY	POLK	FL	338601100	YES	NO	NO	NO								325312						27.838488	-82.055023	064696107								MOSAIC FERTILIZER LLC	064696107	0		NA												NO				YES	 	
33860MCFRTHIGHW	1311209139284	N511	NITRATE COMPOUNDS	TRI	Pounds																		2011	NO	MOSAIC FERTILIZER LLC - NEW WALES PLANT	3095 COUNTY RD 640 W	MULBERRY	POLK	FL	338601100	YES	NO	NO	NO								325312						27.838488	-82.055023	064696107								MOSAIC FERTILIZER LLC	064696107	0		NA												NO				NO	 	
33860MCFRTHIGHW	1311209139308	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	Pounds																		2011	NO	MOSAIC FERTILIZER LLC - NEW WALES PLANT	3095 COUNTY RD 640 W	MULBERRY	POLK	FL	338601100	YES	NO	NO	NO								325312						27.838488	-82.055023	064696107								MOSAIC FERTILIZER LLC	064696107	0		NA												NO				NO	 	
33860MCFRTHIGHW	1311209139310	007664939	SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY)	TRI	Pounds																		2011	NO	MOSAIC FERTILIZER LLC - NEW WALES PLANT	3095 COUNTY RD 640 W	MULBERRY	POLK	FL	338601100	YES	NO	NO	NO								325312						27.838488	-82.055023	064696107								MOSAIC FERTILIZER LLC	064696107	0		NA												NO				NO	 	
33860MCFRTHIGHW	1311209139322	N770	VANADIUM COMPOUNDS	TRI	Pounds																		2011	NO	MOSAIC FERTILIZER LLC - NEW WALES PLANT	3095 COUNTY RD 640 W	MULBERRY	POLK	FL	338601100	YES	NO	NO	NO								325312						27.838488	-82.055023	064696107								MOSAIC FERTILIZER LLC	064696107	0		NA												NO				YES	 	
32501RZNCH411SO	1311209140502	000100414	ETHYLBENZENE	TRI	Pounds																		2011	NO	ARIZONA CHEMICAL CO LLC	411 S PACE BLVD	PENSACOLA	ESCAMBIA	FL	32502	YES	NO	NO	NO								325211						30.407331	-87.241972	139305197								ARIZONA CHEMICAL CO LLC		0		NA												NO	MICHAEL.BRANTLEY@AZCHEM.COM			NO	 	
32501RZNCH411SO	1311209140514	000108952	PHENOL	TRI	Pounds																		2011	NO	ARIZONA CHEMICAL CO LLC	411 S PACE BLVD	PENSACOLA	ESCAMBIA	FL	32502	YES	NO	NO	NO								325211						30.407331	-87.241972	139305197								ARIZONA CHEMICAL CO LLC		0		NA												NO	MICHAEL.BRANTLEY@AZCHEM.COM			NO	 	
32501RZNCH411SO	1311209140526	001330207	XYLENE (MIXED ISOMERS)	TRI	Pounds																		2011	NO	ARIZONA CHEMICAL CO LLC	411 S PACE BLVD	PENSACOLA	ESCAMBIA	FL	32502	YES	NO	NO	NO								325211						30.407331	-87.241972	139305197								ARIZONA CHEMICAL CO LLC		0		NA												NO	MICHAEL.BRANTLEY@AZCHEM.COM			NO	 	
