TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10-18-2012	
03839TXTLTGEORG	1311209001989	000108883	TOLUENE	TRI	Pounds																		2011	NO	TEXTILE TAPES CORP	104 PICKERING RD	GONIC	STRAFFORD	NH	038397334	YES	NO	NO	NO								313320						43.270955	-70.971597									JAEGER AUSTRIA HOLDING GESMBH		0		NA												NO	J.SIMMERS-TTC@TTLC.NET			NO	 	
03055HTCHNOLDWI	1311209671167	007664417	AMMONIA	TRI	Pounds																		2011	NO	HITCHINER MANUFACTURING CO INC	OLD WILTON RD	MILFORD	HILLSBOROUGH	NH	030552001	YES	NO	NO	NO								331512						42.83966	-71.70009	001078682								HITCHINER MANUFACTURING CO INC	001078682	0		NA												NO	TIM_SULLIVAN@HITCHINER.COM			NO	 	
03867TLDYN20IND	1311209226758	007439965	MANGANESE	TRI	Pounds																		2011	NO	LAARS HEATING SYSTEMS	20 INDUSTRIAL WAY	ROCHESTER	STRAFFORD	NH	03867	YES	NO	NO	NO								333414						43.312507	-70.998914									BRADFORD WHITE CORP	157297540	0		NA												NO	AJACKSON@LAARS.COM			YES	 	
03867TLDYN20IND	1311209226745	007440508	COPPER	TRI	Pounds																		2011	NO	LAARS HEATING SYSTEMS	20 INDUSTRIAL WAY	ROCHESTER	STRAFFORD	NH	03867	YES	NO	NO	NO								333414						43.312507	-70.998914									BRADFORD WHITE CORP	157297540	0		NA												NO	AJACKSON@LAARS.COM			YES	 	
03867TLDYN20IND	1311209226760	007440020	NICKEL	TRI	Pounds																		2011	NO	LAARS HEATING SYSTEMS	20 INDUSTRIAL WAY	ROCHESTER	STRAFFORD	NH	03867	YES	NO	NO	NO								333414						43.312507	-70.998914									BRADFORD WHITE CORP	157297540	0		NA												NO	AJACKSON@LAARS.COM			YES	 	
03867TLDYN20IND	1311209226733	007440473	CHROMIUM	TRI	Pounds																		2011	NO	LAARS HEATING SYSTEMS	20 INDUSTRIAL WAY	ROCHESTER	STRAFFORD	NH	03867	YES	NO	NO	NO								333414						43.312507	-70.998914									BRADFORD WHITE CORP	157297540	0		NA												NO	AJACKSON@LAARS.COM			YES	 	
03878GNRLL130MA	1311209541200	007440508	COPPER	TRI	Pounds																		2011	NO	GE CO	130 MAIN ST	SOMERSWORTH	STRAFFORD	NH	03878	YES	NO	NO	NO								335311	334515					43.259257	-70.862083	001091073								GENERAL ELECTRIC CO (GE CO)	001367960	0		NA												NO	MARIA.ROGERS@GE.COM			YES	 	
03878GNRLL130MA	1311209541212	N420	LEAD COMPOUNDS	PBT	Pounds																		2011	NO	GE CO	130 MAIN ST	SOMERSWORTH	STRAFFORD	NH	03878	YES	NO	NO	NO								335311	334515					43.259257	-70.862083	001091073								GENERAL ELECTRIC CO (GE CO)	001367960	0		NA												NO	MARIA.ROGERS@GE.COM			YES	 	
03878GNRLL130MA	1311209541224	N982	ZINC COMPOUNDS	TRI	Pounds																		2011	NO	GE CO	130 MAIN ST	SOMERSWORTH	STRAFFORD	NH	03878	YES	NO	NO	NO								335311	334515					43.259257	-70.862083	001091073								GENERAL ELECTRIC CO (GE CO)	001367960	0		NA												NO	MARIA.ROGERS@GE.COM			YES	 	
03103NYLTC333SU	1311209588033	N982	ZINC COMPOUNDS	TRI	Pounds																		2011	NO	NYLON CORP OF AMERICA	333 SUNDIAL AVE	MANCHESTER	HILLSBOROUGH	NH	031037230	YES	NO	NO	NO								325211						42.970815	-71.471872	105731673										166	M2	MANCHESTER WASTEWATER TREATMENT FACILITY	300 WINSTON STREET	MANCHESTER	NH	HILLSBOROUGH	03103							NO				YES	 	
