TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ADDITION INFORMATION - SOURCE REDUCTION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
20695WLDRF6309T	1307205912619	000100425	STYRENE	TRI	2007	WALDORF MARBLE INC	4317 CHARLES CROSSING DR	WHITE PLAINS	CHARLES	MD	20695	YES	NO	NO	NO								326191						38.5913	-76.9464	083987057								WALDORF MARBLE INC	083987057	WE ARE TRYING NEW LOW HAP PRODUCTS AS THEY ARE AVAILABLE TO REDUCE STYRENE EMISSIONS. THIS IS MY SECOND YEAR TO REPORT VIA COMPUTER. IT HAS BEEN VERY DIFFICULT SINCE I AM COMPUTER SLOW, PLEASE TAKE THIS INTO CONSIDERATION WHEN YOU REVIEW MY STATS. I HAVE MANUAL PAPERWORK TO SUPPORT THEM ,AND I APOLOGIZE FOR BEING LATE. PLEASE FORGIVE ME.	NO	PAULWALDORFMARBLE@GMAIL.COM			NO	
20774NWDWN16001	1307205389380	N230	CERTAIN GLYCOL ETHERS	TRI	2007	NEW DAWN MANUFACTURING CO	16001 TRADE ZONE AVE	UPPER MARLBORO	PRINCE GEORGES	MD	20774	YES	NO	NO	NO								325611	325612					38.880488	-76.72431	049575215								P4 CORP	024230302	WE HAVE BEEN TRYING TO REDUCE VOC'S IN OUR END USE PRODUCTS BY USING LESS GLYCOL ETHERS.  THIS WILL THEREFORE REDUCE THE AMOUNT OF GLYCOL ETHERS WE USE IN PRODUCTION.	NO	CHRISTOPHER.SWENSEN@DAYCON.COM			NO	
21030LFRGM1BEAV	1307205602410	007439921	LEAD	PBT	2007	LAFARGE TEXAS RMX	10000 BEAVER DAM RD	COCKEYSVILLE	BALTIMORE	MD	21030	YES	NO	NO	NO								327320						39.463789	-76.643987	605990944								LAFARGE N.A. INC		THERE WAS A SIGNIFICANT DECREASE IN PRODUCTION FROM 2006 TO 2007	NO	MATTHEW.STEWART@LAFARGE-NA.COM			YES	
21030LFRGM1BEAV	1307205602422	N511	NITRATE COMPOUNDS	TRI	2007	LAFARGE TEXAS RMX	10000 BEAVER DAM RD	COCKEYSVILLE	BALTIMORE	MD	21030	YES	NO	NO	NO								327320						39.463789	-76.643987	605990944								LAFARGE N.A. INC		100% OF THE NITRATE COMPOUNDS ARE INCORPORATED INTO THE CONCRETE MIXTURE.	NO	MATTHEW.STEWART@LAFARGE-NA.COM			NO	
21550MTTKC293TA	1307205320777	N450	MANGANESE COMPOUNDS	TRI	2007	METTIKI COAL LLC	293 TABLE ROCK RD	OAKLAND	GARRETT	MD	215505930	YES	NO	NO	NO								212112						39.301389	-79.419444	603228909								ALLIANCE COAL LLC	064545726	2007  MINING  PROCESS RESULTED IN LESS NEED FOR WATER TREATMENT / INSOLUBLE MANGANESE HYDROXIDE (MN(OH)3) INJECTION FOR THIS PERIOD.   UPDATED 2007 PRECIPITATION RELATED DISCHARGE VOLUMES ALSO RESULTED IN LESS WATER TREATMENT/ INSOLUBLE MANGANESE HYDROXIDE, MN(OH)3 INJECTION (5.4.2) RELATED NUMBERS FOR THIS PERIOD.    2008 REPORT YEAR NUMBERS ARE EXPETED TO APPROXIMATE  PREVIOUS YEAR (PRE-2007) NUMBERS.	NO	DAVID.THOMAS@ARLP.COM			YES	
21104LFRGM11411	1307205602788	007439921	LEAD	PBT	2007	LAFARGE MID-ATLANTIC INC MARRIOTTSVILLE RMX	11411 MARRIOTTSVILLE RD	MARRIOTTSVILLE	BALTIMORE	MD	21104	YES	NO	NO	NO								327320						39.367786	-76.872558	605990944								LAFARGE N.A.		PRODUCTION WAS SIGNIFICANTLY REDUCED IN 2007.	NO	MATTHEW.STEWART@LAFARGE-NA.COM			YES	
20850LFRGM14824	1307205602699	007439921	LEAD	PBT	2007	LAFARGE MID-ATLANTIC INC ROCKVILLE RMX	14824 S LAWN LN	ROCKVILLE	MONTGOMERY	MD	20850	YES	NO	NO	NO								327320						39.099722	-77.136944	605990944								LAFARGE N.A.		2007 PRODUCTION WAS DOWN SIGNIFICANTLY FROM 2006.	NO	MATTHEW.STEWART@LAFARGE-NA.COM			YES	
20850LFRGM14824	1307205602713	N511	NITRATE COMPOUNDS	TRI	2007	LAFARGE MID-ATLANTIC INC ROCKVILLE RMX	14824 S LAWN LN	ROCKVILLE	MONTGOMERY	MD	20850	YES	NO	NO	NO								327320						39.099722	-77.136944	605990944								LAFARGE N.A.		THIS MATERIAL IS COMPLETELY INCORPORATED INTO CONCRETE WITH NO DISCHARGES OR WASTE.	NO	MATTHEW.STEWART@LAFARGE-NA.COM			NO	
20640SDDND101ST	1307205674258	007697372	NITRIC ACID	TRI	2007	U.S. NAVY  NAVAL SUPPORT FACILITY INDIAN HEAD	101 STRAUSS AVE	INDIAN HEAD	CHARLES	MD	20640	YES	NO	YES	NO								928110						38.583333	-77.157778									U.S. DEPARTMENT OF DEFENSE		THE BIAZZI NITRATION PLAN IS THE PRIMARY USER OF NITRIC ACID AND WAS CLOSED DURING 2007 FOR CONSTRUCTION.  EXCESS STORED ACID WAS RETURNED TO SUPPLIER, ALLIANT TECH SYSTEMS.  CY 2008 AND 2009 REFLECT PLANT RESTART OF PRODUCTION.	YES	GARY.WAGNER@NAVY.MIL			NO	
20640SDDND101ST	1307205674245	N420	LEAD COMPOUNDS	PBT	2007	U.S. NAVY  NAVAL SUPPORT FACILITY INDIAN HEAD	101 STRAUSS AVE	INDIAN HEAD	CHARLES	MD	20640	YES	NO	YES	NO								928110						38.583333	-77.157778									U.S. DEPARTMENT OF DEFENSE		FACILITY INITIATED MAJOR PROGRAM FOR DISPOSAL OF EXCESS OR OVERAGE HAZARDOUS MATERIALS, ACCOUNTING FOR 5571 POUNDS REPORTED FOR OFFSITE DISPOSAL IN 2007.	YES	GARY.WAGNER@NAVY.MIL			YES	
20794LFRGM797LD	1307205602636	007439921	LEAD	PBT	2007	LAFARGE MID ATLANTIC JESSUP RMX	7970 OLD JESSUP RD	JESSUP	ANNE ARUNDEL	MD	20794	YES	NO	NO	NO								327320						39.152941	-76.776422	605990944								LAFARGE N.A.		PRODUCTION IN 2007 WAS DOWN MORE THAN 50% FROM 2006.	NO	MATTHEW.STEWART@LAFARGE-NA.COM			YES	
20877HGHSN166IN	1307206140600	N420	LEAD COMPOUNDS	PBT	2007	HUGHES NETWORK SYSTEMS LLC	16060 INDUSTRIAL DR	GAITHERSBURG	MONTGOMERY	MD	20877	YES	NO	NO	NO								334220						39.12309	-77.18951	056886380								HUGHES COMMUNICATIONS INC.		INTERNATIONAL AND U.S. CUSTOMER SPECIFICATIONS REQUIRE MORE USE OF LEAD FREE SOLDER FOR BETTER ENVIRONMENTAL STEWARDSHIP.	NO	JMUIR@HNS.COM			YES	
