TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	FACILITY BIA CODE	FACILITY BIA NAME	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 9 MISCELLANEOUS INFORMATION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10/3/2014	
04274LDCST481SP	1313211020553	N420	LEAD COMPOUNDS	PBT	2013	OLDCASTLE LAWN & GARDEN	481 SPRINGWATER RD	POLAND SPRING	ANDROSCOGGIN	ME	04274			YES	NO	NO	NO								321999						44.028771	-70.329097									OLDCASTLE LAWN & GARDEN APG	852849529	|NPYF:Submitted via a paper copy.	NO	AARON.BOONE@OLDCASTLE.COM			YES	 	
04274LDCST481SP	1313211020565	001582098	TRIFLURALIN	PBT	2013	OLDCASTLE LAWN & GARDEN	481 SPRINGWATER RD	POLAND SPRING	ANDROSCOGGIN	ME	04274			YES	NO	NO	NO								321999						44.028771	-70.329097									OLDCASTLE LAWN & GARDEN APG	852849529	|NPYF:Submitted via a paper copy.	NO	AARON.BOONE@OLDCASTLE.COM			NO	 	
04092SLVXN45THO	1313211080662	007697372	NITRIC ACID	TRI	2013	SILVEX INC	45 THOMAS DR	WESTBROOK	CUMBERLAND	ME	04092			YES	NO	NO	NO								332813						43.64894	-70.34687	053440319										|PRAI:Sales|TOTRL:The large increase was due to a single shipment as hazardous (corrosive) waste that could not be treated at our facility as wastewater	NO	PHILRIDLEY@SILVEXINC.COM			NO	 	
04974DLTCHKIDDE	1313211129059	007664417	AMMONIA	TRI	2013	GAC CHEMICAL CORP	34 KIDDER POINT RD	SEARSPORT	WALDO	ME	04974			YES	NO	NO	NO								325188						44.465527	-68.881152	861010742								GAC CHEMICAL CORP	092014513	|PRAI:Reduction in production from processes that required Ammonia.	NO	DCOLTER@GACCHEMICAL.COM			NO	 	
04974DLTCHKIDDE	1313211129085	007439976	MERCURY	PBT	2013	GAC CHEMICAL CORP	34 KIDDER POINT RD	SEARSPORT	WALDO	ME	04974			YES	NO	NO	NO								325188						44.465527	-68.881152	861010742								GAC CHEMICAL CORP	092014513	Production ratio decrees	NO	DCOLTER@GACCHEMICAL.COM			YES	 	
04240DMNDP9ALFR	1313211072956	007440473	CHROMIUM	TRI	2013	SYSTEM LOGISTICS CORP	90 ALFRED PLOURDE PKWY	LEWISTON	ANDROSCOGGIN	ME	04240			YES	NO	NO	NO								332999						44.06	-70.18	867172462								SYSTEM LOGISTICS SPA		|PRAI:Variable used is direct labor hours in shop.	NO	TOM.MOWER@SYSTEMLOGISTICS.COM			YES	 	
04841FSHRN50GOR	1313211113598	N495	NICKEL COMPOUNDS	TRI	2013	FISHER ENGINEERING	50 GORDON DR	ROCKLAND	KNOX	ME	04841			YES	NO	NO	NO								333120						44.08	-69.12	193272283								DOUGLAS DYNAMICS HOLDINGS INC		|PRAI:we carried over a fair amount of finished goods into 2013 from 2012 so although the ratio is positive some of this includes carried over items	NO	KHAGELIN@FISHERPLOWS.COM			YES	 	
04841FSHRN50GOR	1313211113586	N450	MANGANESE COMPOUNDS	TRI	2013	FISHER ENGINEERING	50 GORDON DR	ROCKLAND	KNOX	ME	04841			YES	NO	NO	NO								333120						44.08	-69.12	193272283								DOUGLAS DYNAMICS HOLDINGS INC		|PRAI:we carried a fair amount of finished goods over from 2012 into 2013	NO	KHAGELIN@FISHERPLOWS.COM			YES	 	
04841FSHRN50GOR	1313211113574	N090	CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)	TRI	2013	FISHER ENGINEERING	50 GORDON DR	ROCKLAND	KNOX	ME	04841			YES	NO	NO	NO								333120						44.08	-69.12	193272283								DOUGLAS DYNAMICS HOLDINGS INC		|PRAI:Although production shows an increase we carried a fair amount of finished goods into the year.	NO	KHAGELIN@FISHERPLOWS.COM			YES	 	
04106NRTHSONECL	1313211238389	N420	LEAD COMPOUNDS	PBT	2013	GLOBAL COS LLC - SOUTH PORTLAND TERMINAL	1 CLARK RD	SOUTH PORTLAND	CUMBERLAND	ME	041063511			YES	NO	NO	NO								424710						43.634167	-70.274722	019177757								GLOBAL COS LLC	019177757	Disposal of contaminated soil to landfill.	NO	RKENNY@GLOBALP.COM			YES	 	
04106NRTHSONECL	1313211238427	001330207	XYLENE (MIXED ISOMERS)	TRI	2013	GLOBAL COS LLC - SOUTH PORTLAND TERMINAL	1 CLARK RD	SOUTH PORTLAND	CUMBERLAND	ME	041063511			YES	NO	NO	NO								424710						43.634167	-70.274722	019177757								GLOBAL COS LLC	019177757	refer to the previous section	NO	RKENNY@GLOBALP.COM			NO	 	
04106NRTHSONECL	1313211238391	000110543	N-HEXANE	TRI	2013	GLOBAL COS LLC - SOUTH PORTLAND TERMINAL	1 CLARK RD	SOUTH PORTLAND	CUMBERLAND	ME	041063511			YES	NO	NO	NO								424710						43.634167	-70.274722	019177757								GLOBAL COS LLC	019177757	in 2013, facility stopped firing #6 fuel and switched to natural gas.	NO	RKENNY@GLOBALP.COM			NO	 	
04106NRTHSONECL	1313211238353	000191242	BENZO(G,H,I)PERYLENE	PBT	2013	GLOBAL COS LLC - SOUTH PORTLAND TERMINAL	1 CLARK RD	SOUTH PORTLAND	CUMBERLAND	ME	041063511			YES	NO	NO	NO								424710						43.634167	-70.274722	019177757								GLOBAL COS LLC	019177757	Refer to the previous section	NO	RKENNY@GLOBALP.COM			NO	 	
04106NRTHSONECL	1313211238403	000091203	NAPHTHALENE	TRI	2013	GLOBAL COS LLC - SOUTH PORTLAND TERMINAL	1 CLARK RD	SOUTH PORTLAND	CUMBERLAND	ME	041063511			YES	NO	NO	NO								424710						43.634167	-70.274722	019177757								GLOBAL COS LLC	019177757	in 2013, the facility stopped firing #6 fuel and switched to natural gas.	NO	RKENNY@GLOBALP.COM			NO	 	
04106NRTHSONECL	1313211238415	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	2013	GLOBAL COS LLC - SOUTH PORTLAND TERMINAL	1 CLARK RD	SOUTH PORTLAND	CUMBERLAND	ME	041063511			YES	NO	NO	NO								424710						43.634167	-70.274722	019177757								GLOBAL COS LLC	019177757	in 2013, facility stopped firing fuel #6 and switched to natural gas|811AI:reduced emissions of PACs and Benzo(ghi)perylene due to the lack of Asphaltprocessing.	NO	RKENNY@GLOBALP.COM			NO	 	
04106NRTHSONECL	1313211238377	000100414	ETHYLBENZENE	TRI	2013	GLOBAL COS LLC - SOUTH PORTLAND TERMINAL	1 CLARK RD	SOUTH PORTLAND	CUMBERLAND	ME	041063511			YES	NO	NO	NO								424710						43.634167	-70.274722	019177757								GLOBAL COS LLC	019177757	In 2013, the facility stopped use of #6 fuel to fire boilers and switched to natural gas.|TARL:In 2012, tank coating and painting generated large quantity of fugitive emissions of Ethylbenzene.	NO	RKENNY@GLOBALP.COM			NO	 	
04106NRTHSONECL	1313211238326	000095636	1,2,4-TRIMETHYLBENZENE	TRI	2013	GLOBAL COS LLC - SOUTH PORTLAND TERMINAL	1 CLARK RD	SOUTH PORTLAND	CUMBERLAND	ME	041063511			YES	NO	NO	NO								424710						43.634167	-70.274722	019177757								GLOBAL COS LLC	019177757	In 2013, the facility stopped use of #6 fuel to fire its boiler and switch to natural gas.	NO	RKENNY@GLOBALP.COM			NO	 	
04106NTNLS333WE	1313211112887	007664393	HYDROGEN FLUORIDE	TRI	2013	FAIRCHILD SEMICONDUCTOR CORP	333 WESTERN AVE	SOUTH PORTLAND	CUMBERLAND	ME	04106			YES	NO	NO	NO								334413						43.640687	-70.325903	004895751								FAIRCHILD SEMICONDUCTOR CORP	004895751	Staffing Changes, Joel Rouillard certified in 2011, left the company, Dave Russell certified in 2012 but was laid off, Mike Vail certifying in 2013.|PRAI:Used 2012 vs 2013 8" starts ratio - entered .985	NO	JULIE.MOODIE@FAIRCHILDSEMI.COM			NO	 	
04106NTNLS333WE	1313211112901	007664939	SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY)	TRI	2013	FAIRCHILD SEMICONDUCTOR CORP	333 WESTERN AVE	SOUTH PORTLAND	CUMBERLAND	ME	04106			YES	NO	NO	NO								334413						43.640687	-70.325903	004895751								FAIRCHILD SEMICONDUCTOR CORP	004895751	Joel Rouillard submitted 2011 and left company, Dave Russell submitted 2012 and was laid off, Mike Vail 2013|PRAI:8" wafer starts 2012 vs. 2013, Use 0.985 for production ratio|TOTRL:Reviewed data and this is correct|TPRL:Reviewed data and this is correct|TARL:Reviewed data and this is correct	NO	JULIE.MOODIE@FAIRCHILDSEMI.COM			NO	 	
04106NTNLS333WE	1313211112899	007697372	NITRIC ACID	TRI	2013	FAIRCHILD SEMICONDUCTOR CORP	333 WESTERN AVE	SOUTH PORTLAND	CUMBERLAND	ME	04106			YES	NO	NO	NO								334413						43.640687	-70.325903	004895751								FAIRCHILD SEMICONDUCTOR CORP	004895751	Staffing changes, 2011 reported by Joel Rouillard who left the company, 2012 by Dave Russell who was laid off, 2013 by Mike Vail|PRAI:8" wafer starts 2012 vs. 2013. Entered 0.985 for production ratio	NO	JULIE.MOODIE@FAIRCHILDSEMI.COM			NO	 	
04106NTNLS333WE	1313211112875	007647010	HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY)	TRI	2013	FAIRCHILD SEMICONDUCTOR CORP	333 WESTERN AVE	SOUTH PORTLAND	CUMBERLAND	ME	04106			YES	NO	NO	NO								334413						43.640687	-70.325903	004895751								FAIRCHILD SEMICONDUCTOR CORP	004895751	Joel Rouillard certified 2011 then left company, Dave Russell certificed 2012 and was laid off, Mike Vail entered 2013|PRAI:entered .985 from 8' wafer starts 2012 vs. 2013	NO	JULIE.MOODIE@FAIRCHILDSEMI.COM			NO	 	
04096WFWYMCOUSI	1313211086677	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	2013	FPL ENERGY WYMAN LLC WF WYMAN STEAM STATION	677 COUSINS ST	YARMOUTH	CUMBERLAND	ME	04096			YES	NO	NO	NO								221112						43.75167	-70.15586	006948954								NEXTERA ENERGY RESOURCES INC	006948954	Increased release due to facility operating more due to lack of natural gas in New England during the winter. FERC initiated winter reliability for Northeast.Sent #6 oil to recycle facility as part of the receiving procedure and hydro testing of oil lines.|PRAI:Megawatts	NO	MIKE.LUNDAY@FPL.COM			NO	 	
04096WFWYMCOUSI	1313211086549	000191242	BENZO(G,H,I)PERYLENE	PBT	2013	FPL ENERGY WYMAN LLC WF WYMAN STEAM STATION	677 COUSINS ST	YARMOUTH	CUMBERLAND	ME	04096			YES	NO	NO	NO								221112						43.75167	-70.15586	006948954								NEXTERA ENERGY RESOURCES INC	006948954	Increased release due to facility operating more due to lack of natural gas in New England during the winter. FERC initiated winter reliability for Northeast.	NO	MIKE.LUNDAY@FPL.COM			NO	 	
04096WFWYMCOUSI	1313211086638	N150	DIOXIN AND DIOXIN-LIKE COMPOUNDS	DIOXIN	2013	FPL ENERGY WYMAN LLC WF WYMAN STEAM STATION	677 COUSINS ST	YARMOUTH	CUMBERLAND	ME	04096			YES	NO	NO	NO								221112						43.75167	-70.15586	006948954								NEXTERA ENERGY RESOURCES INC	006948954	Facility ran more in 2013.	NO	MIKE.LUNDAY@FPL.COM			NO	 	
04761LSNPCSTATI	1313211451075	000067561	METHANOL	TRI	2013	LOUISIANA-PACIFIC CORP	240 STATION RD	NEW LIMERICK	AROOSTOOK	ME	04761			YES	NO	NO	NO								321219						46.109606	-67.954136	055957211								LOUISIANA PACIFIC CORP	061500534	|NPYF:Prior to 2013 our facility operated with a minimum work force. In 2013 production was increased substantially.	NO	BRUCE.AVERY@LPCORP.COM			NO	 	
