TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
31069NTRSL21KEL	1307205924020	000100425	STYRENE	TRI	Pounds																		2007	NO	INTROSUL INC	201 KELLWOOD DR	PERRY	HOUSTON	GA	31069	YES	NO	NO	NO														32.445409	-83.748184	102003821										0														NO	NA			NO	
31088CSCDC104IN	1307205900234	007439965	MANGANESE	TRI	Pounds																		2007	NO	CASCADE CORP	104 INDUSTRIAL PARK BLVD	WARNER ROBINS	HOUSTON	GA	31088	YES	NO	NO	NO														32.582311	-83.588107	009031378								CASCADE CORP	009031378	0														NO	NA			YES	
31089LMSNS900JO	1307205569724	N420	LEAD COMPOUNDS	PBT	Pounds																		2007	NO	LAMSON & SESSIONS	900 JOINER RD	TENNILLE	WASHINGTON	GA	31089	YES	NO	NO	NO														32.928771	-82.820696	004196556								LAMSON & SESSIONS	004196556	0														NO	JAMES.PACAK@LAMSON-HOME.COM			YES	
31792MTCLFGEORG	1307205521836	007439921	LEAD	PBT	Pounds																		2007	NO	HOOD INDUSTRIES INC.	1033 S REYNOLDS ST	METCALF	THOMAS	GA	31792	YES	NO	NO	NO														30.883333	-83.983333									HOOD COS INC.	830479478	0														NO	FPICKLE@HOODINDUSTRIES.COM			YES	
31792VRNYP216OA	1307205334586	000100425	STYRENE	TRI	Pounds																		2007	NO	CENTEK INDUSTRIES INC.	116 PLANTATION OAK DR	THOMASVILLE	THOMAS	GA	31792	YES	NO	NO	NO														30.860802	-84.004679	004271961								INNOTECH INDUSTRIES INC.		0														NO	DOUGH@CENTEKINDUSTRIES.COM			NO	
31794HNDRXGOLDE	1307205191618	000076062	CHLOROPICRIN	TRI	Pounds																		2007	NO	HENDRIX & DAIL INC.	900 W GOLDEN RD	TIFTON	TIFT	GA	31794	YES	NO	NO	NO														31.430591	-83.50243	024606238										0														NO	FULLER@HENDRIXANDDAIL.COM			NO	
31794HNDRXGOLDE	1307205191620	000074839	BROMOMETHANE	TRI	Pounds																		2007	NO	HENDRIX & DAIL INC.	900 W GOLDEN RD	TIFTON	TIFT	GA	31794	YES	NO	NO	NO														31.430591	-83.50243	024606238										0														NO	FULLER@HENDRIXANDDAIL.COM			NO	
31816SSNNH11NEB	1307205458894	N420	LEAD COMPOUNDS	PBT	Pounds																		2007	NO	SHERWIN-WILLIAMS CO	1001 NEBULA RD	MANCHESTER	MERIWETHER	GA	31816	YES	NO	NO	NO														32.852347	-84.633471	039423632								SHERWIN-WILLIAMS CO	004206397	0														NO	RSTHOMAS@SHERWIN.COM			YES	
31318NTRNT911OL	1307205762331	N420	LEAD COMPOUNDS	PBT	Pounds																		2007	NO	INTERNATIONAL PAPER MELDRIM LUMBER MILL	911 OLD RIVER RD	MELDRIM	EFFINGHAM	GA	31318	YES	NO	NO	NO														32.145833	-81.387222	039045216								INTERNATIONAL PAPER	001316561	0														NO	BHARRIS@SIMPSON.COM			YES	
31823CGLSNPOBOX	1307205569421	N511	NITRATE COMPOUNDS	TRI	Pounds																		2007	NO	CAGLE,S INC PINE MOUNTAIN VALLEY PROCESSING	14075 HWY 116	PINE MOUNTAIN VALLEY	HARRIS	GA	31823	YES	NO	NO	NO														32.796444	-84.815278	067565648								CAGLE'S INC.	003492519	0														NO	GHUBBARD@CAGLESINC.COM			NO	
