TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 8.11 DISPOSAL OR OTHER RELEASES, SOURCE REDUCTION, AND RECYCLING ACTIVITIES	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	20-NOV-13	
14821PLLDR8600M	1312210756678	007697372	NITRIC ACID	TRI	2012	KRAFT FOODS GROUP INC	8600 MAIN ST	CAMPBELL	STEUBEN	NY	14821	YES	NO	NO	NO								311513						42.228091	-77.187066	039010590								KRAFT FOODS GROUP INC	877147228	SRNA:Facility SPDES Discharge Permit limits discharge of Total Phosporous therefore facility is limited in it's use of Phosphoric acid based cleeaners and has replaced them with Nitric Acid based cleaners.	NO	JHODEL@KRAFTFOODS.COM			NO	 	
13411GLDNR188BE	1312210537421	N420	LEAD COMPOUNDS	PBT	2012	GOLDEN ARTIST COLORS INC	188 BELL RD	NEW BERLIN	CHENANGO	NY	13411	YES	NO	NO	NO								339942						42.665123	-75.344623	066008956		NY0000097253								SRNA:Concern that product quality may decline as a result of source reduction, additional reduction does not appear technically or economically feasible.	NO	GAVETT@GOLDENPAINTS.COM			YES	 	
11205BRKLYBROOK	1312210791481	007664417	AMMONIA	TRI	2012	BROOKLYN NAVY YARD COGENERATION FACILITY	BROOKLYN NAVY YARD BLDG 41 63 FLUSHING AVE UNIT 234	BROOKLYN	KINGS	NY	11205	YES	NO	NO	NO								221112						40.698502	-73.960282	808843569										SRNA:Ammonia is injected to reduce NOx emissions and is required by the facility's Title V Air Permit. Ammonia released to the atmosphere is the result of excess ammonia "slip" above that required to ensure the regulated NOx emissions are below the permit emission limitation. Any reduction in ammonia usage to minimize ammonia slip could result in an increase in NOx emissions above Federal and State permit limits.	NO	JRYAN@PPMSLLC.COM			NO	 	
11105NWYRK31032	1312210475531	000075456	CHLORODIFLUOROMETHANE	TRI	2012	CHARLES POLETTI POWER PROJECT & 500 MW PLANT	31-03 20TH AVE	ASTORIA	QUEENS	NY	11105	YES	NO	NO	NO								221112						40.790278	-73.911111	075252098								NEW YORK POWER AUTHORITY	075252098	The facility replaced faulty pressure relief valves near the end of RY 2011 and early in RY 2012 which were contibuting signiifcantly to the fugitive emissions.	NO	THOMAS.DEJESU@NYPA.GOV			NO	 	
11105NWYRK31032	1312210475556	007664939	SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY)	TRI	2012	CHARLES POLETTI POWER PROJECT & 500 MW PLANT	31-03 20TH AVE	ASTORIA	QUEENS	NY	11105	YES	NO	NO	NO								221112						40.790278	-73.911111	075252098								NEW YORK POWER AUTHORITY	075252098	The Title V permit will be modified in RY 2013 to allow for the burning of ultra-low sulfur distillate oil (15 pm sulfur) which should signicantly reduce sulfuric acid areosol emissions.|SRNA:7. OtherThe sulfuric acid areosols are produced from the combustion of pipeline natural gas and jet-kerosene.  It is not possible to lower the sulfur content.  The jet-kerosene  has a 400 pmm sulfur contenet which is significantly lower than that currently in use by the aviation industry (3,000 ppm Sulfur).	NO	THOMAS.DEJESU@NYPA.GOV			NO	 	
11105NWYRK31032	1312210475517	007664417	AMMONIA	TRI	2012	CHARLES POLETTI POWER PROJECT & 500 MW PLANT	31-03 20TH AVE	ASTORIA	QUEENS	NY	11105	YES	NO	NO	NO								221112						40.790278	-73.911111	075252098								NEW YORK POWER AUTHORITY	075252098	SRNA:7. OtherAqueous ammonia is used to control NOx emissions from the combustion of natural gas and jet-kerosene for the generation of electric power and therefore its use cannot be reduced or eliminated.	NO	THOMAS.DEJESU@NYPA.GOV			NO	 	
12183LLDSGTIBBE	1312210047205	007440508	COPPER	TRI	2012	HONEYWELL INTERNATIONAL INC	3 TIBBITS AVE	GREEN ISLAND	ALBANY	NY	12183	YES	NO	NO	NO								336413						42.748889	-73.695833	002081230								HONEYWELL INTERNATIONAL INC	139691877	We continue to recycle our copper fines and look for ways to improve on this by selecting and sending samples to new vendors that may have the ability to recycle more of the fines.  We also have a new improved dust collector and have a project iin the works to improve dust collection further.  The dust collected has copper fines in it and will be recycled.|W58:Replaced dust collector and have project underway to improve dust collection in the mix area.  This dust has copper fines in it and will be recycled|T03:We audit our process via "shop floor audits" and are always looking for ways to improve our process and recycling program.  Audits are alos conducted on material usage.|T04:Honeywell has a program called Honeywell Operating System (HOS) and this program includes Environmental program participation and leadership involvement.|T06:Honeywell has a program called Honeywell Operating System (HOS) and this program includes Environmental program participation and leadership involvement.	NO	HOWIE.FREDERICK@HONEYWELL.COM			YES	 	
13421DRYLCROUTE	1312210269357	N511	NITRATE COMPOUNDS	TRI	2012	HPHOOD LLC	252 GENESEE ST	ONEIDA	MADISON	NY	13421	YES	NO	NO	NO								311511						43.080583	-75.648942	001008697								HP HOOD LLC	001008697	Nitric acid is one of the active ingredients in sanitizing agents used for clean in place (CIP) processes. HP Hood is actively working with its vendor to purchase sanitizing chemicals with lower concentrations of toxic chemicals resulting in a reduction in nitate compounds.	NO	STEVE.PELKEY@HPHOOD.COM			NO	 	
13421DRYLCROUTE	1312210269369	007697372	NITRIC ACID	TRI	2012	HPHOOD LLC	252 GENESEE ST	ONEIDA	MADISON	NY	13421	YES	NO	NO	NO								311511						43.080583	-75.648942	001008697								HP HOOD LLC	001008697	Nitric acid is one of the active ingredients in sanitizing agents used for clean in place (CIP) processes. HP Hood is actively working with its vendor to purchase sanitizing chemicals with lower concentrations of toxic chemicals.	NO	STEVE.PELKEY@HPHOOD.COM			NO	 	
14623PNNWL755JE	1312210717322	000075092	DICHLOROMETHANE	TRI	2012	UCB MANUFACTURING INC	755 JEFFERSON RD	ROCHESTER	MONROE	NY	14623	YES	NO	NO	NO								325412						43.084207	-77.621621	059721944		NYD002219756						UCB INC		SRNA:Dichloromethane is a manufacturing aid for our main process that can not be altered or changed.  A majority of our spent solvent is sent off site for approved benefitial reuse.	NO	JESSICA.WOJICK@UCB.COM			NO	 	
