TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
27359HNDPWHONDA	1307205539226	007440508	COPPER	TRI	Pounds																		2007	NO	HONDA POWER EQUIPMENT MANUFACTURING	3721 HWY 119	SWEPSONVILLE	ALAMANCE	NC	27359	YES	NO	NO	NO														36.032222	-79.34222	107893067								AMERICAN HONDA MOTOR CO	008860389	0														NO	ROBERT_WHITEHEAD@HPE.HONDA.COM			YES	
27359HNDPWHONDA	1307205539238	007439921	LEAD	PBT	Pounds																		2007	NO	HONDA POWER EQUIPMENT MANUFACTURING	3721 HWY 119	SWEPSONVILLE	ALAMANCE	NC	27359	YES	NO	NO	NO														36.032222	-79.34222	107893067								AMERICAN HONDA MOTOR CO	008860389	0														NO	ROBERT_WHITEHEAD@HPE.HONDA.COM			YES	
27359HNDPWHONDA	1307205539240	000108883	TOLUENE	TRI	Pounds																		2007	NO	HONDA POWER EQUIPMENT MANUFACTURING	3721 HWY 119	SWEPSONVILLE	ALAMANCE	NC	27359	YES	NO	NO	NO														36.032222	-79.34222	107893067								AMERICAN HONDA MOTOR CO	008860389	0														NO	ROBERT_WHITEHEAD@HPE.HONDA.COM			NO	
27816GLSSM8928M	1307205543871	007439921	LEAD	PBT	Pounds																		2007	NO	EAGLE ASSEMBLY UNLIMITED,INC.	8928 MAIN ST	CASTALIA	NASH	NC	27816	YES	NO	NO	NO														36.076108	-78.049487											0														NO	RBUNN98@AOL.COM			YES	
27822NXNSB6SPAR	1307205262936	007440508	COPPER	TRI	Pounds																		2007	NO	NEXANS BERK-TEK EC	600 S PARKER ST	ELM CITY	WILSON	NC	27822	YES	NO	NO	NO														35.811947	-77.861156	000303882		NCD982168924		NCG500316				NEXANS SOUTH AMERICA	183889641	0														NO	GREGORY.SISAK@NEXANS.COM			YES	
27822NXNSB6SPAR	1307205262948	N420	LEAD COMPOUNDS	PBT	Pounds																		2007	NO	NEXANS BERK-TEK EC	600 S PARKER ST	ELM CITY	WILSON	NC	27822	YES	NO	NO	NO														35.811947	-77.861156	000303882		NCD982168924		NCG500316				NEXANS SOUTH AMERICA	183889641	0														NO	GREGORY.SISAK@NEXANS.COM			YES	
28110LDWGN2806M	1307205361064	007440508	COPPER	TRI	Pounds																		2007	NO	CONN-SELMER INC LUDWIG FACILITY	2806 MASON ST	MONROE	UNION	NC	28110	YES	NO	NO	NO														34.987242	-80.499128									STEINWAY MUSICAL INSTRUMENT INC.	088735048	0														NO	JKINSEY@CONN-SELMER.COM			YES	
27108STRTF807SO	1307205569155	N078	CADMIUM COMPOUNDS	TRI	Pounds																		2007	NO	STRATFORD METAL FINISHING	807 S MARSHALL ST	WINSTON-SALEM	FORSYTH	NC	27101	YES	NO	NO	NO														36.084634	-80.244373	053487765										5	M2	ELLEDGE TREATMENT PLANT	2799 GRIFFITH ROAD	WINSTON SALEM	NC	FORSYTH	27103							NO	NA			YES	
27108STRTF807SO	1307205569167	007782505	CHLORINE	TRI	Pounds																		2007	NO	STRATFORD METAL FINISHING	807 S MARSHALL ST	WINSTON-SALEM	FORSYTH	NC	27101	YES	NO	NO	NO														36.084634	-80.244373	053487765										0														NO	NA			NO	
27108STRTF807SO	1307205569179	N090	CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)	TRI	Pounds																		2007	NO	STRATFORD METAL FINISHING	807 S MARSHALL ST	WINSTON-SALEM	FORSYTH	NC	27101	YES	NO	NO	NO														36.084634	-80.244373	053487765										5	M2	ELLEDGE TREATMENT PLANT	2799 GRIFFITH ROAD	WINSTON SALEM	NC	FORSYTH	27103							NO	NA			YES	
