TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ADDITION INFORMATION - SOURCE REDUCTION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
27834VRMNTPOBOX	1307205176706	007440473	CHROMIUM	TRI	2007	ROBERT BOSCH TOOL CO GREENVILLE DIV	310 STATON RD	GREENVILLE	PITT	NC	27834	YES	NO	NO	NO								332212						35.651451	-77.360387	007015506								ROBERT BOSCH CORP	006368567	PLANT OFFICIALLY CLOSED DECEMBER 2007.	NO				YES	
27204VRDYB419AR	1307205552235	N450	MANGANESE COMPOUNDS	TRI	2007	ENERGIZER BATTERY MANUFACTURING INC	419 ART BRYAN DR	ASHEBORO	RANDOLPH	NC	27203	YES	NO	NO	NO								335912						35.770203	-79.813816	151179769								ENERGIZER HOLDINGS INC.	133184171	A NEW MANGANESE RECOVERY SYSTEM IS BEING TRIALED WHICH MAY RESULT IN LESS MANGANESE DISPOSAL AND INCREASED MANGANESE RECYCLING.	NO	RONALDR.TAYLOR@ENERGIZER.COM			YES	
27893FWNLC181QU	1307205371584	N420	LEAD COMPOUNDS	PBT	2007	FAWN ELECTRONICS	1801 QUALITY DR	WILSON	WILSON	NC	27893	YES	NO	NO	NO								334418						35.740695	-77.890031									FAWN INDUSTRIES	003067469	Introduction of Lead-Free processes to comply with European Directive for Reduction of Hazardous Substances (EU 2002/95/EC).  Lead-Free processes mandate the lead content of solders must be no greater than 100PPM (100 parts per million) or 0.1% by weight.  Our facility has begun to reduce the use and storage of lead containing materials.  Eighty percent of our current production is now using Lead-Free materials and should progress to greater than ninety percent of production by years end.  Lead-Free materials will also be recycled in accordance with environmental standards	NO	KIMB@FAWN-IND.COM			YES	
27922HCKTT1505R	1307205993355	N090	CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)	TRI	2007	HARSCO CO MULTISERV PLANT 62	1505 RIVER RD C/O NUCOR HERTFORD	COFIELD	HERTFORD	NC	27922	YES	NO	NO	NO								327992						36.348889	-76.81	003952009								HARSCO CORP	003952009	INSTALLATION OF CONTROLS ON LANCING OPERATIONS RESULTED IN REDUCTION OF AIR EMISSIONS.	NO	GHUNDERTMARK@MULTISERV.COM			YES	
27922HCKTT1505R	1307205993381	N420	LEAD COMPOUNDS	PBT	2007	HARSCO CO MULTISERV PLANT 62	1505 RIVER RD C/O NUCOR HERTFORD	COFIELD	HERTFORD	NC	27922	YES	NO	NO	NO								327992						36.348889	-76.81	003952009								HARSCO CORP	003952009	INSTALLATION OF EMISSIONS CONTROLS FOR LANCING OPERATIONS TO ACHIEVE AIR EMISSIONS REDUCTIONS	NO	GHUNDERTMARK@MULTISERV.COM			YES	
27922HCKTT1505R	1307205993443	N450	MANGANESE COMPOUNDS	TRI	2007	HARSCO CO MULTISERV PLANT 62	1505 RIVER RD C/O NUCOR HERTFORD	COFIELD	HERTFORD	NC	27922	YES	NO	NO	NO								327992						36.348889	-76.81	003952009								HARSCO CORP	003952009	INSTALLATION OF EMISSIONS CONTROLS FOR LANCING OPERATIONS ACHIEVED AIR EMISSIONS REDUCTIONS.	NO	GHUNDERTMARK@MULTISERV.COM			YES	
27922HCKTT1505R	1307205993494	N495	NICKEL COMPOUNDS	TRI	2007	HARSCO CO MULTISERV PLANT 62	1505 RIVER RD C/O NUCOR HERTFORD	COFIELD	HERTFORD	NC	27922	YES	NO	NO	NO								327992						36.348889	-76.81	003952009								HARSCO CORP	003952009	INSTALLATION OF EMISSIONS CONTROLS FOR LANCING OPERATIONS ACHIEVED AIR EMISSIONS REDUCTIONS.	NO	GHUNDERTMARK@MULTISERV.COM			YES	
28043FSTFD801EA	1307205435656	007664417	AMMONIA	TRI	2007	SIMEUS FOODS INTERNATIONAL INC	212 NUWAY PACKING RD	FOREST CITY	RUTHERFORD	NC	28043	YES	NO	NO	NO								311991						35.332462	-81.848155	073145815								SIMEUS FOODS INTERNATIONAL INC.		RE-STARTED A PORTION OF THE SYSTEM, INCREASED NUMBER OF EQUIPMENT SAFETY INSPECTIONS AND DAILY CHECKS PERFORMED ON EQUIPMENT	NO	MPATRICK@SIMEUSFOODS.COM			NO	
28110CLDNN283BR	1307205831718	007440473	CHROMIUM	TRI	2007	CALEDONIAN ALLOYS INC	2803 BRAVO PL	MONROE	UNION	NC	28110	YES	NO	NO	NO								331491						34.996119	-80.500129											Chromium is part of the aerospace alloys identified and size reduced within the facility.  All processed alloys are shipped to customers in order for them to use the materials as ingredients in their melting process.  These materials are a product of our process and are not waste and as such cannot be considered as a release.	NO	MIKEM@CALEDONIANALLOYS.COM			YES	
28110CLDNN283BR	1307205831732	007440020	NICKEL	TRI	2007	CALEDONIAN ALLOYS INC	2803 BRAVO PL	MONROE	UNION	NC	28110	YES	NO	NO	NO								331491						34.996119	-80.500129											Nickel is part of the aerospace alloys identified and size reduced within the facility.  All processed alloys are shipped to customers in order for them to use the materials as ingredients in their melting process.  These materials are a product of our processes and are not waste and as such cannot be considered a release.	NO	MIKEM@CALEDONIANALLOYS.COM			YES	
