TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 9 MISCELLANEOUS INFORMATION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	20-NOV-13	
65789HGHPR4225O	1312209962125	N982	ZINC COMPOUNDS	TRI	2012	HIGH PERFORMANCE HOSE FACILITY	4225 ODC RD 1020	POMONA	HOWELL	MO	65789	YES	NO	NO	NO								326220						36.888028	-91.914028									CATERPILLAR INC	005070479	Reduction of released quanities are a direct result of Hose production.|PRAI: The variable used to calculate production ratio is: Hose Produced ( Feet ).	NO	DUGAN_JIM@CAT.COM			YES	 	
65205CLMBM1501B	1312210057244	N982	ZINC COMPOUNDS	TRI	2012	COLUMBIA MUNICIPAL POWER PLANT	1501 BUS LOOP 70 E	COLUMBIA	BOONE	MO	65201	YES	NO	NO	NO								221112						38.965184	-92.317069	156219560										Changes in assumptions for mass balance calculation resulted in lower stack emissions and increased Zinc Compound releases to on-site surface impoundment. Future fuel and ash testing will further refine reported releases.	NO	CJJ@GOCOLUMBIAMO.COM			YES	 	
64093GTSNR617NO	1312210448306	N420	LEAD COMPOUNDS	PBT	2012	ENERSYS ENERGY PRODUCTS INC ( FORMERLY HAWKER ENERGY)	617 N RIDGEVIEW DR	WARRENSBURG	JOHNSON	MO	640939301	YES	NO	NO	NO								335911						38.771648	-93.709618	836993402								ENERSYS	052412533	Section 8.5: The facility generated more scrap lead than the previous year due to introduction of a new product line.	NO	MALCOLM.GAVANT@ENERSYS.COM			YES	 	
65109CHSBR2900W	1312210631103	N982	ZINC COMPOUNDS	TRI	2012	UNILEVER MANUFACTURING (US) INC	2900 W TRUMAN BLVD	JEFFERSON CITY	COLE	MO	651090544	YES	NO	NO	NO								325611						38.59671	-92.229782	094320132		MOD043510056		MOR23A001				UNILEVER		Increase in zinc was due to trial batches and the launch of a new anti-dandruff brand of shampoo out of this facility.  Production using this chemical when up 5.4x due to this launch.|TOTRL:Increase in zinc was due to trial batches and the launch of a new anti-dandruff brand of shampoo out of this facility.  Production using this chemical when up 5.4x due to this launch.|TPRL:Increase in zinc was due to trial batches and the launch of a new anti-dandruff brand of shampoo out of this facility.  Production using this chemical when up 5.4x due to this launch.	NO	DOUGLAS.ROY@UNILEVER.COM			YES	 	
65536DTRTT100CA	1312210619363	007439965	MANGANESE	TRI	2012	DETROIT TOOL METAL PRODUCTS	949 BETHEL RD	LEBANON	LACLEDE	MO	65536	YES	NO	NO	NO								332116						37.671108	-92.671112	006263925										|PRAI:Calculations based on actual material purchased during RY2012.	NO	MSTIFFLER@DTMP.COM			YES	 	
65536DTRTT100CA	1312210619375	007440020	NICKEL	TRI	2012	DETROIT TOOL METAL PRODUCTS	949 BETHEL RD	LEBANON	LACLEDE	MO	65536	YES	NO	NO	NO								332116						37.671108	-92.671112	006263925										|PRAI:Calculations based on actual material purchased during RY2012.	NO	MSTIFFLER@DTMP.COM			YES	 	
65536DTRTT100CA	1312210619351	007440473	CHROMIUM	TRI	2012	DETROIT TOOL METAL PRODUCTS	949 BETHEL RD	LEBANON	LACLEDE	MO	65536	YES	NO	NO	NO								332116						37.671108	-92.671112	006263925										|PRAI:Calculations based on actual material purchased during RY2012.	NO	MSTIFFLER@DTMP.COM			YES	 	
63114CHMSC8494C	1312210723870	N230	CERTAIN GLYCOL ETHERS	TRI	2012	CHEMSICO	8494 CHAPIN INDUSTRIAL DR	SAINT LOUIS	ST LOUIS	MO	63114	YES	NO	NO	NO								325998						38.690472	-90.342028	068527704								UNITED INDUSTRIES CORP	068527704	|PRAI:A new raw material containing glycol ethers replaced one that did not	NO	RANDY.LEWIS@SPECTRUMBRANDS.COM			NO	 	
65024CHMSPSTATE	1312210366631	007647010	HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY)	TRI	2012	CHAMOIS POWER PLANT	9321 HWY 100	CHAMOIS	OSAGE	MO	65024	YES	NO	NO	NO								221112						38.684917	-91.756417	029724747								CENTRAL ELECTRIC POWER COOPERATIVE	008906588	Information in Section 8.1, Column D anticipates the cessation of operations in 2013.|PRAI:Production ratio is based upon total tons of coal burned.	NO	MNEWBOLD@CEPC.NET			NO	 	
65024CHMSPSTATE	1312210366744	007664939	SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY)	TRI	2012	CHAMOIS POWER PLANT	9321 HWY 100	CHAMOIS	OSAGE	MO	65024	YES	NO	NO	NO								221112						38.684917	-91.756417	029724747								CENTRAL ELECTRIC POWER COOPERATIVE	008906588	Information in Section 8.1, Column D anticipates the cessation of operations in 2013.|PRAI:Production ratio is based upon total tons of coal burned.	NO	MNEWBOLD@CEPC.NET			NO	 	
65024CHMSPSTATE	1312210366629	N150	DIOXIN AND DIOXIN-LIKE COMPOUNDS	DIOXIN	2012	CHAMOIS POWER PLANT	9321 HWY 100	CHAMOIS	OSAGE	MO	65024	YES	NO	NO	NO								221112						38.684917	-91.756417	029724747								CENTRAL ELECTRIC POWER COOPERATIVE	008906588	Information in Section 8.1, Column D anticipates the cessation of operations in 2013.|PRAI:Production ratio is based upon total tons of coal burned.	NO	MNEWBOLD@CEPC.NET			NO	 	
65024CHMSPSTATE	1312210366617	N040	BARIUM COMPOUNDS	TRI	2012	CHAMOIS POWER PLANT	9321 HWY 100	CHAMOIS	OSAGE	MO	65024	YES	NO	NO	NO								221112						38.684917	-91.756417	029724747								CENTRAL ELECTRIC POWER COOPERATIVE	008906588	Information in Section 8.1, Column D anticipates the cessation of operations in 2013.|PRAI:Production ratio is based upon total tons of coal burned.	NO	MNEWBOLD@CEPC.NET			YES	 	
65024CHMSPSTATE	1312210366656	007664393	HYDROGEN FLUORIDE	TRI	2012	CHAMOIS POWER PLANT	9321 HWY 100	CHAMOIS	OSAGE	MO	65024	YES	NO	NO	NO								221112						38.684917	-91.756417	029724747								CENTRAL ELECTRIC POWER COOPERATIVE	008906588	Information in Section 8.1, Column D anticipates the cessation of operations in 2013.|PRAI:Production ratio is based upon total tons of coal burned.	NO	MNEWBOLD@CEPC.NET			NO	 	
65024CHMSPSTATE	1312210366682	N420	LEAD COMPOUNDS	PBT	2012	CHAMOIS POWER PLANT	9321 HWY 100	CHAMOIS	OSAGE	MO	65024	YES	NO	NO	NO								221112						38.684917	-91.756417	029724747								CENTRAL ELECTRIC POWER COOPERATIVE	008906588	Information in Section 8.1, Column D anticipates the cessation of operations in 2013.|PRAI:Production ratio is based upon total tons of coal burned.	NO	MNEWBOLD@CEPC.NET			YES	 	
65024CHMSPSTATE	1312210366706	N458	MERCURY COMPOUNDS	PBT	2012	CHAMOIS POWER PLANT	9321 HWY 100	CHAMOIS	OSAGE	MO	65024	YES	NO	NO	NO								221112						38.684917	-91.756417	029724747								CENTRAL ELECTRIC POWER COOPERATIVE	008906588	Information in Section 8.1, Column D anticipates the cessation of operations in 2013.|PRAI:Production ratio is based upon total tons of coal burned.	NO	MNEWBOLD@CEPC.NET			YES	 	
63069NTGRM1000I	1312209985732	000079016	TRICHLOROETHYLENE	TRI	2012	PLAZE INC	1000 INTEGRAM DR	PACIFIC	FRANKLIN	MO	63069	YES	NO	NO	NO								325998						38.479742	-90.784939	006324669								PLAZE INC	006324669	|PRAI:full years production	NO	GMYERS@PLAZE.COM			NO	 	
63069NTGRM1000I	1312209985706	000110543	N-HEXANE	TRI	2012	PLAZE INC	1000 INTEGRAM DR	PACIFIC	FRANKLIN	MO	63069	YES	NO	NO	NO								325998						38.479742	-90.784939	006324669								PLAZE INC	006324669	|PRAI:full year of production	NO	GMYERS@PLAZE.COM			NO	 	
63069NTGRM1000I	1312209985670	N230	CERTAIN GLYCOL ETHERS	TRI	2012	PLAZE INC	1000 INTEGRAM DR	PACIFIC	FRANKLIN	MO	63069	YES	NO	NO	NO								325998						38.479742	-90.784939	006324669								PLAZE INC	006324669	|PRAI:full production in 2012 went from 9 mil to 56 million	NO	GMYERS@PLAZE.COM			NO	 	
63069NTGRM1000I	1312209985694	000067561	METHANOL	TRI	2012	PLAZE INC	1000 INTEGRAM DR	PACIFIC	FRANKLIN	MO	63069	YES	NO	NO	NO								325998						38.479742	-90.784939	006324669								PLAZE INC	006324669	|PRAI:First full year production but phasing out due to Prop 65	NO	GMYERS@PLAZE.COM			NO	 	
63069NTGRM1000I	1312209985718	000127184	TETRACHLOROETHYLENE	TRI	2012	PLAZE INC	1000 INTEGRAM DR	PACIFIC	FRANKLIN	MO	63069	YES	NO	NO	NO								325998						38.479742	-90.784939	006324669								PLAZE INC	006324669	|PRAI:full years production	NO	GMYERS@PLAZE.COM			NO	 	
63147THDLC6901M	1312210496865	N230	CERTAIN GLYCOL ETHERS	TRI	2012	THE DIAL CORP A SUBSIDIARY OF HENKEL CONSUMER GOODS	6901 MCKISSOCK AVE	SAINT LOUIS	ST LOUIS (CITY)	MO	63147	YES	NO	NO	NO								325611						38.69591	-90.221856	152055810								HENKEL CONSUMER GOODS INC.	006930366	Facility discontinued use of L24-7 surfonic in Q4 2011. L24-12 surfonic has a molecular weight of C8. Based on the modified definition of glycol ethers promulgated by EPA in 1994, the L24-12 does not meet the definition of glycol ether requiring reporting under EPCRA 313.	NO	ERIC.ROMANO@HENKEL.COM			NO	 	
65803HWKRP4500P	1312210048068	007440508	COPPER	TRI	2012	WATTS RADIANT	4500 E PROGRESS PL	SPRINGFIELD	GREENE	MO	65803	YES	NO	NO	NO								333414						37.242599	-93.204697	046653770		MOR000030155								We did lose some customers in 2012, which resulted in letting some staff go.	NO	JONESBW@WATTS.COM			YES	 	
63701LNSTR2524S	1312210129173	N150	DIOXIN AND DIOXIN-LIKE COMPOUNDS	DIOXIN	2012	BUZZI UNICEM USA - CAPE GIRARDEAU	2524 S SPRIGG ST	CAPE GIRARDEAU	CAPE GIRARDEAU	MO	63701	YES	NO	NO	NO								327310						37.2676	-89.5385	063778211								BUZZI UNICEM USA	611764820	This chemical was below the reporting threshold in RY 2011.  New site specific stack test date were used to calculate RY2012 emissions.	NO	STEVEN.LEUS@BUZZIUNICEMUSA.COM			NO	 	
