TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 9 MISCELLANEOUS INFORMATION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10-18-2012	
56258SCHWN1602S	1311209861018	007664417	AMMONIA	TRI	2011	SCHWAN'S FOOD MANUFACTURING INC CFP/SFP	1602 SUPERIOR RD	MARSHALL	LYON	MN	56258	YES	NO	NO	NO								311412						44.468395	-95.793379	008346140								SCHWAN'S GLOBAL SUPPLY CHAIN INC	008346140	A ONE TIME MAINTENANCE ACTIVITY REQUIRED A SYSTEM PUMP DOWN OF 15,200 LBS.  AIRGAS SPECIALTY PRODUCTS REMOVED AND TRANSPORTED THE AMMONIA TO BE RECYCLED AND USED AS FERTILIZER.	NO	AARON.SKOGEN@SCHWANS.COM	RR4		NO	 	
55060BLNTNCOUNT	1311209720857	007440020	NICKEL	TRI	2011	CATERPILLAR FOREST PRODUCTS	3249 CO RD 45 S	OWATONNA	STEELE	MN	55060	YES	NO	NO	NO								532412						44.045238	-93.226206	022954556								CATERPILLAR INC		WAS ABLE TO BREAK DOWN THE SOURCE OF STEEL FROM THE MILLS AND GET MORE SPECIFIC COMPOSITON INFORMATION FROM THEIR MSDS.	NO				YES	 	
55060BLNTNCOUNT	1311209720844	007439965	MANGANESE	TRI	2011	CATERPILLAR FOREST PRODUCTS	3249 CO RD 45 S	OWATONNA	STEELE	MN	55060	YES	NO	NO	NO								532412						44.045238	-93.226206	022954556								CATERPILLAR INC		WAS ABLE TO BREAK STEEL PURCHASED INTO MILL SOURCES WHICH ALLOWED FOR MORE SPECIFIC INFORMATION TO BE AVAILABLE ON THE MSDS FOR THE COMPOSITIONS.	NO				YES	 	
55060BLNTNCOUNT	1311209720818	007440508	COPPER	TRI	2011	CATERPILLAR FOREST PRODUCTS	3249 CO RD 45 S	OWATONNA	STEELE	MN	55060	YES	NO	NO	NO								532412						44.045238	-93.226206	022954556								CATERPILLAR INC		THIS CHEMICAL WAS ABLE TO BE IDENTIFIED ON THE SPECIFIC MSDS FOR THE STEEL.	NO				YES	 	
55060BLNTNCOUNT	1311209720794	007440484	COBALT	TRI	2011	CATERPILLAR FOREST PRODUCTS	3249 CO RD 45 S	OWATONNA	STEELE	MN	55060	YES	NO	NO	NO								532412						44.045238	-93.226206	022954556								CATERPILLAR INC		WAS ABLE TO GET CHEMICAL PERCENT CONTENT FROM SPECIFIC MSDS.	NO				YES	 	
55060BLNTNCOUNT	1311209720770	007440473	CHROMIUM	TRI	2011	CATERPILLAR FOREST PRODUCTS	3249 CO RD 45 S	OWATONNA	STEELE	MN	55060	YES	NO	NO	NO								532412						44.045238	-93.226206	022954556								CATERPILLAR INC		CHROMIUM AS IDENTIFIED IN THE MSDS.	NO				YES	 	
55336TLXCM172E1	1311208955664	007439921	LEAD	TRI	2011	BOSCH SECURITY SYSTEMS INC	1720 E 14TH ST	GLENCOE	MCLEOD	MN	55336	YES	NO	NO	NO								332999	326199					44.773174	-94.139453	066534611								ROBERT BOSCH NA	066534611	PROCESS USING REPORTED SUBSTANCE LEAD CEASED AS OF NOVEMBER 2011. 2012 FORM R WILL NOT BE SUBMITTED ON 2013. FACILITY WILL CLOSE IN MARCH 2012.	NO	CRAIG.TROMBORG@US.BOSCH.COM			YES	 	
56093TRNNC241NS	1311209304043	007439921	LEAD	TRI	2011	ITRON INC	2401 N STATE ST	WASECA	WASECA	MN	56093	YES	NO	NO	NO								334220						44.0984	-93.50722	093649895								ITRON INC		ONE OF OUR PROCESSES HAS BEEN DISCONTINUED	NO	PAUL.ANDERSON@ITRON.COM			YES	 	
56073MCMPN1700N	1311209241785	000117817	DI(2-ETHYLHEXYL) PHTHALATE	TRI	2011	3M CO - NEW ULM	1700 N MINNESOTA ST	NEW ULM	BROWN	MN	560730095	YES	NO	NO	NO								335931	326199	335929				44.32996	-94.47473	006172845								3M CO	006173082	NEW RAW MATERIAL FOR THE SITE.  THE SITE STARTED USING A MATERIAL CONTAINING THIS CHEMICAL IN 2011.	NO	JTILLIKMAN@MMM.COM			NO	 	
55912STNTL37011	1311209411469	N982	ZINC COMPOUNDS	TRI	2011	AUSTIN UTILITIES NORTHEAST POW ER STATION	3511 11TH ST NE	AUSTIN	MOWER	MN	55912	YES	NO	NO	NO								221112						43.703117	-92.959969	078667946										FACILITY WAS LAST SUBJECT TO TRI REPORTING FOR CALENDAR YEAR 2008.  COAL BURNING OPERATIONS WERE DRASTICALLY REDUCED IN 2009 AND 2010 AND TRI REPORTING THRESHOLDS WERE NOT EXCEEDED. FOR CALENDAR YEAR 2011, COAL USE INCREASED TO APPROXIMATELY ONE THIRD OF 2008 LEVELS AND TRI REPORTING IS REQUIRED.  THE FACILITY IS PHASING OUT COAL COMBUSTION, AND VERY LITTLE (POSSIBLY NO) COAL COMBUSTION WILL TAKE PLACE IN 2012 OR FUTURE YEARS.  TRI THRESHOLDS ARE NOT EXPECTED TO E EXCEEDED AFTER CALENDAR YEAR 2011.	NO	ALEXB@AUSTINUTILITIES.COM			YES	 	
