TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10-18-2012	
12078WDHYD68WOO	1311209060286	007440473	CHROMIUM	TRI	Pounds																		2011	NO	WOOD & HYDE LEATHER CO INC	68 WOOD ST	GLOVERSVILLE	FULTON	NY	12078	YES	NO	NO	NO								316110						43.060775	-74.342214	148617814										250	C 	JOHNSTOWN GLOVERSVILLE	191 UNION AVE. EXT.	JOHNSTOWN	NY	FULTON	12095							NO	GPATTER5@NYCAP.RR.COM			YES	 	
14760LCSCT1116E	1311209292414	007439921	LEAD	TRI	Pounds																		2011	NO	CUTCO CUTLERY CORP	1116 E STATE ST	OLEAN	CATTARAUGUS	NY	14760	YES	NO	NO	NO								332211						42.07396	-78.40689	002100618								CUTCO CORP	623316312	0		NA												NO	FREEBORN@CUTCO.COM			YES	 	
14760LCSCT1116E	1311209292402	007440473	CHROMIUM	TRI	Pounds																		2011	NO	CUTCO CUTLERY CORP	1116 E STATE ST	OLEAN	CATTARAUGUS	NY	14760	YES	NO	NO	NO								332211						42.07396	-78.40689	002100618								CUTCO CORP	623316312	5	O 	OLEAN 9C) WWTP	174 S 19TH ST	OLEAN	NY	CATTARAUGUS	14760							NO	FREEBORN@CUTCO.COM			YES	 	
12553MBLLN1281R	1311209429327	001330207	XYLENE (MIXED ISOMERS)	TRI	Pounds																		2011	NO	GLOBAL COS LLC NEWBURGH TERMINAL	1281 RIVER RD	NEW WINDSOR	ORANGE	NY	12553	YES	NO	NO	NO								424710						41.486249	-74.010068	019177757								GLOBAL COS LLC	019177757	0		NA												NO	RKENNY@GLOBALP.COM			NO	 	
12553MBLLN1281R	1311209429303	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	Pounds																		2011	NO	GLOBAL COS LLC NEWBURGH TERMINAL	1281 RIVER RD	NEW WINDSOR	ORANGE	NY	12553	YES	NO	NO	NO								424710						41.486249	-74.010068	019177757								GLOBAL COS LLC	019177757	0		NA												NO	RKENNY@GLOBALP.COM			NO	 	
12553MBLLN1281R	1311209429291	000091203	NAPHTHALENE	TRI	Pounds																		2011	NO	GLOBAL COS LLC NEWBURGH TERMINAL	1281 RIVER RD	NEW WINDSOR	ORANGE	NY	12553	YES	NO	NO	NO								424710						41.486249	-74.010068	019177757								GLOBAL COS LLC	019177757	0		NA												NO	RKENNY@GLOBALP.COM			NO	 	
12553MBLLN1281R	1311209429289	000110543	N-HEXANE	TRI	Pounds																		2011	NO	GLOBAL COS LLC NEWBURGH TERMINAL	1281 RIVER RD	NEW WINDSOR	ORANGE	NY	12553	YES	NO	NO	NO								424710						41.486249	-74.010068	019177757								GLOBAL COS LLC	019177757	0		NA												NO	RKENNY@GLOBALP.COM			NO	 	
12553MBLLN1281R	1311209429315	000108883	TOLUENE	TRI	Pounds																		2011	NO	GLOBAL COS LLC NEWBURGH TERMINAL	1281 RIVER RD	NEW WINDSOR	ORANGE	NY	12553	YES	NO	NO	NO								424710						41.486249	-74.010068	019177757								GLOBAL COS LLC	019177757	0		NA												NO	RKENNY@GLOBALP.COM			NO	 	
12553MBLLN1281R	1311209429277	N420	LEAD COMPOUNDS	PBT	Pounds																		2011	NO	GLOBAL COS LLC NEWBURGH TERMINAL	1281 RIVER RD	NEW WINDSOR	ORANGE	NY	12553	YES	NO	NO	NO								424710						41.486249	-74.010068	019177757								GLOBAL COS LLC	019177757	0		NA												NO	RKENNY@GLOBALP.COM			YES	 	
12553MBLLN1281R	1311209429265	000100414	ETHYLBENZENE	TRI	Pounds																		2011	NO	GLOBAL COS LLC NEWBURGH TERMINAL	1281 RIVER RD	NEW WINDSOR	ORANGE	NY	12553	YES	NO	NO	NO								424710						41.486249	-74.010068	019177757								GLOBAL COS LLC	019177757	0		NA												NO	RKENNY@GLOBALP.COM			NO	 	
