TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ADDITION INFORMATION - SOURCE REDUCTION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
65804DRFTN2035E	1307205772724	007697372	NITRIC ACID	TRI	2007	KRAFT FOODS GLOBAL INC	2035 E BENNETT	SPRINGFIELD	GREENE	MO	65804	YES	NO	NO	NO								311513						37.190651	-93.257202	039010590								KRAFT FOODS INC.	877147228	OUR DRYING PLANT OPERATION SHUT DOWN IN MAY 2007; THEREFORE WE DID NOT PURCHASE ANY NITRIC ACID FOR THAT PROCESS DURING THE REMAINDER OF THE YEAR.	NO	TODD.SHERMAN@KRAFT.COM			NO	
65536CPLND701EH	1307205298122	007439921	LEAD	PBT	2007	SCROLL COMPRESSORS LLC	701 E HWY 32	LEBANON	LACLEDE	MO	65536	YES	NO	NO	NO								333415						37.669521	-92.636421	004268884								EMERSON	006269633	LEAD IS USED AS A COMPONENT OF OUR CAST IRON USED IN THE MANUFACTURING PROCESS OF OUR PRODUCT. REDUCTION OF THE SCRAP WILL BE DIFFICULT DO TO OUR SUPPLIERS OF CAST.	NO	JUSTIN.GUY@EMERSON.COM			YES	
65536CPLND701EH	1307205298134	N450	MANGANESE COMPOUNDS	TRI	2007	SCROLL COMPRESSORS LLC	701 E HWY 32	LEBANON	LACLEDE	MO	65536	YES	NO	NO	NO								333415						37.669521	-92.636421	004268884								EMERSON	006269633	ACTUALLY TOOK AN ACCURATE WEIGHT OF FIVE DRUMS AND TOOK THE AVERAGE TO DETERMINE AMMOUNT. PREVIOUS YEARS USED ANOTHER LESS ACCURATE METHOD.	NO	JUSTIN.GUY@EMERSON.COM			YES	
65625FSCNCSALEB	1307205646767	007439921	LEAD	PBT	2007	FASCO INDUSTRIES INC	SALE BARN RD	CASSVILLE	BARRY	MO	65625	YES	NO	NO	NO								335312						36.66951	-93.870979	076265099								REGAL BELOIT CORP	006111751	WE SUBSTITUTED LEAD FREE SOLDER IN PRODUCTION SOLDERING OPERATIONS.	NO				YES	
64801GLPCH1927W	1307205872625	007439921	LEAD	PBT	2007	MID-AMERICA PRECISION PRODUCTS  LLC	1927 W 4TH ST	JOPLIN	JASPER	MO	64801	YES	NO	NO	NO								332439						37.088348	-94.535957	007158793										This process was reduced due to production needs	NO	SBELL@EHSJOPLIN.COM			YES	
63366HTCHNCANNO	1307205175591	007664417	AMMONIA	TRI	2007	O'FALLON CASTING	600 CANNONBALL LN	O'FALLON	ST CHARLES	MO	63366	YES	NO	NO	NO								331524	331525					38.8125	-90.66388	138833335										Equipment changes allowed O'Fallon Casting to reduce our Ammonia usage from 19,323 pounds in year 2006 to 2,796 pounds in  year 2007.	NO	JKAUFMAN@OFALLONCASTING.COM			NO	
64503RCKWL3811S	1307206149371	001330207	XYLENE (MIXED ISOMERS)	TRI	2007	ATCHISON STEEL CASTING & MACHINING SAINT JOSEPH MACHINE SHOP	3811 S 48TH TERRACE	SAINT JOSEPH	BUCHANAN	MO	64503	YES	NO	NO	NO								332710						39.728773	-94.780146	627851025		MOD096749981						AMERICAST TECHNOLOGIES	141874821	THE FACILITY STARTED USING A CLEANER THAT DOES NOT CONTAIN XYLENE.  THIS NEW CLEANER ELIMINATED THE WASTE SENT OFFSITE FOR RECYCLING AS WELL.	NO	DPEACOCK@BRADKENAMERICAS.COM	RR5		NO	
63042MLLNC675MC	1307205539099	000067561	METHANOL	TRI	2007	MALLINCKRODT INC	675 MCDONNEL BLVD	HAZELWOOD	ST LOUIS	MO	63042	YES	NO	NO	NO								325412						38.776944	-90.381944	047021092								MALLINCKRODT INC. (NY)		No new activities implemented in CY2007.  Continue to reuse a portion of the methanol directly in the process.  Also continuing with leak detection program,	NO	MARK.HALL@COVIDIEN.COM			NO	
64093GTSNR617NO	1307205335122	N420	LEAD COMPOUNDS	PBT	2007	ENERSYS ENERGY PRODUCTS INC ( FORMERLY HAWKER ENERGY)	617 N RIDGEVIEW DR	WARRENSBURG	JOHNSON	MO	640939301	YES	NO	NO	NO								335911						38.771648	-93.709618	836993402								ENERSYS INC.	052412533	THE COMPANY IS CERTIFIED AS 14001 EMS STANDARD. THE COMPANY IS CERTIFIED AS 9001 QUALITY STANDARD. CONSTANT TRAINING IS PROVIDED FOR EMPLOYEES. ALL VISITORS AND CONTRACTORS ARE BRIEFED ABOUT THE ENVIRONMENTAL HEALTH AND SAFETY BEFORE COMMENCING ANY WORK.	NO	MALCOLM.GAVANT@ENERSYS.COM			YES	
63353MSSRCHIGHW	1307205427988	007647010	HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY)	TRI	2007	MISSOURI CHEMICAL WORKS	11083 HWY D	LOUISIANA	PIKE	MO	63353	YES	NO	NO	NO								325199	325311					39.425	-91.02833	006299689								HERCULES INC	001315647	WE WERE REQUIRED TO BURN LOWER SO2 COAL.  THE SO2 COAL HAS HIGHER CL CONTENT.	NO	WCRENSHAW1@HERC.COM			NO	
63353MSSRCHIGHW	1307205427990	N420	LEAD COMPOUNDS	PBT	2007	MISSOURI CHEMICAL WORKS	11083 HWY D	LOUISIANA	PIKE	MO	63353	YES	NO	NO	NO								325199	325311					39.425	-91.02833	006299689								HERCULES INC	001315647	NO FLY TRANSFER OFF SITE FOR 2007.  ANTICIPATING THAT WE WILL HAVE TO TRANSFER SOME FLY OFFSITE FOR 2008 AND 2009.	NO	WCRENSHAW1@HERC.COM			YES	
