TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	FACILITY BIA CODE	FACILITY BIA NAME	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10/3/2014	
90622LCHCR6900O	1313211000942	007439921	LEAD	TRI	Pounds																		2013	NO	LEACH INTERNATIONAL	6900 ORANGETHORPE AVE	BUENA PARK	ORANGE	CA	906205032			YES	NO	NO	NO								336413						33.85889	-118.01333	008285587								ESTERLINE TECHNOLOGIES	043190826	0		NA												NO	SHYLA.LANGE@ESTERLINE.COM			YES	 	
92631FRTRF2451C	1313211000981	026471625	TOLUENE DIISOCYANATE (MIXED ISOMERS)	TRI	Pounds																		2013	NO	FUTURE FOAM INC	2451 CYPRESS WAY	FULLERTON	ORANGE	CA	92831			YES	NO	NO	NO								326150						33.861944	-117.885833	007261415								FUTURE FOAM INC		0		NA												NO	NONE@NOWHERE.COM			NO	 	
92631FRTRF2451C	1313211001021	N120	DIISOCYANATES	TRI	Pounds																		2013	NO	FUTURE FOAM INC	2451 CYPRESS WAY	FULLERTON	ORANGE	CA	92831			YES	NO	NO	NO								326150						33.861944	-117.885833	007261415								FUTURE FOAM INC		0		NA												NO	NONE@NOWHERE.COM			NO	 	
90670PFNC 9215S	1313211001351	N230	CERTAIN GLYCOL ETHERS	TRI	Pounds																		2013	NO	PFI INC	9215 SANTA FE SPRINGS RD	SANTA FE SPRINGS	LOS ANGELES	CA	90670			YES	NO	NO	NO								325510						33.95636	-118.05331	008392755										0		NA												NO	BHOLST@PFIINC.NET			NO	 	
90670PFNC 9215S	1313211001363	001330207	XYLENE (MIXED ISOMERS)	TRI	Pounds																		2013	NO	PFI INC	9215 SANTA FE SPRINGS RD	SANTA FE SPRINGS	LOS ANGELES	CA	90670			YES	NO	NO	NO								325510						33.95636	-118.05331	008392755										0		NA												NO	BHOLST@PFIINC.NET			NO	 	
95501SMPSN5151H	1313211001375	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	CALIFORNIA REDWOOD CO BRAINARD	5151 HWY 101 N	EUREKA	HUMBOLDT	CA	95501			YES	NO	NO	NO								321113						40.81441	-124.1107	118923031								GREEN DIAMOND RESOURCES	152102922	0		NA												NO	RVOGT@CALREDCO.COM			YES	 	
95550SMPSN1165M	1313211001387	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	CALIFORNIA REDWOOD CO KORBEL SAWMILL	1165 MAPLE CREEK RD	KORBEL	HUMBOLDT	CA	95550			YES	NO	NO	NO								321113						40.870425	-123.962984	152102922								GREEN DIAMOND RESOURCES	152102922	0		NA												NO	RVOGT@CALREDCO.COM			YES	 	
90503RPSCN285CL	1313211001490	007439921	LEAD	TRI	Pounds																		2013	NO	RAPISCAN SYSTEMS INC	2805 COLUMBIA ST	TORRANCE	LOS ANGELES	CA	90503			YES	NO	NO	NO								334517						33.84418	-118.33723	802315069								OSI-SYSTEMS INC	178295812	0		NA												NO	AVASHISHAT@OSI-SYSTEMS.COM			YES	 	
91730SPRCT11200	1313211001971	000095636	1,2,4-TRIMETHYLBENZENE	TRI	Pounds																		2013	NO	STEELSCAPE LLC	11200 ARROW RT	RANCHO CUCAMONGA	SAN BERNARDINO	CA	917300000			YES	NO	NO	NO								332812						34.09918	-117.56077	062527739								STEELSCAPE LLC		0		NA												NO	MIKE.NELSON@STEELSCAPE.COM			NO	 	
91730SPRCT11200	1313211001983	N230	CERTAIN GLYCOL ETHERS	TRI	Pounds																		2013	NO	STEELSCAPE LLC	11200 ARROW RT	RANCHO CUCAMONGA	SAN BERNARDINO	CA	917300000			YES	NO	NO	NO								332812						34.09918	-117.56077	062527739								STEELSCAPE LLC		0		NA												NO	MIKE.NELSON@STEELSCAPE.COM			NO	 	
91730SPRCT11200	1313211001995	N090	CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)	TRI	Pounds																		2013	NO	STEELSCAPE LLC	11200 ARROW RT	RANCHO CUCAMONGA	SAN BERNARDINO	CA	917300000			YES	NO	NO	NO								332812						34.09918	-117.56077	062527739								STEELSCAPE LLC		.23	O 	IE REGIONAL PLANT 5 CHINO	6075-C KIMBALL AVE	CHINO	CA	SAN BERNARDINO	91708							NO	MIKE.NELSON@STEELSCAPE.COM			YES	 	
91730SPRCT11200	1313211002009	N100	COPPER COMPOUNDS	TRI	Pounds																		2013	NO	STEELSCAPE LLC	11200 ARROW RT	RANCHO CUCAMONGA	SAN BERNARDINO	CA	917300000			YES	NO	NO	NO								332812						34.09918	-117.56077	062527739								STEELSCAPE LLC		0		NA												NO	MIKE.NELSON@STEELSCAPE.COM			YES	 	
91730SPRCT11200	1313211002011	000131113	DIMETHYL PHTHALATE	TRI	Pounds																		2013	NO	STEELSCAPE LLC	11200 ARROW RT	RANCHO CUCAMONGA	SAN BERNARDINO	CA	917300000			YES	NO	NO	NO								332812						34.09918	-117.56077	062527739								STEELSCAPE LLC		0		NA												NO	MIKE.NELSON@STEELSCAPE.COM			NO	 	
91730SPRCT11200	1313211002023	000100414	ETHYLBENZENE	TRI	Pounds																		2013	NO	STEELSCAPE LLC	11200 ARROW RT	RANCHO CUCAMONGA	SAN BERNARDINO	CA	917300000			YES	NO	NO	NO								332812						34.09918	-117.56077	062527739								STEELSCAPE LLC		0		NA												NO	MIKE.NELSON@STEELSCAPE.COM			NO	 	
91730SPRCT11200	1313211002035	N420	LEAD COMPOUNDS	PBT	Pounds																		2013	NO	STEELSCAPE LLC	11200 ARROW RT	RANCHO CUCAMONGA	SAN BERNARDINO	CA	917300000			YES	NO	NO	NO								332812						34.09918	-117.56077	062527739								STEELSCAPE LLC		0		NA												NO	MIKE.NELSON@STEELSCAPE.COM			YES	 	
