TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	FACILITY BIA CODE	FACILITY BIA NAME	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 9 MISCELLANEOUS INFORMATION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10/3/2014	
3391WFLRDR14361	1313210983944	007439921	LEAD	TRI	2013	FLORIDA ROCK GEEN MEADOWS READY MIX PLANT	14361 ALICO RD	FORT MYERS	LEE	FL	33913			YES	NO	NO	NO								327320						26.492526	-81.718535	009857855								VULCAN MATERIALS CO	805344798	As of March 8, 2014, this facility is owned and operated by Argos Ready Mix LLC.  Any questions regarding the content of this release report should be directed to personnel identified in 4.3 and 4.4 of this form.	NO	SSIMONSEN@ARGOS-US.COM			YES	 	
33619VNWTR6049O	1313211119476	001330207	XYLENE (MIXED ISOMERS)	TRI	2013	UNIVAR USA INC TAMPA FACILITY	6049 OLD 41A HWY	TAMPA	HILLSBOROUGH	FL	336199796			YES	NO	NO	NO								424690						27.95353	-82.50754	102971785								UNIVAR USA INC		A larger amount of product was sent off site as waste because of off specification product that was sent off as waste.	NO	LEE.JARRETT@UNIVARUSA.COM			NO	 	
33619VNWTR6049O	1313211119449	N230	CERTAIN GLYCOL ETHERS	TRI	2013	UNIVAR USA INC TAMPA FACILITY	6049 OLD 41A HWY	TAMPA	HILLSBOROUGH	FL	336199796			YES	NO	NO	NO								424690						27.95353	-82.50754	102971785								UNIVAR USA INC		|TPRL:A large customer for this prodcut was aquired in 2013	NO	LEE.JARRETT@UNIVARUSA.COM			NO	 	
3391WCMXLC152AL	1313210976066	N420	LEAD COMPOUNDS	PBT	2013	CEMEX ALICO RD	15200 ALICO RD	FORT MYERS	LEE	FL	33916			YES	NO	NO	NO								327320						26.47713	-81.711582	189840945								CEMEX CONSTRUCTION MATERIALS FLORIDA LLC	189840945	|PRAI:Total cement and flyash consumption|FACC:Zip code was typed incorrectly	NO	JASONP.JONES@CEMEX.COM			YES	 	
33714MRNND45906	1313211308111	001330207	XYLENE (MIXED ISOMERS)	TRI	2013	MARINE INDUSTRIAL PAINT CO	4590 60TH AVE N	SAINT PETERSBURG	PINELLAS	FL	33714			YES	NO	NO	NO								325510						27.82601	-82.695398	050700301										|PRAI:Overall productions of all Coatings increased 23% from previous year.	NO	GREGD@TUF-TOP.COM			NO	 	
32548MCRSY35HIL	1313210966216	007439921	LEAD	TRI	2013	MICRO SYSTEMS INC	35 HILL AVE NW	FORT WALTON BEACH	OKALOOSA	FL	325483858			YES	NO	NO	NO								334412	334513					30.41815	-86.666055	884457813		FLD982076101						KRATOS DEFENSE & SECURITY SOLUTIONS INC	884457813	Calculations regarding the quantities of lead, in previous years, are lower than expected.  Upon review, previous calculations factored in all 365 days of the year.  When, in fact, the calculation should have only used days the solder was used during business days when workers used the product.The new quantity calculations are based on actual "business days" and during the process the lead solder may be used in production.  Fewer days compared to required change-out period has reduced the actual number of used & new solder used for replacement.  The new calculation is a realistic number of lead solder use and disposal.	NO	BSARVER@GOMICROSYSTEMS.COM			YES	 	
32809RGLMR2300J	1313210959021	000080626	METHYL METHACRYLATE	TRI	2013	REGAL MARINE INDUSTRIES INC	2300 JETPORT DR	ORLANDO	ORANGE	FL	32809			YES	NO	NO	NO								336612						28.449014	-81.351797									REGAL MARINE INDUSTRIES INC		The only material with this chemical as a componet that was not used in a manufactured finished product, prematurely became non-usable and thus had to be shipped off-site for energy recovery rather than used as a finished product component.	NO	JMCINTURF@REGALBOATS.COM			NO	 	
3209WGRFFN11313	1313211584901	000110543	N-HEXANE	TRI	2013	GRIFFIN INDUSTRIES LLC	11313 SE 52ND AVE	STARKE	BRADFORD	FL	32091			YES	NO	NO	NO								311613						29.882169	-82.129421	004256509								DARLING INGREDIENTS INC	005092358	|PRAI:The increased Production Ratio represents continued increases in production raw material toward sustained operation.	NO				NO	 	
32206JNSCH1433T	1313211081029	007782505	CHLORINE	TRI	2013	JCI JONES CHEMICALS INC	1433 TALLEYRAND AVE	JACKSONVILLE	DUVAL	FL	32206			YES	NO	NO	NO								424690						30.341339	-81.627228	002216091								JCI JONES CHEMICALS INC		|811AI:The information reflects continued implemented source reduction activities.	NO	BLAMPLEY@JCICHEM.COM			NO	 	
32218CDRBY9640E	1313210987475	007664417	AMMONIA	TRI	2013	CEDAR BAY GENERATING CO LP	9640 EASTPORT RD	JACKSONVILLE	DUVAL	FL	32218			YES	NO	NO	NO								221112						30.421801	-81.607328	790551998								COGENTRIX ENERGY MANAGEMENT SERVICES	613230775	|PRAI:Production ratio based on net megawatts sold to FPL.	NO	TRACYPATTERSON@COGENTRIX.COM			NO	 	
