TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 8.11 DISPOSAL OR OTHER RELEASES, SOURCE REDUCTION, AND RECYCLING ACTIVITIES	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10-18-2012	
38001WSTNGRT1	1311209493497	N100	COPPER COMPOUNDS	TRI	2011	ABB INC ALAMO	1128 S CAVALIER DR	ALAMO	CROCKETT	TN	38001	YES	NO	NO	NO								335311						35.780784	-89.14032	609774435								ABB INC		FACILITY IS GENERATING LESS SCRAP/WASTE THAN YEARS PAST	NO	CYNTHIA.A.HOWARD@US.ABB.COM			YES	 	
37814WRGRC5700C	1311208991051	000106990	1,3-BUTADIENE	TRI	2011	MACDERMID PRINTING SOLUTIONS	5700 COMMERCE BLVD	MORRISTOWN	HAMBLEN	TN	37814	YES	NO	NO	NO								325998						36.16993	-83.3905	030990472								MACDERMID INC	001165499	ONE OF OUR VENDORS (A TOLL COATER) USE A SMALL QUANTITY OF THE BUTADIENE IN THE MATERIAL THEY COAT FOR US ON POLYESTER FILM.  THE ONLY SOURCE OF THE BUTADIENE THAT WE HAD, DECIDED TO STOP MANUFACTURE OF THE PRODUCT.  WE PURCHASED THEIR REMAINING INVENTORY OF 27,600 POUNDS.  WE ARE HOLDING THE MATERIAL ON SITE AND WILL SHIP OUR TOLL COATER THE QUANTITIES WHEN THEY NEED ITL	NO	KESTES@MACDERMID.COM			NO	 	
37831SDKRDBEARC	1311209692312	N420	LEAD COMPOUNDS	PBT	2011	NNSA Y-12 NATIONAL SECURITY COMPLEX	BEAR CREEK RD	OAK RIDGE	ANDERSON	TN	37831	YES	NO	YES	NO								332999						35.985806	-84.255611									US DEPARTMENT OF ENERGY		THE Y-12 POLLUTION PREVENTION PROGRAM IS FORMULATED TO REDUCE THE GENERATION AND TOXICITY OF Y-12 WASTES IN ALL MEDIA AND PROMOTE SUSTAINABILITY, ENVIRONMENTAL STEWARDSHIP, SUSTAINABLE ACQUISITION, AND RESOURCE CONSERVATION.  THE TERM ¿POLLUTION PREVENTION¿ AT Y-12 IS CONSISTENT WITH DOE¿S DEFINITION AND INCLUDES ACTIVITIES THAT INVOLVE MULTIMEDIA SOURCE REDUCTION AND RECYCLING OF ALL WASTES AND POLLUTANTS IN ALL MEDIA.	YES	WYATTSL@YSO.DOE.GOV			YES	 	
37831SDKRDBEARC	1311209692348	000067561	METHANOL	TRI	2011	NNSA Y-12 NATIONAL SECURITY COMPLEX	BEAR CREEK RD	OAK RIDGE	ANDERSON	TN	37831	YES	NO	YES	NO								332999						35.985806	-84.255611									US DEPARTMENT OF ENERGY		THE Y-12 POLLUTION PREVENTION PROGRAM IS FORMULATED TO REDUCE THE GENERATION AND TOXICITY OF Y-12 WASTES IN ALL MEDIA AND PROMOTE SUSTAINABILITY, ENVIRONMENTAL STEWARDSHIP, SUSTAINABLE ACQUISITION, AND RESOURCE CONSERVATION.  THE TERM ¿POLLUTION PREVENTION¿ AT Y-12 IS CONSISTENT WITH DOE¿S DEFINITION AND INCLUDES ACTIVITIES THAT INVOLVE MULTIMEDIA SOURCE REDUCTION AND RECYCLING OF ALL WASTES AND POLLUTANTS IN ALL MEDIA	YES	WYATTSL@YSO.DOE.GOV			NO	 	
37831SDKRDBEARC	1311209692286	007440508	COPPER	TRI	2011	NNSA Y-12 NATIONAL SECURITY COMPLEX	BEAR CREEK RD	OAK RIDGE	ANDERSON	TN	37831	YES	NO	YES	NO								332999						35.985806	-84.255611									US DEPARTMENT OF ENERGY		THE Y-12 POLLUTION PREVENTION PROGRAM IS FORMULATED TO REDUCE THE GENERATION AND TOXICITY OF Y-12 WASTES IN ALL MEDIA AND PROMOTE SUSTAINABILITY, ENVIRONMENTAL STEWARDSHIP, SUSTAINABLE ACQUISITION, AND RESOURCE CONSERVATION.  THE TERM ¿POLLUTION PREVENTION¿ AT Y-12 IS CONSISTENT WITH DOE¿S DEFINITION AND INCLUDES ACTIVITIES THAT INVOLVE MULTIMEDIA SOURCE REDUCTION AND RECYCLING OF ALL WASTES AND POLLUTANTS IN ALL MEDIA.	YES	WYATTSL@YSO.DOE.GOV			YES	 	
37831SDKRDBEARC	1311209692351	007440020	NICKEL	TRI	2011	NNSA Y-12 NATIONAL SECURITY COMPLEX	BEAR CREEK RD	OAK RIDGE	ANDERSON	TN	37831	YES	NO	YES	NO								332999						35.985806	-84.255611									US DEPARTMENT OF ENERGY		THE Y-12 POLLUTION PREVENTION PROGRAM IS FORMULATED TO REDUCE THE GENERATION AND TOXICITY OF Y-12 WASTES IN ALL MEDIA AND PROMOTE SUSTAINABILITY, ENVIRONMENTAL STEWARDSHIP, SUSTAINABLE ACQUISITION, AND RESOURCE CONSERVATION.  THE TERM ¿POLLUTION PREVENTION¿ AT Y-12 IS CONSISTENT WITH DOE¿S DEFINITION AND INCLUDES ACTIVITIES THAT INVOLVE MULTIMEDIA SOURCE REDUCTION AND RECYCLING OF ALL WASTES AND POLLUTANTS IN ALL MEDIA.	YES	WYATTSL@YSO.DOE.GOV			YES	 	
37831SDKRDBEARC	1311209692336	007439976	MERCURY	PBT	2011	NNSA Y-12 NATIONAL SECURITY COMPLEX	BEAR CREEK RD	OAK RIDGE	ANDERSON	TN	37831	YES	NO	YES	NO								332999						35.985806	-84.255611									US DEPARTMENT OF ENERGY		THE Y-12 POLLUTION PREVENTION PROGRAM IS FORMULATED TO REDUCE THE GENERATION AND TOXICITY OF Y-12 WASTES IN ALL MEDIA AND PROMOTE SUSTAINABILITY, ENVIRONMENTAL STEWARDSHIP, SUSTAINABLE ACQUISITION, AND RESOURCE CONSERVATION.  THE TERM ¿POLLUTION PREVENTION¿ AT Y-12 IS CONSISTENT WITH DOE¿S DEFINITION AND INCLUDES ACTIVITIES THAT INVOLVE MULTIMEDIA SOURCE REDUCTION AND RECYCLING OF ALL WASTES AND POLLUTANTS IN ALL MEDIA	YES	WYATTSL@YSO.DOE.GOV			YES	 	
37763DVRSF657GA	1311209314816	001336363	POLYCHLORINATED BIPHENYLS	PBT	2011	DIVERSIFIED SCIENTIFIC SERVICE S INC (DSSI)	657 GALLAHER RD	KINGSTON	ROANE	TN	37763	YES	NO	NO	NO								562211						35.87577	-84.43743	175851245								PERMA-FIX ENVIRONMENTAL SERVICES INC	792117681	PCBS CONTAINED WITHIN MIXED WASTES RECEIVED FOR COMBUSTION TREATMENT UNDER EPA TSCA 761.60(E)DISPOSAL APPROVAL.  RECYCLING/RECOVERY NOT POSSIBLE DUE TO RADIOACTIVE MATERIALS CONTENT.	NO	RDEVIN@PERMA-FIX.COM			NO	 	
37763DVRSF657GA	1311209314804	N458	MERCURY COMPOUNDS	PBT	2011	DIVERSIFIED SCIENTIFIC SERVICE S INC (DSSI)	657 GALLAHER RD	KINGSTON	ROANE	TN	37763	YES	NO	NO	NO								562211						35.87577	-84.43743	175851245								PERMA-FIX ENVIRONMENTAL SERVICES INC	792117681	MERCURY (ELEMENTAL AND COMPOUNDS) CONTAINED IN MIXED WASTE TREATED ON SITE WITH SUBSEQUENT OFF SITE DISPOSAL.  MERCURY IS CONTAMINATED WITH RADIOACTIVE MATERIALS; AND RECYCLING IS NOT POSSIBLE.	NO	RDEVIN@PERMA-FIX.COM			YES	 	
37087WYNNS104HA	1311209196880	N420	LEAD COMPOUNDS	PBT	2011	PARKER HANNIFIN CORP O-RING DIV	104 HARTMANN DR	LEBANON	WILSON	TN	37087	YES	NO	NO	NO								325212	326299					36.21732	-86.32041	004175550								PARKER HANNIFIN CORP	004175550	QUALITY IMPROVEMENT EFFORTS WERE SUCCESSFUL IN REDUCING SCRAP IN 2011.	NO	TBIRCH@PARKER.COM			YES	 	
