TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ADDITION INFORMATION - SOURCE REDUCTION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
20166RBP  BUILD	1307205441506	000095636	1,2,4-TRIMETHYLBENZENE	TRI	2007	AIR BP FUELING OPERATIONS INTERNATIONAL AIRPORT DULLES	TANK FARM RD BUILDING 2	STERLING	LOUDOUN	VA	20166	YES	NO	NO	NO								424710						38.960556	-77.446388									BP PRODUCTS NA	513435301	CONSTRUCTED NEW MIDFIELD TERMINAL FOR DIESEL AND GASOLINE STORAGE/DISPENSING.	NO	DIANE.HOETING@PARSONS.COM			NO	
20166RBP  BUILD	1307205441518	007440382	ARSENIC	TRI	2007	AIR BP FUELING OPERATIONS INTERNATIONAL AIRPORT DULLES	TANK FARM RD BUILDING 2	STERLING	LOUDOUN	VA	20166	YES	NO	NO	NO								424710						38.960556	-77.446388									BP PRODUCTS NA	513435301	CONSTRUCTED NEW MIDFIELD TERMINAL FOR DIESEL AND GASOLINE STORAGE/DISPENSING.	NO	DIANE.HOETING@PARSONS.COM			YES	
20166RBP  BUILD	1307205441520	000071432	BENZENE	TRI	2007	AIR BP FUELING OPERATIONS INTERNATIONAL AIRPORT DULLES	TANK FARM RD BUILDING 2	STERLING	LOUDOUN	VA	20166	YES	NO	NO	NO								424710						38.960556	-77.446388									BP PRODUCTS NA	513435301	CONSTRUCTED NEW MIDFIELD TERMINAL FOR DIESEL AND GASOLINE STORAGE/DISPENSING.	NO	DIANE.HOETING@PARSONS.COM			NO	
20166RBP  BUILD	1307205441532	007440417	BERYLLIUM	TRI	2007	AIR BP FUELING OPERATIONS INTERNATIONAL AIRPORT DULLES	TANK FARM RD BUILDING 2	STERLING	LOUDOUN	VA	20166	YES	NO	NO	NO								424710						38.960556	-77.446388									BP PRODUCTS NA	513435301	CONSTRUCTED NEW MIDFIELD TERMINAL FOR DIESEL AND GASOLINE STORAGE/DISPENSING.	NO	DIANE.HOETING@PARSONS.COM			YES	
20166RBP  BUILD	1307205441544	007440439	CADMIUM	TRI	2007	AIR BP FUELING OPERATIONS INTERNATIONAL AIRPORT DULLES	TANK FARM RD BUILDING 2	STERLING	LOUDOUN	VA	20166	YES	NO	NO	NO								424710						38.960556	-77.446388									BP PRODUCTS NA	513435301	CONSTRUCTED NEW MIDFIELD TERMINAL FOR DIESEL AND GASOLINE STORAGE/DISPENSING.	NO	DIANE.HOETING@PARSONS.COM			YES	
20166RBP  BUILD	1307205441557	007440473	CHROMIUM	TRI	2007	AIR BP FUELING OPERATIONS INTERNATIONAL AIRPORT DULLES	TANK FARM RD BUILDING 2	STERLING	LOUDOUN	VA	20166	YES	NO	NO	NO								424710						38.960556	-77.446388									BP PRODUCTS NA	513435301	CONSTRUCTED NEW MIDFIELD TERMINAL FOR DIESEL AND GASOLINE STORAGE/DISPENSING.	NO	DIANE.HOETING@PARSONS.COM			YES	
20166RBP  BUILD	1307205441569	000100414	ETHYLBENZENE	TRI	2007	AIR BP FUELING OPERATIONS INTERNATIONAL AIRPORT DULLES	TANK FARM RD BUILDING 2	STERLING	LOUDOUN	VA	20166	YES	NO	NO	NO								424710						38.960556	-77.446388									BP PRODUCTS NA	513435301	CONSTRUCTED NEW MIDFIELD TERMINAL FOR DIESEL AND GASOLINE STORAGE/DISPENSING.	NO	DIANE.HOETING@PARSONS.COM			NO	
20166RBP  BUILD	1307205441571	001634044	METHYL TERT-BUTYL ETHER	TRI	2007	AIR BP FUELING OPERATIONS INTERNATIONAL AIRPORT DULLES	TANK FARM RD BUILDING 2	STERLING	LOUDOUN	VA	20166	YES	NO	NO	NO								424710						38.960556	-77.446388									BP PRODUCTS NA	513435301	CONSTRUCTED NEW MIDFIELD TERMINAL FOR DIESEL AND GASOLINE STORAGE/DISPENSING.	NO	DIANE.HOETING@PARSONS.COM			NO	
20166RBP  BUILD	1307205441583	000110543	N-HEXANE	TRI	2007	AIR BP FUELING OPERATIONS INTERNATIONAL AIRPORT DULLES	TANK FARM RD BUILDING 2	STERLING	LOUDOUN	VA	20166	YES	NO	NO	NO								424710						38.960556	-77.446388									BP PRODUCTS NA	513435301	CONSTRUCTED NEW MIDFIELD TERMINAL FOR DIESEL AND GASOLINE STORAGE/DISPENSING.	NO	DIANE.HOETING@PARSONS.COM			NO	
20166RBP  BUILD	1307205441595	000108883	TOLUENE	TRI	2007	AIR BP FUELING OPERATIONS INTERNATIONAL AIRPORT DULLES	TANK FARM RD BUILDING 2	STERLING	LOUDOUN	VA	20166	YES	NO	NO	NO								424710						38.960556	-77.446388									BP PRODUCTS NA	513435301	CONSTRUCTED NEW MIDFIELD TERMINAL FOR DIESEL AND GASOLINE STORAGE/DISPENSING.	NO	DIANE.HOETING@PARSONS.COM			NO	
