TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 9 MISCELLANEOUS INFORMATION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10-18-2012	
89438NRTHVI80EX	1311209179821	007647010	HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY)	TRI	2011	SIERRA PACIFIC POWER CO NORTH VALMY STATION	23755 TREATY HILL RD	VALMY	HUMBOLDT	NV	89438	YES	NO	NO	NO								221122						40.887167	-117.148798	134486190								SIERRA PACIFIC RESOURCES	134486190	THE INCREASE FROM 2010 TO 2011 WAS DO TO WE HAD MORE RECENT STACK TESTING RESULTS TO USE TO CALCULATE THE EMISSIONS WHERE AS IN 2010 THE DATA WAS BASED FROM HISTORICAL TESTING PERFORM IN THE 2000 TIME FRAME.	NO	ASMITH@NVENERGY.COM			NO	 	
89406SMJST2121T	1311209070945	007439921	LEAD	TRI	2011	NEW MILLENNIUM BUILDING SYSTEMS LLC	8200 WOOLERY WAY	FALLON	CHURCHILL	NV	89406	YES	NO	NO	NO								332312						39.50708	-118.91759	964969286								STEEL DYNAMICS INC	808202725	1ST SUBMISSION FOR NEW OWNER NEW MILLENNIUM BUILDING SYSTEMS (EFFECTIVE OCTOBER 2010).  NEW MILLENNIUM BUILDING SYSTEMS BEGAN PRODUCTION OPERATIONS IN 2011.	NO	GARY.HEASLEY@STEELDYNAMICS.COM			YES	 	
89406SMJST2121T	1311209070958	007439965	MANGANESE	TRI	2011	NEW MILLENNIUM BUILDING SYSTEMS LLC	8200 WOOLERY WAY	FALLON	CHURCHILL	NV	89406	YES	NO	NO	NO								332312						39.50708	-118.91759	964969286								STEEL DYNAMICS INC	808202725	1ST SUBMISSION FOR NEW OWNER NEW MILLENNIUM BUILDING SYSTEMS (EFFECTIVE OCTOBER 2010).  NEW MILLENNIUM BUILDING SYSTEMS BEGAN PRODUCTION OPERATIONS IN 2011.	NO	GARY.HEASLEY@STEELDYNAMICS.COM			YES	 	
89414KNSNY60MIL	1311209845597	N106	CYANIDE COMPOUNDS	TRI	2011	NEWMONT MIDAS OPERATIONS	1001 GOLD ST	MIDAS	ELKO	NV	89414	YES	NO	NO	NO								212221						41.122002	-115.096001	037179756								NEWMONT MINING CORP	037179756	BY USING RCRA CODES NEWMONT MINING CORPORATION IS NOT AGREEING THAT RCRA CODES ARE APPROPRIATE FOR USE IN TRI CONTEXT.	NO	MARY.KORPI@NEWMONT.COM	RR4		NO	 	
89820BTTLMCOPPE	1311209845573	N106	CYANIDE COMPOUNDS	TRI	2011	NEWMONT MINING CORP COPPER CANYON FACILITY	12 MI SE OF BATTLE MOUNTAIN COPPER CANYON FACILITY	BATTLE MOUNTAIN	LANDER	NV	89820	YES	NO	NO	NO								212221						40.516666	-117.099998	188373435								NEWMONT MINING CORP	188373435	BY USING RCRA CODES NEWMONT MINING CORPORATION IS NOT AGREEING THAT RCRA CODES ARE APPROPRIATE FOR USE IN TRI CONTEXT.	NO	MARY.KORPI@NEWMONT.COM	RR4		NO	 	
89506GNRLP7970S	1311209667498	000108883	TOLUENE	TRI	2011	SUN CHEMICAL CORP	7970 SECURITY CIR	RENO	WASHOE	NV	89506	YES	NO	NO	NO								325910						39.59484	-119.8352									SUN CHEMICAL CORP	144638558	FACILITY CEASED OPERATION IN CY2011	NO	CHRIS.STENGER@SUNCHEMICAL.COM			NO	 	
89506GNRLP7970S	1311209667512	N982	ZINC COMPOUNDS	TRI	2011	SUN CHEMICAL CORP	7970 SECURITY CIR	RENO	WASHOE	NV	89506	YES	NO	NO	NO								325910						39.59484	-119.8352									SUN CHEMICAL CORP	144638558	FACILITY CEASED OPERATION IN CY2011	NO	CHRIS.STENGER@SUNCHEMICAL.COM			YES	 	
89414NWMNT35MIL	1311209845496	N010	ANTIMONY COMPOUNDS	TRI	2011	NEWMONT MINING CORP TWIN CREEKS MINE	35 MILES NE OF GOLCONDA	GOLCONDA	HUMBOLDT	NV	89414	YES	NO	NO	NO								212221						41.23	-117.152777	042786921								NEWMONT MINING CORP	188373435	BY USING RCRA CODES NEWMONT MINING CORPORATION IS NOT AGREEING THAT RCRA CODES ARE APPROPRIATE FOR USE IN TRI CONTEXT.	NO	MARY.KORPI@NEWMONT.COM	RR4		YES	 	
89414NWMNT35MIL	1311209845508	N020	ARSENIC COMPOUNDS	TRI	2011	NEWMONT MINING CORP TWIN CREEKS MINE	35 MILES NE OF GOLCONDA	GOLCONDA	HUMBOLDT	NV	89414	YES	NO	NO	NO								212221						41.23	-117.152777	042786921								NEWMONT MINING CORP	188373435	BY USING RCRA CODES NEWMONT MINING CORPORATION IS NOT AGREEING THAT RCRA CODES ARE APPROPRIATE FOR USE IN TRI CONTEXT.	NO	MARY.KORPI@NEWMONT.COM	RR4		YES	 	
89414NWMNT35MIL	1311209845522	N450	MANGANESE COMPOUNDS	TRI	2011	NEWMONT MINING CORP TWIN CREEKS MINE	35 MILES NE OF GOLCONDA	GOLCONDA	HUMBOLDT	NV	89414	YES	NO	NO	NO								212221						41.23	-117.152777	042786921								NEWMONT MINING CORP	188373435	BY USING RCRA CODES NEWMONT MINING CORPORATION IS NOT AGREEING THAT RCRA CODES ARE APPROPRIATE FOR USE IN TRI CONTEXT.	NO	MARY.KORPI@NEWMONT.COM	RR4		YES	 	
89414NWMNT35MIL	1311209845510	N106	CYANIDE COMPOUNDS	TRI	2011	NEWMONT MINING CORP TWIN CREEKS MINE	35 MILES NE OF GOLCONDA	GOLCONDA	HUMBOLDT	NV	89414	YES	NO	NO	NO								212221						41.23	-117.152777	042786921								NEWMONT MINING CORP	188373435	BY USING RCRA CODES NEWMONT MINING CORPORATION IS NOT AGREEING THAT RCRA CODES ARE APPROPRIATE FOR USE IN TRI CONTEXT.	NO	MARY.KORPI@NEWMONT.COM	RR4		NO	 	
89822NWMNT6MAIL	1311209845229	N106	CYANIDE COMPOUNDS	TRI	2011	NEWMONT MINING CORP - CARLIN SOUTH AREA	6 MILES N OF CARLIN	CARLIN	EUREKA	NV	89822	YES	NO	NO	NO								212221						40.783833	-116.21175	188373435								NEWMONT MINING CORP		BY USING RCRA CODES NEWMONT MINING CORPORATION IS NOT AGREEING THAT RCRA CODES ARE APPROPRIATE FOR USE IN TRI CONTEXT.	NO	MARY.KORPI@NEWMONT.COM	RR4		NO	 	
89045SMKYV1SMOK	1311209361144	N450	MANGANESE COMPOUNDS	TRI	2011	SMOKY VALLEY COMMON OPERATION	#1 SMOKY VALLEY MINE RD	ROUND MOUNTAIN	NYE	NV	89045	YES	NO	NO	NO								212221						38.708056	-117.101944									ROUND MOUNTAIN GOLD CORP		PREVIOUSLY REPORTED ONLY ELEMENTAL MN. EXCEEDED MN COMPOUND THIS YEAR DUE TO USE OF SPENT ORE.	NO				YES	 	
89045SMKYV1SMOK	1311209361120	000074908	HYDROGEN CYANIDE	TRI	2011	SMOKY VALLEY COMMON OPERATION	#1 SMOKY VALLEY MINE RD	ROUND MOUNTAIN	NYE	NV	89045	YES	NO	NO	NO								212221						38.708056	-117.101944									ROUND MOUNTAIN GOLD CORP		CHANGES IN PH, TEMP AND CN CONCENTRATIONS CREATE VARIATION IN HCN RELEASES	NO				NO	 	
89045SMKYV1SMOK	1311209361118	N150	DIOXIN AND DIOXIN-LIKE COMPOUNDS	DIOXIN	2011	SMOKY VALLEY COMMON OPERATION	#1 SMOKY VALLEY MINE RD	ROUND MOUNTAIN	NYE	NV	89045	YES	NO	NO	NO								212221						38.708056	-117.101944									ROUND MOUNTAIN GOLD CORP		IN 2011 FIRST YEAR BURNING ENOUGH GASOLINE AND DIESEL IN INTERNAL COMBUSTION ENGINES TO BARELY EXCEED THRESHOLD	NO				NO	 	
89045SMKYV1SMOK	1311209361157	N458	MERCURY COMPOUNDS	PBT	2011	SMOKY VALLEY COMMON OPERATION	#1 SMOKY VALLEY MINE RD	ROUND MOUNTAIN	NYE	NV	89045	YES	NO	NO	NO								212221						38.708056	-117.101944									ROUND MOUNTAIN GOLD CORP		INCREASE IN HG CONC. OFFSET DECREASE IN WASTE ROCK; SIGNIFICANT DECREASE IN HG CONC. IN TAILINGS.	NO				YES	 	
89045SMKYV1SMOK	1311209823590	N511	NITRATE COMPOUNDS	TRI	2011	SMOKY VALLEY COMMON OPERATION	#1 SMOKY VALLEY MINE RD	ROUND MOUNTAIN	NYE	NV	89045	YES	NO	NO	NO								212221						38.708056	-117.101944									ROUND MOUNTAIN GOLD CORP		CORRECTED ERROR IN CALCULATION OF LIQUID PORTION OF RELEASE TO TAILING DAM: DID NOT CONVERT LIQUID DATA IN GALLONS TO POUNDS. CHANGE: 3,700 LB TO 31,000 LB. NO3 CONCENTRATION IN THE TAILING WATER IN 2010 WAS GREATLY REDUCED FROM 2009	NO		RR4		NO	 	
89045SMKYV1SMOK	1311209361132	N420	LEAD COMPOUNDS	PBT	2011	SMOKY VALLEY COMMON OPERATION	#1 SMOKY VALLEY MINE RD	ROUND MOUNTAIN	NYE	NV	89045	YES	NO	NO	NO								212221						38.708056	-117.101944									ROUND MOUNTAIN GOLD CORP		DECREASED WASTE ROCK & PB CONC.; DECREASED TAILING QUANTITY & PB CONC.	NO				YES	 	
89045SMKYV1SMOK	1311209361082	007440473	CHROMIUM	TRI	2011	SMOKY VALLEY COMMON OPERATION	#1 SMOKY VALLEY MINE RD	ROUND MOUNTAIN	NYE	NV	89045	YES	NO	NO	NO								212221						38.708056	-117.101944									ROUND MOUNTAIN GOLD CORP		REDUCTION IN AMOUNT OF GRINDING BALLS USED, CHANGE IN RATIO OF SIZES (W/ DIFFERENT SPECIFICATION) USED	NO				YES	 	
89045SMKYV1SMOK	1311209361171	007440020	NICKEL	TRI	2011	SMOKY VALLEY COMMON OPERATION	#1 SMOKY VALLEY MINE RD	ROUND MOUNTAIN	NYE	NV	89045	YES	NO	NO	NO								212221						38.708056	-117.101944									ROUND MOUNTAIN GOLD CORP		REDUCTION IN AMOUNT OF GRINDING BALLS USED, CHANGE IN RATIO OF SIZES (W/ DIFFERENT SPECIFICATION) USED	NO				YES	 	
89045SMKYV1SMOK	1311209361207	N740	SILVER COMPOUNDS	TRI	2011	SMOKY VALLEY COMMON OPERATION	#1 SMOKY VALLEY MINE RD	ROUND MOUNTAIN	NYE	NV	89045	YES	NO	NO	NO								212221						38.708056	-117.101944									ROUND MOUNTAIN GOLD CORP		SIGNIFICZANT INCREASE IN TAILING AG CONCENTRATION	NO				YES	 	
89319BHPCP7MILE	1311209596927	N420	LEAD COMPOUNDS	PBT	2011	ROBINSON NEVADA MINING CO	4232 W WHITE PINE CO. RD 44	RUTH	WHITE PINE	NV	89319	YES	NO	NO	NO								212234						39.27083	-115.0125	148968782										INCREASE IN WASTE ROCK DISPOSED (LAND, OTHER) PARTIALLY OFFSET BY DECREASE IN PB CONC. IN TAILING (LAND, IMPOUNDMENT) REVSION TO RELASES TO WATER: RAINFALL VALUE USED TO ESITAMTE STORMWATER RUNOFF WAS INCORRECT CHANGED RELEASE FROM 12.0 TO 11.1 LB	NO	DAN.FERRITER@KGHM.COM	RR1		YES	 	
89319BHPCP7MILE	1311209502095	007439965	MANGANESE	TRI	2011	ROBINSON NEVADA MINING CO	4232 W WHITE PINE CO. RD 44	RUTH	WHITE PINE	NV	89319	YES	NO	NO	NO								212234						39.27083	-115.0125	148968782										DECREASE IN ESTIMATED WEAR RATES RESULTED IN DEREASED RELEASES	NO	DAN.FERRITER@KGHM.COM			YES	 	
89319BHPCP7MILE	1311209502121	007440020	NICKEL	TRI	2011	ROBINSON NEVADA MINING CO	4232 W WHITE PINE CO. RD 44	RUTH	WHITE PINE	NV	89319	YES	NO	NO	NO								212234						39.27083	-115.0125	148968782										DECREASE IN ESTIMATED WEAR RATES DECREAED RELEASES	NO	DAN.FERRITER@KGHM.COM			YES	 	
89319BHPCP7MILE	1311209502071	007440508	COPPER	TRI	2011	ROBINSON NEVADA MINING CO	4232 W WHITE PINE CO. RD 44	RUTH	WHITE PINE	NV	89319	YES	NO	NO	NO								212234						39.27083	-115.0125	148968782										LARGE INCREASE IN COPPER WIRE USED IN BLASTING INCREAED RELEASES	NO	DAN.FERRITER@KGHM.COM			YES	 	
89319BHPCP7MILE	1311209502069	007440473	CHROMIUM	TRI	2011	ROBINSON NEVADA MINING CO	4232 W WHITE PINE CO. RD 44	RUTH	WHITE PINE	NV	89319	YES	NO	NO	NO								212234						39.27083	-115.0125	148968782										DECREASE IN WEAR RATES OFFSET BY INCREASE IN USE OF HIGH CHROMIUM GRINDING BALLS	NO	DAN.FERRITER@KGHM.COM			YES	 	
