TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ADDITION INFORMATION - SOURCE REDUCTION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
85707SDDSFINTER	1307205318037	007439921	LEAD	PBT	2007	US AIR FORCE DAVIS-MONTHAN AFB AZ	INTERSECTION OF CRAYCROFT & GOLF LINKS RD	TUCSON	PIMA	AZ	85707	YES	NO	YES	NO								928110						32.164002	-110.838997									U.S. DEPARTMENT OF DEFENSE		RECYCLING OF AMMUNITION AFTER DISCHARGE AT SHOOTING RANGES.	YES				YES	
85707SDDSFINTER	1307205318049	000091203	NAPHTHALENE	TRI	2007	US AIR FORCE DAVIS-MONTHAN AFB AZ	INTERSECTION OF CRAYCROFT & GOLF LINKS RD	TUCSON	PIMA	AZ	85707	YES	NO	YES	NO								928110						32.164002	-110.838997									U.S. DEPARTMENT OF DEFENSE		FUGITIVE EMISSIONS FROM REFUELING CERTAIN AIRCRAFT AS DESIGNATED IN USAF REGULATONS.	YES				NO	
85222HXCLC1214W	1307205772332	007429905	ALUMINUM (FUME OR DUST)	TRI	2007	HEXCEL CORP	1214 W HWY 84	CASA GRANDE	PINAL	AZ	85222	YES	NO	NO	NO								322299						32.879373	-111.770933	003987997								HEXCEL CORP	003987997	ALUMINUM DUST IS GENERATED FROM SAWING OF ALUMINUM HONEYCOMB CORE.  THE ALUMINUM DUST IS COLLECTED FOR RECYCLING.	NO	DAVID.LIMA@HEXCEL.COM			YES	
85222HXCLC1214W	1307205772357	000872504	N-METHYL-2-PYRROLIDONE	TRI	2007	HEXCEL CORP	1214 W HWY 84	CASA GRANDE	PINAL	AZ	85222	YES	NO	NO	NO								322299						32.879373	-111.770933	003987997								HEXCEL CORP	003987997	SOURCE REDUCTION - INCREASED CAPTURE EFFICIENCY IN PROCESSING AREA, THUS SENDING MORE NMP TO THE CONTROL DEVICE FOR DESTRUCTION.  RELEASE INCREASE - CALCULATIONS SHOW AN INCREASE IN ONSITE RELEASE AMOUNT OVER LAST YEAR.  REASON FOR THIS IS REFINEMENT AND ADJUSTMENT OF CALCULATIONAL TECHNIQUE MADE POSSIBLE BY ACTUAL EMISSIONS TESTING THAT WAS CONDUCTED IN 2007.  PREVIOUS YEAR'S ESTIMATES, ALTHOUGH BASED UPON THE BEST INFORMATION AVAILABLE AT THE TIME, UNDERESTIMATED EMISSIONS.	NO	DAVID.LIMA@HEXCEL.COM			NO	
85222HXCLC1214W	1307205772369	000108952	PHENOL	TRI	2007	HEXCEL CORP	1214 W HWY 84	CASA GRANDE	PINAL	AZ	85222	YES	NO	NO	NO								322299						32.879373	-111.770933	003987997								HEXCEL CORP	003987997	EMISSIONS TESTING FOR PHENOL CONDUCTED IN 2007 ENABLED MORE PRECISE QUANTIFICATION OF THE AMOUNT OF PHENOL USED, CONSUMED, AND EMITTED FROM THE PROCESS.  THIS TESTING INDICATED THAT, ALTHOUGH BASED UPON THE BEST INFORMATION AVAILABLE AT THE TIME, PHENOL EMISSIONS WERE SIGNIFICANTLY OVERESTIMATED IN PREVIOUS YEARS.	NO	DAVID.LIMA@HEXCEL.COM			NO	
85222HXCLC1214W	1307205772383	000108883	TOLUENE	TRI	2007	HEXCEL CORP	1214 W HWY 84	CASA GRANDE	PINAL	AZ	85222	YES	NO	NO	NO								322299						32.879373	-111.770933	003987997								HEXCEL CORP	003987997	INSTALLED A PERMANENT TOTAL ENCLOSURE AROUND THE PROCESS TO BETTER CAPTURE PROCESS EMISSIONS, WHICH ARE DESTROYED VIA A REGENERATIVE THERMAL OXIDIZER.	NO	DAVID.LIMA@HEXCEL.COM			NO	
85222HXCLC1214W	1307205772395	001330207	XYLENE (MIXED ISOMERS)	TRI	2007	HEXCEL CORP	1214 W HWY 84	CASA GRANDE	PINAL	AZ	85222	YES	NO	NO	NO								322299						32.879373	-111.770933	003987997								HEXCEL CORP	003987997	INSTALLED PERMANENT TOTAL ENCLOSURES AROUND PROCESS TO BETTER CAPTURE EMISSIONS SO THEY COULD BE DESTROYED VIA A REGENERATIVE THERMAL OXIDIZER.	NO	DAVID.LIMA@HEXCEL.COM			NO	
85034FLPCH3701E	1307205466814	007439921	LEAD	PBT	2007	FLIPCHIP INTERNATIONAL LLC	3701 E UNIVERSITY DR	PHOENIX	MARICOPA	AZ	85034	YES	NO	NO	NO								334413						33.421624	-112.001587	947585394										REF. 8.10.1- EFFORTS TO INCREASE USAGE OF NON-LEADED SOLDER PASTE AND SPHERES CONTINUES.  MUCH OF THIS EFFORT IS CUSTOMER-DRIVEN FOR ROHS-COMPLIANCE.	NO	PAUL.MASON@FLIPCHIP.COM			YES	
85034FLPCH3701E	1307205466826	000872504	N-METHYL-2-PYRROLIDONE	TRI	2007	FLIPCHIP INTERNATIONAL LLC	3701 E UNIVERSITY DR	PHOENIX	MARICOPA	AZ	85034	YES	NO	NO	NO								334413						33.421624	-112.001587	947585394										REDUCTIONS IN N-MP CHEMICALS WERE IMPLEMENTED IN 2006, WITH SUCCESSFUL REPLACEMENT OF ONE CHEMICAL WITH A NON-N-MP CHEMICAL.  THE FINAL STOCK OF THE REPLACED N-MP CHEMICAL WAS IN USE UNTIL FEBRUARY 2007.  OVERALL REDUCTION OF N-MP CHEMICAL USAGE ACCOUNTS FOR THE SIGNIFICANT DECREASES IN REPORTED RELEASES.  IT IS POSSIBLE THAT USAGE OF THESE CHEMICALS MAY BE BELOW THE REPORTING THRESHOLD FOR 2008.	NO	PAUL.MASON@FLIPCHIP.COM			NO	
85034HMLTN17EUN	1307205896931	007439921	LEAD	PBT	2007	HAMILTON SUNDSTRAND	1007 E UNIVERSITY DR	PHOENIX	MARICOPA	AZ	850346513	YES	NO	NO	NO								336411						33.42321	-112.05984	071767334								UNITED TECHNOLOGIES	001344142	WE RECYCLE THE LEAD DROSS IN 2007.	NO	RUDOLPH.DAWSON@HS.UTC.COM			YES	
