TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
00821VRGNSESTAT	1307205592645	000095636	1,2,4-TRIMETHYLBENZENE	TRI	Pounds																		2007	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	ESTATE RICHMOND	CHRISTIANSTED	ST CROIX	VI	00821	YES	NO	NO	NO														17.751944	-64.715833	090101080										0														NO	CASSANDRA.DUNN@VIWAPA.VI			NO	
00821VRGNSESTAT	1307205596164	000191242	BENZO(G,H,I)PERYLENE	PBT	Pounds																		2007	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	ESTATE RICHMOND	CHRISTIANSTED	ST CROIX	VI	00821	YES	NO	NO	NO														17.751944	-64.715833	090101080										0														NO	CASSANDRA.DUNN@VIWAPA.VI			NO	
00821VRGNSESTAT	1307205596176	N150	DIOXIN AND DIOXIN-LIKE COMPOUNDS	DIOXIN	Grams	5.16	0	2.41	1.11	0	.75	1.99	2.07	2.51	15.01	0	64.64	2.02	1.55	.78	0	0	2007	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	ESTATE RICHMOND	CHRISTIANSTED	ST CROIX	VI	00821	YES	NO	NO	NO														17.751944	-64.715833	090101080										0														NO	CASSANDRA.DUNN@VIWAPA.VI			NO	
00821VRGNSESTAT	1307205596188	N420	LEAD COMPOUNDS	PBT	Pounds																		2007	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	ESTATE RICHMOND	CHRISTIANSTED	ST CROIX	VI	00821	YES	NO	NO	NO														17.751944	-64.715833	090101080										0														NO	CASSANDRA.DUNN@VIWAPA.VI			YES	
00821VRGNSESTAT	1307205596202	000110543	N-HEXANE	TRI	Pounds																		2007	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	ESTATE RICHMOND	CHRISTIANSTED	ST CROIX	VI	00821	YES	NO	NO	NO														17.751944	-64.715833	090101080										0														NO	CASSANDRA.DUNN@VIWAPA.VI			NO	
00821VRGNSESTAT	1307205596214	000091203	NAPHTHALENE	TRI	Pounds																		2007	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	ESTATE RICHMOND	CHRISTIANSTED	ST CROIX	VI	00821	YES	NO	NO	NO														17.751944	-64.715833	090101080										0														NO	CASSANDRA.DUNN@VIWAPA.VI			NO	
00821VRGNSESTAT	1307205596226	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	Pounds																		2007	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	ESTATE RICHMOND	CHRISTIANSTED	ST CROIX	VI	00821	YES	NO	NO	NO														17.751944	-64.715833	090101080										0														NO	CASSANDRA.DUNN@VIWAPA.VI			NO	
00851GNTTH1ESTA	1307205892351	000191242	BENZO(G,H,I)PERYLENE	PBT	Pounds																		2007	NO	GEONET ETHANOL LLC	1 ESTATE ANGUILLA	KINGSHILL	ST CROIX	VI	00851	YES	NO	NO	NO														0	0	789561243								GEONET BIOFUELS INC		0														NO	ARTWOLLENWEBER@GEONETHOLDINGS.COM			NO	
00851GNTTH1ESTA	1307205892363	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	Pounds																		2007	NO	GEONET ETHANOL LLC	1 ESTATE ANGUILLA	KINGSHILL	ST CROIX	VI	00851	YES	NO	NO	NO														0	0	789561243								GEONET BIOFUELS INC		0														NO	ARTWOLLENWEBER@GEONETHOLDINGS.COM			NO	
00803STTHMBLDG1	1307205572973	000108883	TOLUENE	TRI	Pounds																		2007	NO	CHEVRON CARIBBEAN INC	BLDG 1 SUB-BASE ST THOMAS	SAINT THOMAS	ST THOMAS	VI	00803	YES	NO	NO	NO														18.340556	-64.952778	132317017								CHEVRON INC	132317017	0														NO	ARGERNON.CAGILL@CHEVRON.COM			NO	
