TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ADDITION INFORMATION - SOURCE REDUCTION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
29418THMRL7241I	1307205508272	007647010	HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY)	TRI	2007	BASF CORP NORTH CHARLESTON SITE	7241 INVESTMENT DR	NORTH CHARLESTON	CHARLESTON	SC	29418	YES	NO	NO	NO								325131						32.92242	-80.061063									BASF CORP	046341400	A new HCl fugitive emissions scrubber was started up in September 2007.  All tanks with fugitive HCl emissions are now vented to this unit.  Streams with previously inadequate ventilation were provided with additional ventilation.	NO	GREG.LIENERT@BASF.COM			NO	
29445KMRCH1514B	1307205399013	020325400	3,3'-DIMETHOXYBENZIDINE DIHYDROCHLORIDE	TRI	2007	KEMIRA CHEMICALS INC	1514 BUSHY PARK RD	GOOSE CREEK	BERKELEY	SC	29445	YES	NO	NO	NO								325132						33.00319	-79.928368	033870585										NA	NO	MARION.PHILLIPS@KEMIRA.COM			NO	
29445KMRCH1514B	1307205399025	007782505	CHLORINE	TRI	2007	KEMIRA CHEMICALS INC	1514 BUSHY PARK RD	GOOSE CREEK	BERKELEY	SC	29445	YES	NO	NO	NO								325132						33.00319	-79.928368	033870585										NA	NO	MARION.PHILLIPS@KEMIRA.COM			NO	
29445KMRCH1514B	1307205399037	N100	COPPER COMPOUNDS	TRI	2007	KEMIRA CHEMICALS INC	1514 BUSHY PARK RD	GOOSE CREEK	BERKELEY	SC	29445	YES	NO	NO	NO								325132						33.00319	-79.928368	033870585										NA	NO	MARION.PHILLIPS@KEMIRA.COM			YES	
29445KMRCH1514B	1307205399049	000111422	DIETHANOLAMINE	TRI	2007	KEMIRA CHEMICALS INC	1514 BUSHY PARK RD	GOOSE CREEK	BERKELEY	SC	29445	YES	NO	NO	NO								325132						33.00319	-79.928368	033870585										NA	NO	MARION.PHILLIPS@KEMIRA.COM			NO	
29445KMRCH1514B	1307205399052	000064186	FORMIC ACID	TRI	2007	KEMIRA CHEMICALS INC	1514 BUSHY PARK RD	GOOSE CREEK	BERKELEY	SC	29445	YES	NO	NO	NO								325132						33.00319	-79.928368	033870585										NA	NO	MARION.PHILLIPS@KEMIRA.COM			NO	
29445KMRCH1514B	1307205399064	007632000	SODIUM NITRITE	TRI	2007	KEMIRA CHEMICALS INC	1514 BUSHY PARK RD	GOOSE CREEK	BERKELEY	SC	29445	YES	NO	NO	NO								325132						33.00319	-79.928368	033870585										NA	NO	MARION.PHILLIPS@KEMIRA.COM			YES	
29706PHLPS524PH	1307205828597	000075456	CHLORODIFLUOROMETHANE	TRI	2007	PHILIPS PRODUCTS PLANT 09	524 PHILIPS IND. INC. DR PO BOX 340	CHESTER	CHESTER	SC	29706	YES	NO	NO	NO								332321						34.748611	-81.198889	004279647								TOMKINS CORP	184101194	began testing a waterblown system that eliminates completely chlorodifluoromethane. Emplimented completely in 03/08	NO	RBRAWLEY@PHILIPSPRODUCTS.COM			NO	
29706SPCLT869OL	1307205462334	000079061	ACRYLAMIDE	TRI	2007	SPECIALTY POLYMERS INC	869 OLD RICHBURG RD	CHESTER	CHESTER	SC	297065767	YES	NO	NO	NO								325211						34.721389	-81.13111	061487203										ACRYLAMIDE IS USED AS A REACTANT.  AS A SOLID AT AMBIENT TEMPERATURE, AIR RELEASES DURING TRANSFERS ARE NEGLIGIBLE.  ONE HUNDRED PERCENT CONVERSION AS A REACTANT IS ASSUMED.	NO	SDOBSON@SPECPOLY.COM			NO	
29706SPCLT869OL	1307205462385	000924425	N-METHYLOLACRYLAMIDE	TRI	2007	SPECIALTY POLYMERS INC	869 OLD RICHBURG RD	CHESTER	CHESTER	SC	297065767	YES	NO	NO	NO								325211						34.721389	-81.13111	061487203										N-METHYLOL ACRYLAMIDE IS USED AS A REACTANT.  AS A SOLID AT AMBIENT TEMPERATURE, AIR RELEASES DURING TRANSFERS ARE NEGLIGIBLE.  ONE HUNDRED PERCENT CONVERSION AS A REACTANT IS ASSUMED.	NO	SDOBSON@SPECPOLY.COM			NO	
