TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
58205SRFRC319AR	1307205699844	000091203	NAPHTHALENE	TRI	Pounds																		2007	NO	US AIR FORCE GRAND FORKS AIR FORCE BASE ND	319 ARW/CC 460 STEEN BLVD	GRAND FORKS AFB	GRAND FORKS	ND	58205	YES	NO	YES	NO														0	0									U.S. DEPARTMENT OF DEFENSE		0														YES	JOSEPH.KAPINOS@US.AF.MIL			NO	
58329TRTLM1STST	1307205630597	007439921	LEAD	PBT	Pounds																		2007	NO	BENCHMARK ELECTRONICS INC	19 2ND ST SE	DUNSEITH	ROLETTE	ND	58329	YES	NO	NO	NO														48.8125	-100.056944	826374092								BENCHMARK ELECTRONICS INC	826374092	0														NO	BILL.MICHELS@BENCH.COM			YES	
58554NRTHL305BI	1307205882640	007697372	NITRIC ACID	TRI	Pounds																		2007	NO	DAKOTA COUNTRY CHEESE CO. INC.	305 BIS MAN AVE	MANDAN	MORTON	ND	58554	YES	NO	NO	NO														46.82207	-100.855056									SELFRIDGE CHEESE CO. INC.		0														NO				NO	
58571GRTRV4001H	1307205349588	N040	BARIUM COMPOUNDS	TRI	Pounds																		2007	NO	GREAT RIVER ENERGY STANTON STA TION	4001 HWY 200A	STANTON	MERCER	ND	585719402	YES	NO	NO	NO														47.282222	-101.314722											0														NO	NA			YES	
58571GRTRV4001H	1307205349590	000191242	BENZO(G,H,I)PERYLENE	PBT	Pounds																		2007	NO	GREAT RIVER ENERGY STANTON STA TION	4001 HWY 200A	STANTON	MERCER	ND	585719402	YES	NO	NO	NO														47.282222	-101.314722											0														NO	NA			NO	
58571GRTRV4001H	1307205349602	N100	COPPER COMPOUNDS	TRI	Pounds																		2007	NO	GREAT RIVER ENERGY STANTON STA TION	4001 HWY 200A	STANTON	MERCER	ND	585719402	YES	NO	NO	NO														47.282222	-101.314722											0														NO	NA			YES	
58571GRTRV4001H	1307205349614	N150	DIOXIN AND DIOXIN-LIKE COMPOUNDS	DIOXIN	Grams	4.8	.54	3.05	1.7	1.11	3.92	.46	.49	.47	7.67	13.26	54.6	.9	1.61	0	4.57	.85	2007	NO	GREAT RIVER ENERGY STANTON STA TION	4001 HWY 200A	STANTON	MERCER	ND	585719402	YES	NO	NO	NO														47.282222	-101.314722											0														NO	NA			NO	
58571GRTRV4001H	1307205349626	007647010	HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY)	TRI	Pounds																		2007	NO	GREAT RIVER ENERGY STANTON STA TION	4001 HWY 200A	STANTON	MERCER	ND	585719402	YES	NO	NO	NO														47.282222	-101.314722											0														NO	NA			NO	
58571GRTRV4001H	1307205349638	007664393	HYDROGEN FLUORIDE	TRI	Pounds																		2007	NO	GREAT RIVER ENERGY STANTON STA TION	4001 HWY 200A	STANTON	MERCER	ND	585719402	YES	NO	NO	NO														47.282222	-101.314722											0														NO	NA			NO	
58571GRTRV4001H	1307205349640	007439921	LEAD	PBT	Pounds																		2007	NO	GREAT RIVER ENERGY STANTON STA TION	4001 HWY 200A	STANTON	MERCER	ND	585719402	YES	NO	NO	NO														47.282222	-101.314722											0														NO	NA			YES	
58571GRTRV4001H	1307205349653	N450	MANGANESE COMPOUNDS	TRI	Pounds																		2007	NO	GREAT RIVER ENERGY STANTON STA TION	4001 HWY 200A	STANTON	MERCER	ND	585719402	YES	NO	NO	NO														47.282222	-101.314722											0														NO	NA			YES	
58571GRTRV4001H	1307205349665	N458	MERCURY COMPOUNDS	PBT	Pounds																		2007	NO	GREAT RIVER ENERGY STANTON STA TION	4001 HWY 200A	STANTON	MERCER	ND	585719402	YES	NO	NO	NO														47.282222	-101.314722											0														NO	NA			YES	
58571GRTRV4001H	1307205349677	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	Pounds																		2007	NO	GREAT RIVER ENERGY STANTON STA TION	4001 HWY 200A	STANTON	MERCER	ND	585719402	YES	NO	NO	NO														47.282222	-101.314722											0														NO	NA			NO	
58072VNSCL1025F	1307205688753	007439921	LEAD	PBT	Pounds																		2007	NO	VANSCO ELECTRONIC INC	1025 FOUR BOTTLE DR	VALLEY CITY	BARNES	ND	58072	YES	NO	NO	NO														46.934586	-98.018743											0														NO	CHEMMER@VANSCOUSA.COM			YES	
58078CRGLL2507T	1307205666946	000110543	N-HEXANE	TRI	Pounds																		2007	NO	CARGILL INC	250 7TH AVE NE	WEST FARGO	CASS	ND	58078	YES	NO	NO	NO														46.883626	-96.898582	135064855		NDD098278435		NDR020294				CARGILL INC.	006249189	210	O 	CITY OF WEST FARGO	800 4TH ST E	WEST FARGO	ND	CASS	58078							NO	RODNEY_ROE@CARGILL.COM			NO	
