TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	FACILITY BIA CODE	FACILITY BIA NAME	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10/3/2014	
00804VRGNSKRUMB	1313211745690	000095636	1,2,4-TRIMETHYLBENZENE	TRI	Pounds																		2013	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	KRUM BAY FACILITY	SAINT THOMAS	ST THOMAS	VI	008041450			YES	NO	NO	NO								221112						18.330512	-64.96348	090101080								VIRGIN ISLANDS WATER & POWER AUTHORITY		0		NA												NO	CASSANDRA.DUNN@VIWAPA.VI			NO	 	
00821VRGNSESTAT	1313211745688	000095636	1,2,4-TRIMETHYLBENZENE	TRI	Pounds																		2013	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	ESTATE RICHMOND	CHRISTIANSTED	ST CROIX	VI	00821			YES	NO	NO	NO								221112						17.751639	-64.714865	090101080								VIRGIN ISLANDS WATER & POWER AUTHORITY		0		NA												NO	CASSANDRA.DUNN@VIWAPA.VI			NO	 	
00804SSSTTCYRIL	1313211789363	000095636	1,2,4-TRIMETHYLBENZENE	TRI	Pounds																		2013	NO	SAINT THOMAS BULK TERMINAL	CYRIL KING AIRPORT CARGO AREA	SAINT THOMAS	ST THOMAS	VI	00802			YES	NO	NO	NO								424710						18.33333	-64.97305	090432527								TOTAL HOLDINGS USA INC	090432527	0		NA												NO	EILEEN.DIAZ@TPPRC.COM			NO	 	
00851HSSLVLIMET	1313211571613	000095636	1,2,4-TRIMETHYLBENZENE	TRI	Pounds																		2013	NO	HOVENSA LLC	1 ESTATE HOPE	CHRISTIANSTED	ST CROIX	VI	008205652			YES	NO	NO	NO								324110						17.7102	-64.7544	615079647										0		NA												NO	FQUOW@HOVENSA.COM			NO	 	
00804SSSTTCYRIL	1313211789399	000071432	BENZENE	TRI	Pounds																		2013	NO	SAINT THOMAS BULK TERMINAL	CYRIL KING AIRPORT CARGO AREA	SAINT THOMAS	ST THOMAS	VI	00802			YES	NO	NO	NO								424710						18.33333	-64.97305	090432527								TOTAL HOLDINGS USA INC	090432527	0		NA												NO	EILEEN.DIAZ@TPPRC.COM			NO	 	
00851HSSLVLIMET	1313211571625	000071432	BENZENE	TRI	Pounds																		2013	NO	HOVENSA LLC	1 ESTATE HOPE	CHRISTIANSTED	ST CROIX	VI	008205652			YES	NO	NO	NO								324110						17.7102	-64.7544	615079647										0		NA												NO	FQUOW@HOVENSA.COM			NO	 	
00804VRGNSKRUMB	1313211745765	000091203	NAPHTHALENE	TRI	Pounds																		2013	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	KRUM BAY FACILITY	SAINT THOMAS	ST THOMAS	VI	008041450			YES	NO	NO	NO								221112						18.330512	-64.96348	090101080								VIRGIN ISLANDS WATER & POWER AUTHORITY		0		NA												NO	CASSANDRA.DUNN@VIWAPA.VI			NO	 	
00821VRGNSESTAT	1313211745777	000091203	NAPHTHALENE	TRI	Pounds																		2013	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	ESTATE RICHMOND	CHRISTIANSTED	ST CROIX	VI	00821			YES	NO	NO	NO								221112						17.751639	-64.714865	090101080								VIRGIN ISLANDS WATER & POWER AUTHORITY		0		NA												NO	CASSANDRA.DUNN@VIWAPA.VI			NO	 	
00804SSSTTCYRIL	1313211789553	000091203	NAPHTHALENE	TRI	Pounds																		2013	NO	SAINT THOMAS BULK TERMINAL	CYRIL KING AIRPORT CARGO AREA	SAINT THOMAS	ST THOMAS	VI	00802			YES	NO	NO	NO								424710						18.33333	-64.97305	090432527								TOTAL HOLDINGS USA INC	090432527	0		NA												NO	EILEEN.DIAZ@TPPRC.COM			NO	 	
00851HSSLVLIMET	1313211571652	000091203	NAPHTHALENE	TRI	Pounds																		2013	NO	HOVENSA LLC	1 ESTATE HOPE	CHRISTIANSTED	ST CROIX	VI	008205652			YES	NO	NO	NO								324110						17.7102	-64.7544	615079647										0		NA												NO	FQUOW@HOVENSA.COM			NO	 	
00804SSSTTCYRIL	1313211789514	001634044	METHYL TERT-BUTYL ETHER	TRI	Pounds																		2013	NO	SAINT THOMAS BULK TERMINAL	CYRIL KING AIRPORT CARGO AREA	SAINT THOMAS	ST THOMAS	VI	00802			YES	NO	NO	NO								424710						18.33333	-64.97305	090432527								TOTAL HOLDINGS USA INC	090432527	0		NA												NO	EILEEN.DIAZ@TPPRC.COM			NO	 	
00804VRGNSKRUMB	1313211745714	000191242	BENZO(G,H,I)PERYLENE	PBT	Pounds																		2013	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	KRUM BAY FACILITY	SAINT THOMAS	ST THOMAS	VI	008041450			YES	NO	NO	NO								221112						18.330512	-64.96348	090101080								VIRGIN ISLANDS WATER & POWER AUTHORITY		0		NA												NO	CASSANDRA.DUNN@VIWAPA.VI			NO	 	
00821VRGNSESTAT	1313211745702	000191242	BENZO(G,H,I)PERYLENE	PBT	Pounds																		2013	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	ESTATE RICHMOND	CHRISTIANSTED	ST CROIX	VI	00821			YES	NO	NO	NO								221112						17.751639	-64.714865	090101080								VIRGIN ISLANDS WATER & POWER AUTHORITY		0		NA												NO	CASSANDRA.DUNN@VIWAPA.VI			NO	 	
00804SSSTTCYRIL	1313211789591	001330207	XYLENE (MIXED ISOMERS)	TRI	Pounds																		2013	NO	SAINT THOMAS BULK TERMINAL	CYRIL KING AIRPORT CARGO AREA	SAINT THOMAS	ST THOMAS	VI	00802			YES	NO	NO	NO								424710						18.33333	-64.97305	090432527								TOTAL HOLDINGS USA INC	090432527	0		NA												NO	EILEEN.DIAZ@TPPRC.COM			NO	 	
00851HSSLVLIMET	1313211571688	001330207	XYLENE (MIXED ISOMERS)	TRI	Pounds																		2013	NO	HOVENSA LLC	1 ESTATE HOPE	CHRISTIANSTED	ST CROIX	VI	008205652			YES	NO	NO	NO								324110						17.7102	-64.7544	615079647										0		NA												NO	FQUOW@HOVENSA.COM			NO	 	
00804VRGNSKRUMB	1313211745740	000110543	N-HEXANE	TRI	Pounds																		2013	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	KRUM BAY FACILITY	SAINT THOMAS	ST THOMAS	VI	008041450			YES	NO	NO	NO								221112						18.330512	-64.96348	090101080								VIRGIN ISLANDS WATER & POWER AUTHORITY		0		NA												NO	CASSANDRA.DUNN@VIWAPA.VI			NO	 	
00821VRGNSESTAT	1313211745753	000110543	N-HEXANE	TRI	Pounds																		2013	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	ESTATE RICHMOND	CHRISTIANSTED	ST CROIX	VI	00821			YES	NO	NO	NO								221112						17.751639	-64.714865	090101080								VIRGIN ISLANDS WATER & POWER AUTHORITY		0		NA												NO	CASSANDRA.DUNN@VIWAPA.VI			NO	 	
00804SSSTTCYRIL	1313211789538	000110543	N-HEXANE	TRI	Pounds																		2013	NO	SAINT THOMAS BULK TERMINAL	CYRIL KING AIRPORT CARGO AREA	SAINT THOMAS	ST THOMAS	VI	00802			YES	NO	NO	NO								424710						18.33333	-64.97305	090432527								TOTAL HOLDINGS USA INC	090432527	0		NA												NO	EILEEN.DIAZ@TPPRC.COM			NO	 	
00851HSSLVLIMET	1313211571649	000110543	N-HEXANE	TRI	Pounds																		2013	NO	HOVENSA LLC	1 ESTATE HOPE	CHRISTIANSTED	ST CROIX	VI	008205652			YES	NO	NO	NO								324110						17.7102	-64.7544	615079647										0		NA												NO	FQUOW@HOVENSA.COM			NO	 	
00804SSSTTCYRIL	1313211789565	000108883	TOLUENE	TRI	Pounds																		2013	NO	SAINT THOMAS BULK TERMINAL	CYRIL KING AIRPORT CARGO AREA	SAINT THOMAS	ST THOMAS	VI	00802			YES	NO	NO	NO								424710						18.33333	-64.97305	090432527								TOTAL HOLDINGS USA INC	090432527	0		NA												NO	EILEEN.DIAZ@TPPRC.COM			NO	 	
00851HSSLVLIMET	1313211571676	000108883	TOLUENE	TRI	Pounds																		2013	NO	HOVENSA LLC	1 ESTATE HOPE	CHRISTIANSTED	ST CROIX	VI	008205652			YES	NO	NO	NO								324110						17.7102	-64.7544	615079647										0		NA												NO	FQUOW@HOVENSA.COM			NO	 	
00804SSSTTCYRIL	1313211789452	000110827	CYCLOHEXANE	TRI	Pounds																		2013	NO	SAINT THOMAS BULK TERMINAL	CYRIL KING AIRPORT CARGO AREA	SAINT THOMAS	ST THOMAS	VI	00802			YES	NO	NO	NO								424710						18.33333	-64.97305	090432527								TOTAL HOLDINGS USA INC	090432527	0		NA												NO	EILEEN.DIAZ@TPPRC.COM			NO	 	
00804VRGNSKRUMB	1313211745726	N150	DIOXIN AND DIOXIN-LIKE COMPOUNDS	DIOXIN	Grams																		2013	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	KRUM BAY FACILITY	SAINT THOMAS	ST THOMAS	VI	008041450			YES	NO	NO	NO								221112						18.330512	-64.96348	090101080								VIRGIN ISLANDS WATER & POWER AUTHORITY		0		NA												NO	CASSANDRA.DUNN@VIWAPA.VI			NO	 	
00821VRGNSESTAT	1313211745738	N150	DIOXIN AND DIOXIN-LIKE COMPOUNDS	DIOXIN	Grams																		2013	NO	VIRGIN ISLANDS WATER & POWER AUTHORITY	ESTATE RICHMOND	CHRISTIANSTED	ST CROIX	VI	00821			YES	NO	NO	NO								221112						17.751639	-64.714865	090101080								VIRGIN ISLANDS WATER & POWER AUTHORITY		0		NA												NO	CASSANDRA.DUNN@VIWAPA.VI			NO	 	
