TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ADDITION INFORMATION - SOURCE REDUCTION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	3-3-2012	
00918NDLCX198CH	1306204839803	007697372	NITRIC ACID	TRI	2006	INDULAC	198 CHARDON AVE	HATO REY	SAN JUAN	PR	00918	YES	NO	NO	NO								311511	311514					18.424572	-66.064852	295060577								INDULAC	295060577	We are reducing the requiered CIP's to reduce chemical use, also replacing acid cleaning with caustic cleaning	NO	JBENITEZ@INDULACPR.COM			NO	 	
06473LBRCH55DEF	1306204834574	007440020	NICKEL	TRI	2006	ULBRICH WIRE INC	55 DEFCO PARK RD	NORTH HAVEN	NEW HAVEN	CT	06473	YES	NO	NO	NO								331222						41.418665	-72.846477	001162171		CTD063397285						ULBRICH STAINLESS STEELS & SPECIAL METALS INC	001162171	We attempt to reduce scrap generation at all operations at all times to maximize yields and improve productivity.	NO	GGOUDREAU@ULBRICH.COM			YES	 	
07105DLTMR26BLA	1306204854754	N230	CERTAIN GLYCOL ETHERS	TRI	2006	DELEET MERCHANDISING	26 BLANCHARD ST	NEWARK	ESSEX	NJ	07105	YES	NO	NO	NO								325998						40.735404	-74.127623	011979945								DELEET MERCHANDISING CORP	011979945	Deleet Merchandising manufactures products for the LITHOGRAPHIC PRINTING industry. National environmental pressure to reduce VOLATILE ORGANIC COMPOUND (VOC) content of printing products is leading to a lower use of TRI listed VOC raw materials.	NO	SCHLECKJ@YAHOO.COM			NO	 	
93274CMXRD189SK	1306204809293	N420	LEAD COMPOUNDS	PBT	2006	CEMEX CONSTRUCTION MATERIALS L.P.	1890 S K ST	TULARE	TULARE	CA	93274	YES	NO	NO	NO								327320						36.189184	-119.341907	189840945								CEMEX INC	049084403	N/A	NO	CHRISTINEM.JONES@CEMEX.COM			YES	 	
35212HYSNT19435	1306204819561	000108883	TOLUENE	TRI	2006	ALABAMA AIRCRAFT INDUSTRIES INC	1943 50TH ST N	BIRMINGHAM	JEFFERSON	AL	35212	YES	NO	NO	NO								488190						33.55413	-86.761394	004002077								AAII (FORMERLY PEMCO)	183101419	Any reduction was due to smaller workload.	NO	JAY.MATHER@ALABAMAAIRCRAFT.COM			NO	 	
48116PCKGD12424	1306204837266	N120	DIISOCYANATES	TRI	2006	PACKAGE DESIGN & MANUFACTURING INC	12424 EMERSON DR	BRIGHTON	LIVINGSTON	MI	48116	YES	NO	NO	NO								326150						42.500152	-83.697164	624167839										We had less business so we used less chemical	NO	STHORNTON@PDMFOAM.COM			NO	 	
84115DCRPR2645S	1306204638706	N420	LEAD COMPOUNDS	PBT	2006	EDO CORP WESTERN DIV	2645 S 300 W	SALT LAKE CITY	SALT LAKE	UT	84115	YES	NO	NO	NO								334511						40.71382	-111.899704	009073305								ITT CORP	001216845	USING LEAD OXIDE IS A CORE PART OF OUR PRODUCT, THEREFORE IT IS VERY DIFFICULT TO FIND ANY SOURCE REDUCTIONS.  HOWEVER, EDO MAKES GREAT EFFORT TO TRAIN EACH EMPLOYEE WHO HELPS IN THIS MANUFACTING PROCESS TO SHOW THEM STEPS THAT CAN BE TAKEN TO REDUCE WASTE.  IN ADDITION EDO, AS OF NOVEMBER 2006, REMILLS CERAMIC POWDERS RINSED FROM THE SPRAY DRY OPERATION.  THIS IN AN EFFORT TO REDUCE THE WASTE FROM THIS PROCESS.	NO	ANGIE.RICHARDSON@ITT.COM			YES	 	
77040RDHYC7211N	1306204920615	007440508	COPPER	TRI	2006	REEDHYCALOG LP HOUSTON FIXED CUTTER	7211 N GESSNER	HOUSTON	HARRIS	TX	77040	YES	NO	NO	NO								333132						29.876906	-95.54083	197406093								GRANT PRIDECO	002853240	PLANT OPERATIONS WILL BE RELOCATED TO OUR NEW CONROE FACILITY BY FOURTH QUARTER 2007.  FOUR MANUFACTURING FACILITIES WILL BE CONSOLIDATED INTO ONE LOCATION STREAMLINING OUR BUSINESS.  THIS WILL RESULT IN A REDUCTION OF WASTE STREAMS, NATURAL RESOURCES AND ENERGY CONSUMPTION.	NO	TED.MERCER@REEDHYCALOG.COM			YES	 	
77011RDTLC6501N	1306204934588	007440508	COPPER	TRI	2006	REEDHYCALOG L.P. HOUSTON ROLLER CONE	6501 NAVIGATION BLVD	HOUSTON	HARRIS	TX	77011	YES	NO	NO	NO								333132						29.7475	-95.3081	197406093								GRANT PRIDECO	002853240	PLANT OPERATIONS WILL BE RELOCATED TO OUR NEW CONROE FACILITY BY FOURTH QUARTER 2007.  FOUR MANUFACTURING FACILITIES WILL BE CONSOLIDATED INTO ONE LOCATION STREAMLINING OUR BUSINESS.  THIS WILL RESULT IN A REDUCTION OF WASTE STREAMS, NATURAL RESOURCES AND ENERGY CONSUMPTION.	NO	TED.MERCER@REEDHYCALOG.COM			YES	 	
77627CCRYL6350N	1306204969101	000107186	ALLYL ALCOHOL	TRI	2006	LUCITE INTERNATIONAL INC	6350 N TWIN CITY HWY	NEDERLAND	JEFFERSON	TX	77627	YES	NO	NO	NO								325211						30.008092	-94.03105	809775307								LUCITE INTERNATIONAL INC	006266563	NA	NO	STEVE.HAYES@LUCITE.COM			NO	 	
