TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	20-NOV-13	
60638WLLMS5241W	1312209974308	000071363	N-BUTYL ALCOHOL	TRI	Pounds																		2012	NO	WILLIAMS-HAYWARD PROTECTIVE COATINGS INC	5241 W 70TH PL	BEDFORD PARK	COOK	IL	60638	YES	NO	NO	NO								325510						41.764273	-87.754054	005114327		ILD005114327								0		NA												NO	EDDIEKURCZ@WHPC.NET			NO	 	
60638WLLMS5241W	1312209974409	007440666	ZINC (FUME OR DUST)	TRI	Pounds																		2012	NO	WILLIAMS-HAYWARD PROTECTIVE COATINGS INC	5241 W 70TH PL	BEDFORD PARK	COOK	IL	60638	YES	NO	NO	NO								325510						41.764273	-87.754054	005114327		ILD005114327								0		NA												NO	EDDIEKURCZ@WHPC.NET			YES	 	
60435HNDRC501CA	1312209979158	007440473	CHROMIUM	TRI	Pounds																		2012	NO	HENDRICKSON BUMPER & TRIM	501 CATON FARM RD	JOLIET	WILL	IL	60434	YES	NO	NO	NO								336330						41.566131	-88.09616	053963666								THE BOLER CO		0		NA												NO	NFIGUEROA@HENDRICKSON-INTL.COM			YES	 	
60435HNDRC501CA	1312209979172	007440508	COPPER	TRI	Pounds																		2012	NO	HENDRICKSON BUMPER & TRIM	501 CATON FARM RD	JOLIET	WILL	IL	60434	YES	NO	NO	NO								336330						41.566131	-88.09616	053963666								THE BOLER CO		0		NA												NO	NFIGUEROA@HENDRICKSON-INTL.COM			YES	 	
60435HNDRC501CA	1312209979196	007439965	MANGANESE	TRI	Pounds																		2012	NO	HENDRICKSON BUMPER & TRIM	501 CATON FARM RD	JOLIET	WILL	IL	60434	YES	NO	NO	NO								336330						41.566131	-88.09616	053963666								THE BOLER CO		0		NA												NO	NFIGUEROA@HENDRICKSON-INTL.COM			YES	 	
60435HNDRC501CA	1312209979210	007440020	NICKEL	TRI	Pounds																		2012	NO	HENDRICKSON BUMPER & TRIM	501 CATON FARM RD	JOLIET	WILL	IL	60434	YES	NO	NO	NO								336330						41.566131	-88.09616	053963666								THE BOLER CO		0		NA												NO	NFIGUEROA@HENDRICKSON-INTL.COM			YES	 	
62521NTRNT66WIM	1312209980022	007439921	LEAD	TRI	Pounds																		2012	NO	INTERNATIONAL CONTROL SERVICES INC	606 W IMBODEN DR	DECATUR	MACON	IL	62521	YES	NO	NO	NO								334418						39.814817	-88.964616											0		NA												NO	AHILL@ICSEMS.COM			YES	 	
60455GLDNG7700W	1312209980376	002699798	SULFURYL FLUORIDE	TRI	Pounds																		2012	NO	GOLDEN GRAIN	7700 W 71ST ST	BRIDGEVIEW	COOK	IL	60455	YES	NO	NO	NO								311823						41.763352	-87.812656	009129768								THE QUAKER OATS CO	009129768	0		NA												NO	SARAH.JANCI@PEPSICO.COM			NO	 	
60085CRLNC135LE	1312209981315	007664393	HYDROGEN FLUORIDE	TRI	Pounds																		2012	NO	CORAL CHEMICAL CO	135 LEBARON ST	WAUKEGAN	LAKE	IL	60085	YES	NO	NO	NO								325998						42.362653	-87.880641	002979896										0		NA												NO	STAYLOR@CORAL.COM			NO	 	
62707SRFRC3101J	1312209983636	000091203	NAPHTHALENE	TRI	Pounds																		2012	NO	US DOD USAF CAPITAL MAP ANG	3101 J. DAVID JONES PKWY	SPRINGFIELD	SANGAMON	IL	62707	YES	NO	YES	NO								928110						39.845524	-89.664536									US DEPARTMENT OF DEFENSE		0		NA												YES	DEBORAH.HAMRICK@ANG.AF.MIL			NO	 	
62839QCRCTNEIND	1312209893585	007439921	LEAD	TRI	Pounds																		2012	NO	QCIRCUITS INC FLORA	ONE INDUSTRIAL RD	FLORA	CLAY	IL	62839	YES	NO	NO	NO								334418						38.67106	-88.46027	041879396								QCIRCUITS INC	005244900	0		NA												NO	LNORRIS@QCIRCUITS.COM			YES	 	
61561NTNLW59WFR	1312209895135	007439921	LEAD	TRI	Pounds																		2012	NO	THYSSEN KRUPP ACCESS	509 W FRONT ST	ROANOKE	WOODFORD	IL	61561	YES	NO	NO	NO								561790						40.792638	-89.203387									NATIONAL WHEEL-O-VATOR		0		NA												NO	RANDEN@MIDWEST-TRAINING.COM			YES	 	
61354WHMZC100SO	1312209895162	007440666	ZINC (FUME OR DUST)	TRI	Pounds																		2012	NO	W H MAZE CO	100 CHURCH ST	PERU	LA SALLE	IL	61354	YES	NO	NO	NO								332618						41.3208	-89.1397	005973805								W H MAZE CO	005973805	0		NA												NO	JMLOVELAND@MAZENAILS.COM			YES	 	
61354WHMZC100SO	1312209895174	N982	ZINC COMPOUNDS	TRI	Pounds																		2012	NO	W H MAZE CO	100 CHURCH ST	PERU	LA SALLE	IL	61354	YES	NO	NO	NO								332618						41.3208	-89.1397	005973805								W H MAZE CO	005973805	.075	M1	CITY OF PERU WASTEWATER TREATMENT PLANT	901 BRUNNER STREET	PERU	IL	LASALLE	61354							NO	JMLOVELAND@MAZENAILS.COM			YES	 	
60061MTSBS500CO	1312209903626	007439921	LEAD	TRI	Pounds																		2012	NO	MITSUBISHI ELECTRIC AUTOMATION INC	500 CORPORATE WOODS PKWY	VERNON HILLS	LAKE	IL	600613108	YES	NO	NO	NO								335314						42.216024	-87.945073	618726079								MITSUBISHI ELECTRIC CORP		0		NA												NO	CHARLES.BAUM@MEAU.COM			YES	 	
60120SCNCM1717G	1312209905886	000095636	1,2,4-TRIMETHYLBENZENE	TRI	Pounds																		2012	NO	BALL AEROSOL & SPECIALTY CONTAINER INC	1717 GIFFORD RD	ELGIN	COOK	IL	60120	YES	NO	NO	NO								332431						41.995879	-88.246255									BALL CORP	006419147	0		NA												NO	SMCCARTY@BALL.COM			NO	 	
60120SCNCM1717G	1312209905951	N230	CERTAIN GLYCOL ETHERS	TRI	Pounds																		2012	NO	BALL AEROSOL & SPECIALTY CONTAINER INC	1717 GIFFORD RD	ELGIN	COOK	IL	60120	YES	NO	NO	NO								332431						41.995879	-88.246255									BALL CORP	006419147	0		NA												NO	SMCCARTY@BALL.COM			NO	 	
