TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10-18-2012	
19703LLDSG6100P	1311209729348	000067561	METHANOL	TRI	Pounds																		2011	NO	HONEYWELL DELAWARE PLANT	6100 PHILADELPHIA PIKE	CLAYMONT	NEW CASTLE	DE	19703	YES	NO	NO	NO								325188						39.810511	-75.439272	054717939								HONEYWELL INTERNATIONAL INC	139691877	60	O 	NEW CASTLE COUNTY DEPT OF SPECIAL SERVICES	187 A OLD CHURCHMAN ROAD	NEW CASTLE	DE	NEW CASTLE	19720							NO	HILLARY.SENCER@HONEYWELL.COM			NO	 	
19703LLDSG6100P	1311209729324	007637072	BORON TRIFLUORIDE	TRI	Pounds																		2011	NO	HONEYWELL DELAWARE PLANT	6100 PHILADELPHIA PIKE	CLAYMONT	NEW CASTLE	DE	19703	YES	NO	NO	NO								325188						39.810511	-75.439272	054717939								HONEYWELL INTERNATIONAL INC	139691877	0		NA												NO	HILLARY.SENCER@HONEYWELL.COM			YES	 	
19703LLDSG6100P	1311209729312	007664417	AMMONIA	TRI	Pounds																		2011	NO	HONEYWELL DELAWARE PLANT	6100 PHILADELPHIA PIKE	CLAYMONT	NEW CASTLE	DE	19703	YES	NO	NO	NO								325188						39.810511	-75.439272	054717939								HONEYWELL INTERNATIONAL INC	139691877	53	M2	NEW CASTLE COUNTY DEPT OF SPECIAL SERVICES	187 A OLD CHURCHMAN ROAD	NEW CASTLE	DE	NEW CASTLE	19720							NO	HILLARY.SENCER@HONEYWELL.COM			NO	 	
19703LLDSG6100P	1311209729351	000110543	N-HEXANE	TRI	Pounds																		2011	NO	HONEYWELL DELAWARE PLANT	6100 PHILADELPHIA PIKE	CLAYMONT	NEW CASTLE	DE	19703	YES	NO	NO	NO								325188						39.810511	-75.439272	054717939								HONEYWELL INTERNATIONAL INC	139691877	5	O 	NEW CASTLE COUNTY DEPT OF SPECIAL SERVICES	187 A OLD CHURCHMAN ROAD	NEW CASTLE	DE	NEW CASTLE	19720							NO	HILLARY.SENCER@HONEYWELL.COM			NO	 	
19703LLDSG6100P	1311209729336	007664393	HYDROGEN FLUORIDE	TRI	Pounds																		2011	NO	HONEYWELL DELAWARE PLANT	6100 PHILADELPHIA PIKE	CLAYMONT	NEW CASTLE	DE	19703	YES	NO	NO	NO								325188						39.810511	-75.439272	054717939								HONEYWELL INTERNATIONAL INC	139691877	0		NA												NO	HILLARY.SENCER@HONEYWELL.COM			NO	 	
19702STRPW231LA	1311209494069	007439921	LEAD	TRI	Pounds																		2011	NO	MOTECH AMERICAS LLC	231 LAKE DR PENCADER CORPORATE CENTER	NEWARK	NEW CASTLE	DE	19702	YES	NO	NO	NO								334413						39.6135	-75.75344									MOTECH AMERICAS LLC		0	M2	WILMINGTON WASTEWATER TREATMENT PLANT	12TH STREET AND HAY ROAD	WILMINGTON	DE	NEW CASTLE	19809							NO	JAMES_TOMPKINS@MOTECH-AMERICAS.COM			YES	 	
19966VLSCFROUTE	1311209590520	000191242	BENZO(G,H,I)PERYLENE	PBT	Pounds																		2011	NO	PINNACLE FOODS GROUP LLC	29984 PINNACLE WAY	MILLSBORO	SUSSEX	DE	19966	YES	NO	NO	NO								311421						38.576778	-75.273361	965953359								PINNACLE FOODS GROUP LLC	965953359	0		NA												NO				NO	 	
19966VLSCFROUTE	1311209590532	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	Pounds																		2011	NO	PINNACLE FOODS GROUP LLC	29984 PINNACLE WAY	MILLSBORO	SUSSEX	DE	19966	YES	NO	NO	NO								311421						38.576778	-75.273361	965953359								PINNACLE FOODS GROUP LLC	965953359	0		NA												NO				NO	 	
19804CBGGYJAMES	1311209325911	000110827	CYCLOHEXANE	TRI	Pounds																		2011	NO	BASF CORP	205 S JAMES ST	NEWPORT	NEW CASTLE	DE	19804	YES	NO	NO	NO								325132						39.71161	-75.60906	956910582								BASF CORP	001307032	0	O 	WILMINGTON POTW	E. 12TH ST. AND HAY ROAD	WILMINGTON	DE	NEW CASTLE	19809							NO	MAUREEN.PAUKERT@BASF.COM			NO	 	
19804CBGGYJAMES	1311209325909	000092524	BIPHENYL	TRI	Pounds																		2011	NO	BASF CORP	205 S JAMES ST	NEWPORT	NEW CASTLE	DE	19804	YES	NO	NO	NO								325132						39.71161	-75.60906	956910582								BASF CORP	001307032	17386	M2	WILMINGTON POTW	E. 12TH ST. AND HAY ROAD	WILMINGTON	DE	NEW CASTLE	19809							NO	MAUREEN.PAUKERT@BASF.COM			NO	 	
19804CBGGYJAMES	1311209325947	N511	NITRATE COMPOUNDS	TRI	Pounds																		2011	NO	BASF CORP	205 S JAMES ST	NEWPORT	NEW CASTLE	DE	19804	YES	NO	NO	NO								325132						39.71161	-75.60906	956910582								BASF CORP	001307032	27647	C 	WILMINGTON POTW	E. 12TH ST. AND HAY ROAD	WILMINGTON	DE	NEW CASTLE	19809							NO	MAUREEN.PAUKERT@BASF.COM			NO	 	
19804CBGGYJAMES	1311209325950	007697372	NITRIC ACID	TRI	Pounds																		2011	NO	BASF CORP	205 S JAMES ST	NEWPORT	NEW CASTLE	DE	19804	YES	NO	NO	NO								325132						39.71161	-75.60906	956910582								BASF CORP	001307032	0	C 	WILMINGTON POTW	E. 12TH ST. AND HAY ROAD	WILMINGTON	DE	NEW CASTLE	19809							NO	MAUREEN.PAUKERT@BASF.COM			NO	 	
19804CBGGYJAMES	1311209325923	000067561	METHANOL	TRI	Pounds																		2011	NO	BASF CORP	205 S JAMES ST	NEWPORT	NEW CASTLE	DE	19804	YES	NO	NO	NO								325132						39.71161	-75.60906	956910582								BASF CORP	001307032	682621	M2	WILMINGTON POTW	E. 12TH ST. AND HAY ROAD	WILMINGTON	DE	NEW CASTLE	19809							NO	MAUREEN.PAUKERT@BASF.COM			NO	 	
