TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	20-NOV-13	
57216NRTHR48416	1312210485049	000110543	N-HEXANE	TRI	Pounds																		2012	NO	NORTHERN LIGHTS ETHANOL LLC (DBA POET BIOREFINING BIG STONE)	48416 144TH ST	BIG STONE CITY	GRANT	SD	57216	YES	NO	NO	NO								325193						45.301333	-96.511361											0		NA												NO	BLAINE.GOMER@POET.COM			NO	 	
57216NRTHR48416	1312210485013	000050000	FORMALDEHYDE	TRI	Pounds																		2012	NO	NORTHERN LIGHTS ETHANOL LLC (DBA POET BIOREFINING BIG STONE)	48416 144TH ST	BIG STONE CITY	GRANT	SD	57216	YES	NO	NO	NO								325193						45.301333	-96.511361											0		NA												NO	BLAINE.GOMER@POET.COM			NO	 	
57216NRTHR48416	1312210485025	000067561	METHANOL	TRI	Pounds																		2012	NO	NORTHERN LIGHTS ETHANOL LLC (DBA POET BIOREFINING BIG STONE)	48416 144TH ST	BIG STONE CITY	GRANT	SD	57216	YES	NO	NO	NO								325193						45.301333	-96.511361											0		NA												NO	BLAINE.GOMER@POET.COM			NO	 	
57216NRTHR48416	1312210484984	000107028	ACROLEIN	TRI	Pounds																		2012	NO	NORTHERN LIGHTS ETHANOL LLC (DBA POET BIOREFINING BIG STONE)	48416 144TH ST	BIG STONE CITY	GRANT	SD	57216	YES	NO	NO	NO								325193						45.301333	-96.511361											0		NA												NO	BLAINE.GOMER@POET.COM			NO	 	
57216NRTHR48416	1312210484972	000075070	ACETALDEHYDE	TRI	Pounds																		2012	NO	NORTHERN LIGHTS ETHANOL LLC (DBA POET BIOREFINING BIG STONE)	48416 144TH ST	BIG STONE CITY	GRANT	SD	57216	YES	NO	NO	NO								325193						45.301333	-96.511361											0		NA												NO	BLAINE.GOMER@POET.COM			NO	 	
57350TLLCT601AR	1312210545517	007439965	MANGANESE	TRI	Pounds																		2012	NO	TEREX SOUTH DAKOTA INC	601 ARIZONA AVE NW	HURON	BEADLE	SD	57350	YES	NO	NO	NO								333120						44.371515	-98.229509	022574552								TEREX UTILITIES	022574552	0	E2	HURON - CITY OF	1280 9TH STREET SOUTHEAST	HURON	SD	BEADLE	57350							NO	DON.ANDERSON@TEREX.COM			YES	 	
57701SCMFG222DI	1312210497501	007439921	LEAD	TRI	Pounds																		2012	NO	SYMCOM INC	222 DISK DR	RAPID CITY	PENNINGTON	SD	57701	YES	NO	NO	NO								335314						44.104855	-103.213455	068673235										0		NA												NO	DAVID.SMITH@SYMCOM.COM			YES	 	
57006DKTRN33132	1312210075697	007439921	LEAD	TRI	Pounds																		2012	NO	DAKTRONICS INC	331 32ND AVE	BROOKINGS	BROOKINGS	SD	57006	YES	NO	NO	NO								339950						44.30773	-96.74555	049521511								DAKTRONICS INC		0		NA												NO	TOM.KENEFICK@DAKTRONICS.COM			YES	 	
57445JMSVL44251	1312210278533	000075070	ACETALDEHYDE	TRI	Pounds																		2012	NO	JAMES VALLEY ETHANOL DBA POET BIOREFINING	40425 133RD ST	GROTON	BROWN	SD	57445	YES	NO	NO	NO								312140						45.453963	-98.137741									POET BIOREFINING		0		NA												NO	KELLY.KJELDEN@POET.COM			NO	 	
57445JMSVL44251	1312210278572	000110543	N-HEXANE	TRI	Pounds																		2012	NO	JAMES VALLEY ETHANOL DBA POET BIOREFINING	40425 133RD ST	GROTON	BROWN	SD	57445	YES	NO	NO	NO								312140						45.453963	-98.137741									POET BIOREFINING		0		NA												NO	KELLY.KJELDEN@POET.COM			NO	 	
