TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	FACILITY BIA CODE	FACILITY BIA NAME	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 9 MISCELLANEOUS INFORMATION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10/3/2014	
72086GRCCM351RU	1313211051394	000100425	STYRENE	TRI	2013	GRACE COMPOSITES LLC	351 RUTH RD	LONOKE	LONOKE	AR	72086			YES	NO	NO	NO								326122						34.802613	-92.014282											One reason for the decrease in emissions in 2013 compared with 2012 was a decrease in business.	NO	JEFF@GRACECOMPOSITES.COM			NO	 	
71854RVRVL7500T	1313211059718	N511	NITRATE COMPOUNDS	TRI	2013	RIVER VALLEY ANIMAL FOODS	5465 MILLER COUNTY RD 64	TEXARKANA	MILLER	AR	71854			YES	NO	NO	NO								311613						33.533437	-93.805545	799864301								TYSON FOODS INC	006903702	|TPRL:There was an increase in production as well as waste water treated and discharged. |TOTRL:There was an increase in production as well as waste water treated and discharged. |TWRL:There was an increase in production as well as waste water treated and discharged.	NO	BOB.LEGROW@TYSON.COM			NO	 	
71730DPNTL322SU	1313211007125	000107211	ETHYLENE GLYCOL	TRI	2013	DUPONT EL DORADO	322 SOUTHFIELD CUTOFF RD	EL DORADO	UNION	AR	71730			YES	NO	NO	NO								325120						33.11	-92.675	962720640								E I DU PONT DE NEMOURS & CO	001315704	|TPRL:The system was recharged with fresh gylcol in 2012 which accounts for the difference in 2013.	NO	JEFFREY.L.O-DONNELL@USA.DUPONT.COM			NO	 	
72209SMTHF2700W	1313211488770	000101779	4,4'-METHYLENEDIANILINE	TRI	2013	FIBER GLASS SYSTEMS	2700 W 65TH ST	LITTLE ROCK	PULASKI	AR	72209			YES	NO	NO	NO								326122						34.689685	-92.30917	947885896								NATIONAL OILWELL VARCO LP	947885896	In the RY2012 data, my predecessor had reported 15,104 lbs, however i changed it to 22915.07. My attempt to explain the mathematical error that caused last year's offsite treated waste is in that my predecessor did not account for density in calculating the  residual per recycled drum. The reasoning in recalculating his numbers was that it made it appear we had an increase in business in 2013, while in reality, it was a decrease. Still, there exists a difference in the 12% calculated waste generation and the 22% decrease in production, I will account for through increased productivity by the senior worker's that remained during the downturn in production.  |PRAI:Purchasing reports our purchase of MDA decreased 11%. VP of Finance says production decreased 30% and hours decreased 26%. Average is 22%. Discrepancy  probably in manner 1 inch residual is measured.	NO	RANDY.STOCKMAN@NOV.COM			NO	 	
72209SMTHF2700W	1313211488782	000100425	STYRENE	TRI	2013	FIBER GLASS SYSTEMS	2700 W 65TH ST	LITTLE ROCK	PULASKI	AR	72209			YES	NO	NO	NO								326122						34.689685	-92.30917	947885896								NATIONAL OILWELL VARCO LP	947885896	The batch of styrene that went to Rienco was the result of a mix of off-spec adhesives that would have been sold as a product otherwise. |PRAI:No styrene was ordered in 2013, but old drums may have still been sent for recycling, so my estimation is based off of production and hours worked, provided by my VP of Fianace	NO	RANDY.STOCKMAN@NOV.COM			NO	 	
72450MRSNLPEKIN	1313211045873	007439921	LEAD	TRI	2013	NIDEC MOTOR CORP (FORMERLY EMERSON ELECTRIC COMPANY)	1000 S SECOND AVE	PARAGOULD	GREENE	AR	72450			YES	NO	NO	NO								335312						36.047186	-90.485258	083033290								NIDEC MOTOR CORP	965004240	|PRAI:The production ratio is based on the amount of lead contained in the aluminum melted during the year.  The amount of lead released or disposed of is directly proportional to the amount of aluminum melted.	NO	JR.GORE@NIDEC-MOTOR.COM			YES	 	
72450MRSNLPEKIN	1313211045885	007440020	NICKEL	TRI	2013	NIDEC MOTOR CORP (FORMERLY EMERSON ELECTRIC COMPANY)	1000 S SECOND AVE	PARAGOULD	GREENE	AR	72450			YES	NO	NO	NO								335312						36.047186	-90.485258	083033290								NIDEC MOTOR CORP	965004240	|PRAI:The amount of nickel released and disposed of is directly related to production (the amount of aluminum melted that contains nickel).	NO	JR.GORE@NIDEC-MOTOR.COM			YES	 	
72450MRSNLPEKIN	1313211045861	007440508	COPPER	TRI	2013	NIDEC MOTOR CORP (FORMERLY EMERSON ELECTRIC COMPANY)	1000 S SECOND AVE	PARAGOULD	GREENE	AR	72450			YES	NO	NO	NO								335312						36.047186	-90.485258	083033290								NIDEC MOTOR CORP	965004240	|PRAI:The production ratio is based on the amount aluminum melted during the year.  Copper is contained in the aluminum.	NO	JR.GORE@NIDEC-MOTOR.COM			YES	 	
72315STLRL11TER	1313211765781	N495	NICKEL COMPOUNDS	TRI	2013	SIEMENS INDUSTRY INC	101 TERRA RD	BLYTHEVILLE	MISSISSIPPI	AR	72315			YES	NO	NO	NO								333519						35.927255	-89.846319	010944650								SIEMENS CORP	010944650	|TPRL:a larger amount of waste transferred during January which accumulated in prior calendar year	NO	BRADLEYTHOMAS@SIEMENS.COM			YES	 	
72601TNKNT230IN	1313210919458	000100425	STYRENE	TRI	2013	PLANT MAINTENANCE SERVICES	228 W INDUSTRIAL PARK RD	HARRISON	BOONE	AR	72601			YES	NO	NO	NO								326199						36.248154	-93.137005	004265971		ARD092921253								|TOTRL:Production Volumes decreased from 12-13|TARL:Production volumes decreased from 12-13	NO	CBROOME@PLANTMAINTENANCESERVICES.COM			NO	 	
