TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ADDITION INFORMATION - SOURCE REDUCTION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
02542SRMYNBLDG4	1307205755200	007439921	LEAD	PBT	2007	U.S. ARMY NATIONAL GUARD CAMP ED WARDS RANGE	BLDG 4020 FRANK PERKINS RD	BOURNE	BARNSTABLE	MA	02542	YES	NO	YES	NO								928110						0	0									U.S. DEPARTMENT OF DEFENSE		IN JULY OF 2007 THE MASSACHUSETTS ARMY NATIONAL GUARD (MAARNG) RETURNED TO THE USE OF LEAD AMMUNITION AT CAMP EDWARDS AFTER A 10 YEAR STOPPAGE. DURING THAT TIME THE MAARNG EXPERIMENTED WITH VIARIOUS TYPES OF ALTERNATIVE AMMUNITION (I.E. TUNGSTEN & NYLON). PRIOR TO RETURNING TO THE USE OF LEAD AMMUNITION THE MAARNG INSTALLED A "BULLET TRAP" SYSTEM TO SIGNIFICANTLY REDUCE THE AMOUNT OF LEAD ENTERING THE ENVIRONMENT DURING TRAINING ACTIVITES. THE SYSTEM IS EXPECTED TO CAPTURE GREATER THAN 80% OF ALL SMALL ARMS AMMUNITION ROUNDS FIRED ON TARGET. IN SOME INSTANCES ROUNDS MAY NOT HIT THE TARGET AREA, THEREFORE A LOWER RATE OF 80% IS BEING USED FOR THIS REPORT.	YES	SHAWN.CODY@US.ARMY.MIL			YES	
04609SNTLPRTE23	1307205359336	N420	LEAD COMPOUNDS	PBT	2007	US NATL PARK SERVICE ACADIA NATIONAL PARK	RT 233 MCFARLAND HILL	BAR HARBOR	HANCOCK	ME	04609	YES	NO	YES	NO								924120	712190					44.373611	-68.259167									U.S. DEPARTMENT OF THE INTERIOR		LEAD USE AT THE RANGE WAS REDUCED BY 117.4 POUNDS DURING CY2006 THROUGH THE USE OF FRANGIBLE("GREEN") AMMUNITION.  LEAD USE AT THE RANGE WAS REDUCED BY 54.5 POUNDS DURING CY2007 THROUGH THE USE OF FRANGIBLE AMMUNITION.  THE NATIONAL PARK SERVICE WAS THE ONLY AGENCY TO USE FRANGIBLE AMMUNITION AT THE FIRING RANGE DURING CY2007.	YES	LEN_BOBINCHOCK@NPS.GOV			YES	
11973SDBRK53BEL	1307205902430	001336363	POLYCHLORINATED BIPHENYLS	PBT	2007	U.S. DOE BROOKHAVEN NATIONAL LABORATORY	53 BELL AVE	UPTON	SUFFOLK	NY	11973	YES	NO	YES	NO								541710						40.86	-72.86958									U.S. DEPARTMENT OF ENERGY		BNL HAS BEEN AGGRESSIVELY REDUCINGS IT'S PCB INVENTORY SINCE 2000 AND HAS REDUCED THE INVENTORY BY 90%, WITH A GOLA OF BEING PCB FREE WITHIN 5-YEARS.	YES	DASCOLI@BNL.GOV			NO	
11973SDBRK53BEL	1307205902428	007439976	MERCURY	PBT	2007	U.S. DOE BROOKHAVEN NATIONAL LABORATORY	53 BELL AVE	UPTON	SUFFOLK	NY	11973	YES	NO	YES	NO								541710						40.86	-72.86958									U.S. DEPARTMENT OF ENERGY		BROOKHAVEN NATIONAL LAB INSTITUTED A PROGRAM DURING 2004 TO IDENTIFY AREAS OF MERCURY USE AND TO TARGET ITS REPLACEMENT AND/OR EVALUATE IT'S USE.  DURING THIS PROGRAM ELEMENTAL AND CHEMICALS CONTAINING MERCURY WERE: EVALUATED FOR SUBSTITUTION, INVENTORIES OF THESE CHEMICALS HAVE BEEN KEPT TO A MINIMUM, AND PROCESS EQUIPMENT (THERMOSTATS, THERMOMETERS, MERCOID SWITCHES) HAVE BEEN TARGETED FOR REPLACEMENT.  IN TOTAL BNL HAS REDUCED IT;S MERCURY INVENTORY BY 63%.	YES	DASCOLI@BNL.GOV			YES	
11973SDBRK53BEL	1307205902416	007439921	LEAD	PBT	2007	U.S. DOE BROOKHAVEN NATIONAL LABORATORY	53 BELL AVE	UPTON	SUFFOLK	NY	11973	YES	NO	YES	NO								541710						40.86	-72.86958									U.S. DEPARTMENT OF ENERGY		LEAD IS WIDELY USED AROUND THE LAB FOR SHEILDING AT THE ACCELERATORS AND AT THE NATIONAL SYNCHROTRON LIGHT SOURCE.  LEAD COMPOUNDS HAVE BEEN TARGETED AND MINIMIZED FOR USE AT THE LAB SINCE 2000.	YES	DASCOLI@BNL.GOV			YES	
07722NVLWP201HW	1307205921897	007439921	LEAD	PBT	2007	U.S. NAVY NAVAL WEAPONS STATION EARLE	201 HWY 34 BLDG C-2	COLTS NECK	MONMOUTH	NJ	077225024	NO	YES	YES	NO								928110						40.26458	-74.16291			NJ0170022172		NJ0023540				U.S. DEPARTMENT OF DEFENSE		LEAD-FREE AMMUNITION HAS REPLACED THE USE OF STANDARD AMMUNITION IN THE FACILITY INDOOR PISTOL RANGE.  THIS CHANGE WAS MADE SEVERAL YEARS AGO.	YES	NA			YES	
08234SFWLLFACIL	1307205893593	007439921	LEAD	PBT	2007	U.S. FAA TECHNICAL CENTER	AMELIA EARHART BLVD	EGG HARBOR TOWNSHIP	ATLANTIC	NJ	08234	YES	NO	YES	NO								926120						39.360314	-74.461744									U.S. DEPARTMENT OF TRANSPORTATION		FEDERAL AIR MARSHALL TRAINING HAS TRANSITIONED TO LEAD-FREE AMMUNITION.  ALL TRAINING AT THE INDOOR RANGES IS LEAD-FREE; INDOOR RANGES HAVE A SYSTEM TO CAPTURE THE COPPER AND ACCUMULATE FOR FUTURE RECYCLING.  THERE ARE NO TRI RELEASES AT THE FAM INDOOR RANGES. FAM USES LEAD-FREE AMMUNITION TO THE MAXIMUM EXTENT POSSIBLE TO ACCOMPLISH THEIR MISSION. SOME ONGOING TRAINING AT OUTDOOR RANGES USE LEAD AMMUNITION.	YES	HOLLY.BAKER@FAA.GOV			YES	
07732SCSTG20CRI	1307205896766	N420	LEAD COMPOUNDS	PBT	2007	U.S. COAST GUARD DETACHMENT SANDY HOOK	20 CRISPIN RD	HIGHLANDS	MONMOUTH	NJ	07732	YES	NO	YES	NO								928110	921190	111219				40.468187	-74.005982											WE HAVE TRIED TO IMPLEMENT A PROGRAM UTILIZING MORE NON-LEAD AMMUNITION, BUT HAVE SO FAR BEEN UNSUCCESSFUL BECAUSE OF SUPPLY CONTINGENCIES AND OTHER FACTORS.  WE INTEND TO KEEP EXPLORING THIS IN THE FUTURE.	YES	ALEX.F.LECHICH@USCG.MIL			YES	
19902DVRRF436SP	1307205770516	000100414	ETHYLBENZENE	TRI	2007	U.S. AIR FORCE DOVER AFB DE	436 CES/CC 600 CHEVRON AVE	DOVER AFB	KENT	DE	19902	NO	YES	YES	NO								928110						39.12778	-75.46666			DE8570024010		DER00A02F				U.S. DEPARTMENT OF DEFENSE		ALL AIR EMISSION RELEASES FOR ETHYL BENZENE ARE ACCOUNTED FOR IN THE "FUGITIVE OR NON-POINT AIR EMISSIONS" CATEGORY.  THE "STACK OR POINT AIR EMISSIONS" CATEGORY SHOULD BE NA.	YES				NO	
18328SNPSDWILSO	1307205888074	007439921	LEAD	PBT	2007	US NATL PARK SERVICE DELAWARE WATER GAP NRA (DEWA)	WILSON HILL RD	DINGMANS FERRY	PIKE	PA	18328	YES	NO	YES	NO								924120						41.21687	-74.880644									U.S. DEPARTMENT OF THE INTERIOR		NATIONAL PARKS ARE REQUIRED TO PHASE OUT THE USE OF LEADED AMMUNITION AT ALL OUTDOOR FIRING RANGES BY OCTOBER 1, 2008.  THIS PARK USED 87 POUNDS OF NON-LEADED (GREEN) AMMUNITION IN RY07.	YES	DEWA_SUPERINTENDENT@NPS.GOV			YES	
