TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	FACILITY BIA CODE	FACILITY BIA NAME	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 8.11 DISPOSAL OR OTHER RELEASES, SOURCE REDUCTION, AND RECYCLING ACTIVITIES	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10/3/2014	
03585NWNGL365MA	1313211084835	007440508	COPPER	TRI	2013	NEW ENGLAND WIRE TECHNOLOGIES	130 N MAIN ST	LISBON	GRAFTON	NH	03585			YES	NO	NO	NO								331421	331420					44.21562	-71.9062	001085836								MJM HOLDINGS INC	001155670	|T04:Run longer wire sets in cabling to reduce copper scrap.	NO	TOM.WHITE@NEWENGLANDWIRE.COM			YES	 	
03071WRWCK31TUR	1313211805837	000191242	BENZO(G,H,I)PERYLENE	PBT	2013	WARWICK MILLS INC	301 TURNPIKE RD	NEW IPSWICH	HILLSBOROUGH	NH	03071			YES	NO	NO	NO								313210	313221	313311	313320	315992	315999	42.7505	-71.82836	001082874								WARWICK HOLDING CO		SRNA: We have completed construction of a $1.5 million biomass boiler plant to provide heat and process steam to our manufacturing plant. This unit will replace, or drastically reduce our use of #6 fuel oil beginning Q3 of 2014. This investment will greatly reduce the sulfur emissions of this facility while using locally sourced wood chips. The biomass system includes the use of gasifier technology which will eliminate the particulate emissions normally associated with the burning of wood	NO	CHOWLAND@WARWICKMILLS.COM			NO	 	
03055HTCHNOLDWI	1313211603269	007664417	AMMONIA	TRI	2013	HITCHINER MANUFACTURING CO INC	594 ELM ST	MILFORD	HILLSBOROUGH	NH	030552001			YES	NO	NO	NO								331512						42.83966	-71.70009	001078682								HITCHINER MANUFACTURING CO INC	001078682	Additional source reduction activities include switching our shell process from alcohol-based to water-based which will eliminate the need for ammonia. Estimated completion: 2014.	NO	TIM_SULLIVAN@HITCHINER.COM			NO	 	
03301RGNLM24CHE	1313211153162	007439921	LEAD	TRI	2013	REGIONAL MFG SPECIALISTS INC	24 CHENELL DR	CONCORD	MERRIMACK	NH	03301			YES	NO	NO	NO								334416						43.20839	-71.49599	622136505										Lead free solder in used in 80% of our process that we can control.To further reduce or usage we will have to work with our customers to change over to lead free solder for their units.	NO	PHAYDEN@AGILEMAGCO.COM			YES	 	
0305WLCMMN9AKIR	1313210906614	N420	LEAD COMPOUNDS	PBT	2013	L-3 COMMUNICATIONS CORP WARRIOR SYSTEMS - INSIGHT	9 AKIRA WAY	LONDONDERRY	ROCKINGHAM	NH	03053			YES	NO	NO	NO								333314						42.93258	-71.41917	192372860								L-3 COMMUNICATIONS	192372860	The amount of lead disposed of value is based on the amount of leaded solder our facility consumed.  The majority of lead being disposed of from our facility is a mixed waste of solder sponges, and other solder related wastes.|SRNA:Our facility uses leaded solder to assemble our products.  We can not substitute the use of leaded solder in our process.	NO	PETER.MURPHY@L-3COM.COM			YES	 	
03055HNDRXOLDWI	1313211311776	000098862	ACETOPHENONE	TRI	2013	MARMON UTILITY LLC	53 OLD WILTON RD	MILFORD	HILLSBOROUGH	NH	03055			YES	NO	NO	NO								335929	331422	331319				42.83947	-71.69331	048175764								BERKSHIRE HATHAWAY	048175764	|SRNA:Concern that product quality may decline as a result of source reduction	NO	KBOETTE@MARMONUTILITY.COM			NO	 	
03801GLDBNFREEM	1313211383056	007664417	AMMONIA	TRI	2013	NEW NGC INC D/B/A NATIONAL GYPSUM CO	9 MICHAEL J SUCCI DR	PORTSMOUTH	ROCKINGHAM	NH	03802			YES	NO	NO	NO								327420						43.088056	-70.767222	808836894								NEW NGC INC	808836894	Material subsitiution project completed in RY 2014 which is reflected in the 2014/2015 future projected emissions.	NO	PKRADIGAN@NATIONALGYPSUM.COM			NO	 	
03235WBSTRSMAIN	1313211560735	N090	CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)	TRI	2013	WATTS REGULATOR CO DBA WEBSTER VALVE	583 S MAIN ST	FRANKLIN	MERRIMACK	NH	032356431			YES	NO	NO	NO								332919	331525					43.42499	-71.65416	152163093								WATTS WATER TECHNOLOGIES	152163093	|SRNA:New foundry process became online in 2013 resulted in increase production as well as production inefficiencies with resulting increased scrap production.	NO	RICHARD.MASTERS@WATTSWATER.COM			YES	 	
03235WBSTRSMAIN	1313211560774	N495	NICKEL COMPOUNDS	TRI	2013	WATTS REGULATOR CO DBA WEBSTER VALVE	583 S MAIN ST	FRANKLIN	MERRIMACK	NH	032356431			YES	NO	NO	NO								332919	331525					43.42499	-71.65416	152163093								WATTS WATER TECHNOLOGIES	152163093	.	NO	RICHARD.MASTERS@WATTSWATER.COM			YES	 	
03766NWHMP68ETN	1313211661715	007439921	LEAD	TRI	2013	CASCADED PURCHASE HOLDING INC (DBA NEW HAMPSHIRE INDUSTRIES)	68 ETNA RD	LEBANON	GRAFTON	NH	03766			YES	NO	NO	NO								333613						43.66096	-72.24396	963639927										The discharge of lead from tumbler wastewater will be discontinued in 2014 and will eliminate discharge of lead to the municipal POTW.|SRNA:The source of lead is in the steel product purchased to manufacture pulleys.  The types of steel used to manufacture pulleys does not vary significantly.  The steel supplier provided the material specification used by the facility and there are no viable alternate products with lower lead values at this time.	NO	JOHN.BATTEN@NHIPULLEYS.COM			YES	 	
