TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ADDITION INFORMATION - SOURCE REDUCTION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
02722BRMCS106FE	1307205241045	007664417	AMMONIA	TRI	2007	BORDEN & REMINGTON CORP	106 FERRY ST	FALL RIVER	BRISTOL	MA	02722	NO	YES	NO	NO								424690						41.701148	-71.169085	088977186		MAD088977186								NA	NO	KHALLIGAN@BOREMCO.COM			NO	
02722BRMCS106FE	1307205241058	000191242	BENZO(G,H,I)PERYLENE	PBT	2007	BORDEN & REMINGTON CORP	106 FERRY ST	FALL RIVER	BRISTOL	MA	02722	NO	YES	NO	NO								424690						41.701148	-71.169085	088977186		MAD088977186								CHEMICAL IS FROM #6 FO AND IS CONSUMED DURING BURN. ALSO, THE CHEMICAL WAS REPORTED IN 2005 AND 2006 UNDER BOPRDEN & REMINGTON FALL RIVER LLC. EPA CALLED ME A ND TOLD ME THEY DID NOT CONSIDER BORDEN & REMINGTON CIORP AND BORDEN & REMINGTON FALL RIVER LLC DIFFERENT FACILITIES AND WERE GOING TO COMBINE THEM. THAT IS WHY THE PAC AND BENZO PERELYN ARE REPORTED HERE.	NO	KHALLIGAN@BOREMCO.COM			NO	
02722BRMCS106FE	1307205241110	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	2007	BORDEN & REMINGTON CORP	106 FERRY ST	FALL RIVER	BRISTOL	MA	02722	NO	YES	NO	NO								424690						41.701148	-71.169085	088977186		MAD088977186								CHEMICAL IS FROM #6 FO AND IS CONSUMED DURING BURN. ALSO, THE CHEMICAL WAS REPORTED IN 2005 AND 2006 UNDER BOPRDEN & REMINGTON FALL RIVER LLC. EPA CALLED ME A ND TOLD ME THEY DID NOT CONSIDER BORDEN & REMINGTON CIORP AND BORDEN & REMINGTON FALL RIVER LLC DIFFERENT FACILITIES AND WERE GOING TO COMBINE THEM. THAT IS WHY THE PAC AND BENZO PERELYN ARE REPORTED HERE.	NO	KHALLIGAN@BOREMCO.COM			NO	
02568RMPCKBEACH	1307205403660	000095636	1,2,4-TRIMETHYLBENZENE	TRI	2007	RM PACKER CO INC	BEACH RD	TISBURY	DUKES	MA	02568	YES	NO	NO	NO								424710						41.46319	-70.579908											NA	NO	KHALLIGAN@BOREMCO.COM			NO	
01749CTMFG2CABO	1307205869403	007439921	LEAD	PBT	2007	ACT ELECTRONICS INC	2 CABOT RD	HUDSON	MIDDLESEX	MA	01749	YES	NO	NO	NO								334418						42.378538	-71.562075	118249114								SUN CAPITAL PARTNERS	068750228	LEAD FREE WAVE SOLDER EQUIPMENT HAS BEEN INSTALLED.	NO	JGRIFFIN@ACT-ELECTRONICS.COM			YES	
01752DVTCH40CED	1307205698816	N495	NICKEL COMPOUNDS	TRI	2007	DAV-TECH PLATING INC.	40 CEDAR HILL ST	MARLBOROUGH	MIDDLESEX	MA	01752	YES	NO	NO	NO								332813						42.316489	-71.579412											PLEASE NOTE CHANGE INDICATED BELOW.  In Section 8.5 (Quantity Recycled Off-Site), for reporting year 2006, the amount should be 5,045 lbs and not 3,138 lbs as indicated in last year's report (reporting year 2006).	NO	LGOYNE@DAV-TECHPLATINGINC.COM			YES	
01752DVTCH40CED	1307205698828	N511	NITRATE COMPOUNDS	TRI	2007	DAV-TECH PLATING INC.	40 CEDAR HILL ST	MARLBOROUGH	MIDDLESEX	MA	01752	YES	NO	NO	NO								332813						42.316489	-71.579412											In reference to Section 8.9 (Production Ratio/Activity Index), the value indicated there is the same as that indicated for Nitric Acid.  Nitrate Compounds are manufactured as a result of neutralizing Nitric Acid with Sodium Hydroxide  to a pH of 7.  In prior reporting year 2006, Nitric Acid saturated with Nickel was shipped off-site for treatment/disposal/metals recovery.  There was Nitric Acid treated on-site in reporting year 2006 but the amount of Nitrate Compounds manufactured was less than the reporting threshold of 25,000 lbs.	NO	LGOYNE@DAV-TECHPLATINGINC.COM			NO	
02062PLRDC1UPLA	1307205344942	000191242	BENZO(G,H,I)PERYLENE	PBT	2007	POLAROID CORP	1 UPLAND RD	NORWOOD	NORFOLK	MA	020621546	YES	NO	NO	NO								325992						42.212316	-71.197354	119293046								POLAROID HOLDING CO	123913639	THIS FACILITY IS SHUT DOWN AND IS NO LONGER A MANUFACTURING BUSINESS.	NO	MACDONK@POLAROID.COM			NO	
02062PLRDC1UPLA	1307205344955	000067561	METHANOL	TRI	2007	POLAROID CORP	1 UPLAND RD	NORWOOD	NORFOLK	MA	020621546	YES	NO	NO	NO								325992						42.212316	-71.197354	119293046								POLAROID HOLDING CO	123913639	THIS FACILITY IS NOW SHUTDOWN AND IS NO LONGER A MANUFACTURING BUSINESS.	NO	MACDONK@POLAROID.COM			NO	
02062PLRDC1UPLA	1307205344967	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	2007	POLAROID CORP	1 UPLAND RD	NORWOOD	NORFOLK	MA	020621546	YES	NO	NO	NO								325992						42.212316	-71.197354	119293046								POLAROID HOLDING CO	123913639	THIS FACILITY IS SHUTING DOWN AND IS NO LONGER IN THE MANUFACTURING BUSINESS.	NO	MACDONK@POLAROID.COM			NO	
