TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 9 MISCELLANEOUS INFORMATION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	20-NOV-13	
86040NVJGN5MIOF	1312210876088	N090	CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)	TRI	2012	SALT RIVER PROJECT NAVAJO GENERATING STATION	5 MI E OF PAGE ON HWY 98	PAGE	COCONINO	AZ	86040	YES	NO	NO	NO								221112						36.903333	-111.390278	009011487								SALT RIVER PROJECT	009011487	The changes in release quantities are based on new monitoring data in the limestone operation.	NO	ROBERT.TALBOT@SRPNET.COM	RR1		YES	 	
86040NVJGN5MIOF	1312210876292	N982	ZINC COMPOUNDS	TRI	2012	SALT RIVER PROJECT NAVAJO GENERATING STATION	5 MI E OF PAGE ON HWY 98	PAGE	COCONINO	AZ	86040	YES	NO	NO	NO								221112						36.903333	-111.390278	009011487								SALT RIVER PROJECT	009011487	The changes in release quantities are based on new monitoring data in the limestone operation.	NO	ROBERT.TALBOT@SRPNET.COM	RR1		YES	 	
86040NVJGN5MIOF	1312210876239	N495	NICKEL COMPOUNDS	TRI	2012	SALT RIVER PROJECT NAVAJO GENERATING STATION	5 MI E OF PAGE ON HWY 98	PAGE	COCONINO	AZ	86040	YES	NO	NO	NO								221112						36.903333	-111.390278	009011487								SALT RIVER PROJECT	009011487	The change in release quantities are based on new chemical concentration data in the limestone operation.	NO	ROBERT.TALBOT@SRPNET.COM	RR3		YES	 	
86040NVJGN5MIOF	1312210876191	N458	MERCURY COMPOUNDS	PBT	2012	SALT RIVER PROJECT NAVAJO GENERATING STATION	5 MI E OF PAGE ON HWY 98	PAGE	COCONINO	AZ	86040	YES	NO	NO	NO								221112						36.903333	-111.390278	009011487								SALT RIVER PROJECT	009011487	The changes in release quantities are based on new chemical concentration data in the limestone operation.	NO	ROBERT.TALBOT@SRPNET.COM	RR5		YES	 	
86040NVJGN5MIOF	1312210876165	N450	MANGANESE COMPOUNDS	TRI	2012	SALT RIVER PROJECT NAVAJO GENERATING STATION	5 MI E OF PAGE ON HWY 98	PAGE	COCONINO	AZ	86040	YES	NO	NO	NO								221112						36.903333	-111.390278	009011487								SALT RIVER PROJECT	009011487	The change in release quantities are based on new chemical concentration data in the limestone operation.	NO	ROBERT.TALBOT@SRPNET.COM	RR3		YES	 	
86040NVJGN5MIOF	1312210876013	N040	BARIUM COMPOUNDS	TRI	2012	SALT RIVER PROJECT NAVAJO GENERATING STATION	5 MI E OF PAGE ON HWY 98	PAGE	COCONINO	AZ	86040	YES	NO	NO	NO								221112						36.903333	-111.390278	009011487								SALT RIVER PROJECT	009011487	The changes in release quantities are based on new chemical concentration data in the limestone operation.	NO	ROBERT.TALBOT@SRPNET.COM	RR3		YES	 	
86040NVJGN5MIOF	1312210876052	N050	BERYLLIUM COMPOUNDS	TRI	2012	SALT RIVER PROJECT NAVAJO GENERATING STATION	5 MI E OF PAGE ON HWY 98	PAGE	COCONINO	AZ	86040	YES	NO	NO	NO								221112						36.903333	-111.390278	009011487								SALT RIVER PROJECT	009011487	The changes in release quantities are based on new chemical concentration data in the limestone operation.	NO	ROBERT.TALBOT@SRPNET.COM	RR3		YES	 	
86040NVJGN5MIOF	1312210876126	N100	COPPER COMPOUNDS	TRI	2012	SALT RIVER PROJECT NAVAJO GENERATING STATION	5 MI E OF PAGE ON HWY 98	PAGE	COCONINO	AZ	86040	YES	NO	NO	NO								221112						36.903333	-111.390278	009011487								SALT RIVER PROJECT	009011487	The changes in release quantities are based on new monitoring data in the limestone operation.	NO	ROBERT.TALBOT@SRPNET.COM	RR1		YES	 	
86040NVJGN5MIOF	1312210876153	N420	LEAD COMPOUNDS	PBT	2012	SALT RIVER PROJECT NAVAJO GENERATING STATION	5 MI E OF PAGE ON HWY 98	PAGE	COCONINO	AZ	86040	YES	NO	NO	NO								221112						36.903333	-111.390278	009011487								SALT RIVER PROJECT	009011487	The changes in release quantities are based on new chemical concentration data in the limestone operation.	NO	ROBERT.TALBOT@SRPNET.COM	RR3		YES	 	
86040NVJGN5MIOF	1312210876278	N770	VANADIUM COMPOUNDS	TRI	2012	SALT RIVER PROJECT NAVAJO GENERATING STATION	5 MI E OF PAGE ON HWY 98	PAGE	COCONINO	AZ	86040	YES	NO	NO	NO								221112						36.903333	-111.390278	009011487								SALT RIVER PROJECT	009011487	The changes in release quantities are based on new chemical concentration data in the limestone operation.	NO	ROBERT.TALBOT@SRPNET.COM	RR3		YES	 	
