TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR
55340QXNC 2705W	1307205166794	007440508	COPPER	TRI	Pounds																		2007	NO	QX INC	2705 W HWY 55	HAMEL	HENNEPIN	MN	55340	YES	NO	NO	NO														45.059372	-93.591892	118766591										0														NO	RONPETERSON@QXINC.NET			YES	
55343SMNCS5951C	1307205840275	000123911	1,4-DIOXANE	TRI	Pounds																		2007	NO	GE OSMONICS INC.	5951 CLEARWATER DR	MINNETONKA	HENNEPIN	MN	55343	YES	NO	NO	NO														44.895782	-93.439464	047250444								GE CO.	001367960	42000	C 	BLUE LAKE TREATMENT PLANT	6957 HIGHWAY 101	SHAKOPEE	MN	SCOTT	55379							NO	ROXANE.PAWIELSKI@GE.COM			NO	
55343SMNCS5951C	1307205840287	007440473	CHROMIUM	TRI	Pounds																		2007	NO	GE OSMONICS INC.	5951 CLEARWATER DR	MINNETONKA	HENNEPIN	MN	55343	YES	NO	NO	NO														44.895782	-93.439464	047250444								GE CO.	001367960	5	M2	BLUE LAKE TREATMENT PLANT	6957 HIGHWAY 101	SHAKOPEE	MN	SCOTT	55379							NO	ROXANE.PAWIELSKI@GE.COM			YES	
55343SMNCS5951C	1307205840299	N120	DIISOCYANATES	TRI	Pounds																		2007	NO	GE OSMONICS INC.	5951 CLEARWATER DR	MINNETONKA	HENNEPIN	MN	55343	YES	NO	NO	NO														44.895782	-93.439464	047250444								GE CO.	001367960	0														NO	ROXANE.PAWIELSKI@GE.COM			NO	
55343SMNCS5951C	1307205840301	007439965	MANGANESE	TRI	Pounds																		2007	NO	GE OSMONICS INC.	5951 CLEARWATER DR	MINNETONKA	HENNEPIN	MN	55343	YES	NO	NO	NO														44.895782	-93.439464	047250444								GE CO.	001367960	5	O 	BLUE LAKE TREATMENT PLANT	6957 HIGHWAY 101	SHAKOPEE	MN	SCOTT	55379							NO	ROXANE.PAWIELSKI@GE.COM			YES	
55343SMNCS5951C	1307205840313	000068122	N,N-DIMETHYLFORMAMIDE	TRI	Pounds																		2007	NO	GE OSMONICS INC.	5951 CLEARWATER DR	MINNETONKA	HENNEPIN	MN	55343	YES	NO	NO	NO														44.895782	-93.439464	047250444								GE CO.	001367960	25000	C 	BLUE LAKE TREATMENT PLANT	6957 HIGHWAY 101	SHAKOPEE	MN	SCOTT	55379							NO	ROXANE.PAWIELSKI@GE.COM			NO	
55343SMNCS5951C	1307205840325	007440020	NICKEL	TRI	Pounds																		2007	NO	GE OSMONICS INC.	5951 CLEARWATER DR	MINNETONKA	HENNEPIN	MN	55343	YES	NO	NO	NO														44.895782	-93.439464	047250444								GE CO.	001367960	5	M2	BLUE LAKE TREATMENT PLANT	6957 HIGHWAY 101	SHAKOPEE	MN	SCOTT	55379							NO	ROXANE.PAWIELSKI@GE.COM			YES	
56345LRSNBPAULL	1307205196520	000080626	METHYL METHACRYLATE	TRI	Pounds																		2007	NO	LARSON-GLASTRON-SEASWIRL BOATS INC	700 PAUL LARSON MEMORIAL DR	LITTLE FALLS	MORRISON	MN	56345	YES	NO	NO	NO														45.991572	-94.366027	836332262								GENMAR INDUSTRIES INC	153237052	0														NO	DSTEINMETZ@LARSONGLASTRON.COM			NO	
56345LRSNBPAULL	1307205196532	000100425	STYRENE	TRI	Pounds																		2007	NO	LARSON-GLASTRON-SEASWIRL BOATS INC	700 PAUL LARSON MEMORIAL DR	LITTLE FALLS	MORRISON	MN	56345	YES	NO	NO	NO														45.991572	-94.366027	836332262								GENMAR INDUSTRIES INC	153237052	0														NO	DSTEINMETZ@LARSONGLASTRON.COM			NO	
56352KRFTN1000E	1307205546031	000191242	BENZO(G,H,I)PERYLENE	PBT	Pounds																		2007	NO	MELROSE DAIRY PROTEINS LLC	1000 E KRAFT DR	MELROSE	STEARNS	MN	56352	YES	NO	NO	NO														45.670278	-94.76666	064751845								LAND O LAKES INC	006253835	0														NO	LRBOTHAM@LANDOLAKES.COM			NO	
