TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 8.11 DISPOSAL OR OTHER RELEASES, SOURCE REDUCTION, AND RECYCLING ACTIVITIES	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	20-NOV-13	
87045MCKNLCOUNT	1312210683633	000107211	ETHYLENE GLYCOL	TRI	2012	BIO PAPPEL INTERNATIONAL	COUNTY RD 19	PREWITT	MCKINLEY	NM	870450100	YES	NO	NO	NO								322130						35.41056	-108.08417	794658609								BIO PAPPEL		|W58:The heating system uses ethlene glycol.  If a leak occurs the added material is either water or propylene glycol whuch is reducing over time the concentration of ethylene glycol in this system and over time will reduce the ethylene glycol|W42:The mobile equipment are moving from ethylene glycol to propylene glycol which will reduce this aspect of a TRI reporatable chemical used at the facility	NO	IROSAS@BIOPAPPEL.COM			NO	 	
87113SMTCM9401S	1312210500688	007647010	HYDROCHLORIC ACID (1995 AND AFTER "ACID AEROSOLS" ONLY)	TRI	2012	SUMCO PHOENIX- ALBUQUERQUE	9401 SAN MATEO BLVD NE	ALBUQUERQUE	BERNALILLO	NM	87113	YES	NO	NO	NO								334413						35.194026	-106.587407	868689621								SUMCO PHOENIX CORP		SRNA:Material is essential input into product.	NO	NANCY.NORMAN@SUMCOUSA.COM			NO	 	
88008GRFFT2400A	1312210023038	000107211	ETHYLENE GLYCOL	TRI	2012	STERIGENICS - SANTA TERESA FACILITY	2400 AIRPORT RD	SANTA TERESA	DONA ANA	NM	88008	YES	NO	NO	NO								561910						31.858333	-106.6875	361309719								STERIGENICS INTERNATIONAL LLC	098499569	100% of the ethylene glycol manufactured as a byproduct material at the facility is sent to an off-site processor where it is completely used as an ingredient in the manufacture of anti-freeze.	NO	KHOFFMAN@STERIGENICS.COM			NO	 	
87059RGRND11783	1312209923299	N420	LEAD COMPOUNDS	PBT	2012	GCC RIO GRANDE INC	11783 STATE HWY 337 S	TIJERAS	BERNALILLO	NM	870590100	YES	NO	NO	NO								327310						35.073658	-106.398079	002244999				NM0000116				GCC OF AMERICA		|W43:REPLACED LEAD SHOT WITH ZINC SELLS.	NO	SALVIDRE@GCC.COM			YES	 	
87574SHDNFBISHO	1312210800569	007440508	COPPER	TRI	2012	SHIDONI FOUNDRY INC	1508 BISHOPS LODGE RD	TESUQUE	SANTA FE	NM	87574	YES	NO	NO	NO								331525						35.755585	-105.928355	064918279				NMR00A514						SRNA:6.  However, for calendar year 2013 we are implementing some changes. Storage of bronze has changed.	NO	SCOTT@SHIDONI.COM			YES	 	
87124NTLCR4100S	1312210428153	N100	COPPER COMPOUNDS	TRI	2012	INTEL CORP	4100 SARA RD M/S RR5-491	RIO RANCHO	SANDOVAL	NM	87124	YES	NO	NO	NO								334413						35.231779	-106.654521	047897855								INTEL CORP		Intel focused on diverting copper waste shipments from treatment & disposal methods to metals recovery & recycling methods.  Less copper waste was disposed as a result despite increased copper usage compared to the previous reporting year.	NO	FRANK.E.GALLEGOS@INTEL.COM			YES	 	
87113MTRLN4800A	1312210677643	N420	LEAD COMPOUNDS	PBT	2012	CTS ELECTRONIC COMPONENTS INC	4800 ALAMEDA BLVD, NE	ALBUQUERQUE	BERNALILLO	NM	871131647	YES	NO	NO	NO								334419						35.184431	-106.586469	103820262								CTS CORP	005068515	Purchased an integrated system for transporting, storing and dispensing the powdered raw material which has substantially reduced the risk of leaks, spills and dispensing issues.  This involved the procurement of stainless steel intermediate bulk containers and a specially designed dispensing rack to gravity feed material for processing.|W32:The integrity and design of the SS IBC has substantially reduced the risk of spills and leaks of powdered product  during transport, unloading, storage and transfers to the processing area|W83:Purchased SS IBC to ensure product integrity during all phases of transport storage and dispensing.|W52:Special rack which holds product in the intermediate bulk container and allows us to gravity feed it for dispensing in an airtight manner	NO	MITCH.WALORSKI@CTSCORP.COM			YES	 	
87002  VNT1945H	1312210862874	000080626	METHYL METHACRYLATE	TRI	2012	ARISTECH ACRYLICS LLC	1945 HWY 304	BELEN	VALENCIA	NM	87002	YES	NO	NO	NO								326113						34.639715	-106.735018	002154545								SK CAPITAL PARTNERS	808064724	Upgraded controls and improved the overall maintenance of the system.|W13:Maintenance Upgrade|T01:Maintenance Upgrade|W52:Controls Upgrade|T01:Controls Upgrade	NO	GJACKSON@ARISTECHACRYLICS.COM			NO	 	
87002  VNT1945H	1312210862900	000100425	STYRENE	TRI	2012	ARISTECH ACRYLICS LLC	1945 HWY 304	BELEN	VALENCIA	NM	87002	YES	NO	NO	NO								326113						34.639715	-106.735018	002154545								SK CAPITAL PARTNERS	808064724	Upgraded controls and improved overall maintenance of the system.|W52:Maintenance Upgrade|T01:Maintenance Upgrade|W13:Controls Upgrade|T01:Controls Upgrade	NO	GJACKSON@ARISTECHACRYLICS.COM			NO	 	
87109DLTGR4801L	1312210050555	007439921	LEAD	TRI	2012	DELTA GROUP ELECTRONICS INC	4801 LINCOLN RD NE	ALBUQUERQUE	BERNALILLO	NM	871092304	YES	NO	NO	NO								334418						35.142344	-106.58876	153578695								DELTA GROUP ELECTRONICS INC		|W42:Pure Tin Solder|T11:Parts significantly smaller that previous|W52:Use New Surface Mount Equipment	NO	RHERNANDEZ@DELTAGROUPINC.COM			YES	 	
