TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 9 MISCELLANEOUS INFORMATION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	20-NOV-13	
87421SNJNMCOUNT	1312210410609	N770	VANADIUM COMPOUNDS	TRI	2012	SAN JUAN COAL CO - SAN JUAN MINE	16 MILES W OF FARMINGTON, CR 6800	WATERFLOW	SAN JUAN	NM	87421	YES	NO	NO	NO								212112						36.814194	-108.430944	753168160								BHP BILLITON NEW MEXICO COAL INC.	753168160	|PRAI:1.09	NO	CHARLES.CE.ROYBAL@BHPBILLITON.COM			YES	 	
87421SNJNMCOUNT	1312210410496	N420	LEAD COMPOUNDS	PBT	2012	SAN JUAN COAL CO - SAN JUAN MINE	16 MILES W OF FARMINGTON, CR 6800	WATERFLOW	SAN JUAN	NM	87421	YES	NO	NO	NO								212112						36.814194	-108.430944	753168160								BHP BILLITON NEW MEXICO COAL INC.	753168160	The fugitive dust estimates for the mine were revised as part of the new Title V permit application submitted in February 2013. The revisions resulted in a significant lowering of the fugitive dust estimates from the coal crushing and conveying systems. Since de minimis for Lead is zero the Lead in the coal dust is reportable but at a lower rate than previous years.	NO	CHARLES.CE.ROYBAL@BHPBILLITON.COM			YES	 	
87045MCKNLCOUNT	1312210683633	000107211	ETHYLENE GLYCOL	TRI	2012	BIO PAPPEL INTERNATIONAL	COUNTY RD 19	PREWITT	MCKINLEY	NM	870450100	YES	NO	NO	NO								322130						35.41056	-108.08417	794658609								BIO PAPPEL		|TARL:The release is driven by the leaks in the rolling stock and heating system lines.  These were reduced significantly due to material substitution and fewer leaks	NO	IROSAS@BIOPAPPEL.COM			NO	 	
87109GLTND6600G	1312210631786	007439921	LEAD	TRI	2012	GOODRICH ISR SYSTEMS	6600 GULTON CT NE	ALBUQUERQUE	BERNALILLO	NM	871094487	YES	NO	NO	NO								336419						35.154839	-106.59816	035686283								UNITED TECHNOLOGIES CORP	001344142	|PRAI:Use of lead solder in electronic assembly applications is dependant on program production requirements and varies with government contract awards and or customer requirements.	NO	RIP.WINCKEL@GOODRICH.COM			YES	 	
88043CHNMN210CO	1312210227219	007440473	CHROMIUM	TRI	2012	CHINO MINES CO MINE CONCENTRATOR-SXEW PLANTS	99 SANTA RITA MINE RD	VANADIUM	GRANT	NM	88023	YES	NO	NO	NO								212299						32.685833	-108.099166	027297472		NMD360010029		NM0020435				FREEPORT MCMORAN COPPER & GOLD	187122973	No miscellaneous information to report	NO	GABE_DOAK@FMI.COM			YES	 	
88043CHNMN210CO	1312210227258	007440020	NICKEL	TRI	2012	CHINO MINES CO MINE CONCENTRATOR-SXEW PLANTS	99 SANTA RITA MINE RD	VANADIUM	GRANT	NM	88023	YES	NO	NO	NO								212299						32.685833	-108.099166	027297472		NMD360010029		NM0020435				FREEPORT MCMORAN COPPER & GOLD	187122973	No miscellaneous information to report	NO	GABE_DOAK@FMI.COM			YES	 	
88043CHNMN210CO	1312210227272	007664939	SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY)	TRI	2012	CHINO MINES CO MINE CONCENTRATOR-SXEW PLANTS	99 SANTA RITA MINE RD	VANADIUM	GRANT	NM	88023	YES	NO	NO	NO								212299						32.685833	-108.099166	027297472		NMD360010029		NM0020435				FREEPORT MCMORAN COPPER & GOLD	187122973	No miscellaneous information to report	NO	GABE_DOAK@FMI.COM			NO	 	
87301GNTRFROUTE	1312210808731	000191242	BENZO(G,H,I)PERYLENE	PBT	2012	WESTERN REFINING SOUTHWEST INC - GALLUP REFINERY	I-40 EXIT 39	JAMESTOWN	MCKINLEY	NM	87347	YES	NO	NO	NO								324110						35.489048	-108.431107	606287308								WESTERN REFINING SOUTHWEST INC	606287308	1.  A new Waste Water Treatment Plant was put into operation in May 2012 and the benzene strippers were taken out of service in November 2012.  2.  From September 1, 2012 to October 10, 2012 - Refinery had a complete unit shutdown (turnaround) for maintenance and repairs.  3.  A new ESP Unit was installed in the FCC Unit in October 2012.	NO	ED.RIEGE@WNR.COM			NO	 	
87301GNTRFROUTE	1312210808869	N511	NITRATE COMPOUNDS	TRI	2012	WESTERN REFINING SOUTHWEST INC - GALLUP REFINERY	I-40 EXIT 39	JAMESTOWN	MCKINLEY	NM	87347	YES	NO	NO	NO								324110						35.489048	-108.431107	606287308								WESTERN REFINING SOUTHWEST INC	606287308	1.  A new Waste Water Treatment Plant was put into operation in May 2012 and the benzene strippers were taken out of service in November 2012.  2.  From September 1, 2012 to October 10, 2012 - Refinery had a complete unit shutdown (turnaround) for maintenance and repairs.  3.  A new ESP Unit was installed in the FCC Unit in October 2012	NO	ED.RIEGE@WNR.COM			NO	 	
87301GNTRFROUTE	1312210808921	001330207	XYLENE (MIXED ISOMERS)	TRI	2012	WESTERN REFINING SOUTHWEST INC - GALLUP REFINERY	I-40 EXIT 39	JAMESTOWN	MCKINLEY	NM	87347	YES	NO	NO	NO								324110						35.489048	-108.431107	606287308								WESTERN REFINING SOUTHWEST INC	606287308	1.  A new Waste Water Treatment Plant was put into operation in May 2012 and the benzene strippers were taken out of service in November 2012.  2.  From September 1, 2012 to October 10, 2012 - Refinery had a complete unit shutdown (turnaround) for maintenance and repairs.  3.  A new ESP Unit was installed in the FCC Unit in October 2012	NO	ED.RIEGE@WNR.COM			NO	 	
