TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10-18-2012	
97113SHLDN300N2	1311209136528	007439965	MANGANESE	TRI	Pounds																		2011	NO	SHELDON MANUFACTURING INC	300 N 26TH AVE	CORNELIUS	WASHINGTON	OR	97113	YES	NO	NO	NO								332322						45.52277	-123.0398	052225596										0		NA												NO	DOUGB@SHELLAB.COM			YES	 	
97113SHLDN300N2	1311209136516	007440473	CHROMIUM	TRI	Pounds																		2011	NO	SHELDON MANUFACTURING INC	300 N 26TH AVE	CORNELIUS	WASHINGTON	OR	97113	YES	NO	NO	NO								332322						45.52277	-123.0398	052225596										0		NA												NO	DOUGB@SHELLAB.COM			YES	 	
97113SHLDN300N2	1311209136530	007440020	NICKEL	TRI	Pounds																		2011	NO	SHELDON MANUFACTURING INC	300 N 26TH AVE	CORNELIUS	WASHINGTON	OR	97113	YES	NO	NO	NO								332322						45.52277	-123.0398	052225596										0		NA												NO	DOUGB@SHELLAB.COM			YES	 	
97478KNGSF3315M	1311209243878	N420	LEAD COMPOUNDS	PBT	Pounds																		2011	NO	KINGSFORD MANUFACTURING CO	3315 MARCOLA RD	SPRINGFIELD	LANE	OR	97478	YES	NO	NO	NO								325191						44.06445	-122.97894	071809420								THE CLOROX CO	009138033	0		NA												NO	PAULO.MONTENEGRO@CLOROX.COM			YES	 	
97478KNGSF3315M	1311209243892	N511	NITRATE COMPOUNDS	TRI	Pounds																		2011	NO	KINGSFORD MANUFACTURING CO	3315 MARCOLA RD	SPRINGFIELD	LANE	OR	97478	YES	NO	NO	NO								325191						44.06445	-122.97894	071809420								THE CLOROX CO	009138033	0		NA												NO	PAULO.MONTENEGRO@CLOROX.COM			NO	 	
97478KNGSF3315M	1311209243880	000067561	METHANOL	TRI	Pounds																		2011	NO	KINGSFORD MANUFACTURING CO	3315 MARCOLA RD	SPRINGFIELD	LANE	OR	97478	YES	NO	NO	NO								325191						44.06445	-122.97894	071809420								THE CLOROX CO	009138033	0		NA												NO	PAULO.MONTENEGRO@CLOROX.COM			NO	 	
97210GRTWS5700N	1311209144195	000067561	METHANOL	TRI	Pounds																		2011	NO	BRENNTAG PACIFIC INC	5700 NW FRONT ST	PORTLAND	MULTNOMAH	OR	97210	YES	NO	NO	NO								424690						45.56209	-122.73673	145245192								BRENNTAG NA INC	145245192	0		NA												NO	SMILLER@BRENNTAG.COM			NO	 	
97062PLSTF9665T	1311208962718	000100425	STYRENE	TRI	Pounds																		2011	NO	PLASTI-FAB INC	9665 SW TUALATIN SHERWOOD RD	TUALATIN	WASHINGTON	OR	97062	YES	NO	NO	NO								326199						45.378507	-122.776771	054960356										0		NA												NO	KCOCHRAN@PLASTI-FAB.COM			NO	 	
97231RCPRD9930N	1311209415090	000110827	CYCLOHEXANE	TRI	Pounds																		2011	NO	BP WEST COAST PRODUCTS CO - PORTLAND TERMINAL	9930 NW ST HELENS RD	PORTLAND	MULTNOMAH	OR	97231	YES	NO	NO	NO								424710						45.591105	-122.777851	097200401								BP PRODUCTS NA INC	039596507	0	O 	CITY OF PORTLAND WATER POLLUTION CONTROL LAB	6543 NORTH BURLINGTON	PORTLAND	OR	MULTNOMAH	97203							NO	TERRI.MALONE@BP.COM			NO	 	
97231RCPRD9930N	1311209415076	000071432	BENZENE	TRI	Pounds																		2011	NO	BP WEST COAST PRODUCTS CO - PORTLAND TERMINAL	9930 NW ST HELENS RD	PORTLAND	MULTNOMAH	OR	97231	YES	NO	NO	NO								424710						45.591105	-122.777851	097200401								BP PRODUCTS NA INC	039596507	0	O 	CITY OF PORTLAND WATER POLLUTION CONTROL LAB	6543 NORTH BURLINGTON	PORTLAND	OR	MULTNOMAH	97203							NO	TERRI.MALONE@BP.COM			NO	 	
