TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ADDITION INFORMATION - SOURCE REDUCTION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	3-3-2012	
48176SLNNS7700M	1305203477094	N120	DIISOCYANATES	TRI	2005	AUTOMOTIVE COMPONENTS HOLDINGS LLC SALINE PLANT	7700 MICHIGAN AVE	SALINE	WASHTENAW	MI	48176	YES	NO	NO	NO	3714							336360						42.17516	-83.76202	009305665								AUTOMOTIVE COMPONENTS HOLDINGS INC	607597098	ACH Commitment to the Environment Automotive Components Holdings, LLC (ACH) has a formal written Environmental Policy focused on protecting and conserving the natural environment. Environmental stewardship is among ACH's highest corporate priorities, and the company is committed to conducting its business in an environmentally responsible manner. ACH's environmental objective is to distinguish corporate citizenship capabilities through a demonstration of decisive environmental stewardship and sustainable development initiatives.  The company operates an Environmental Management System consistent with the ISO 14001 International Standard and all ACH manufacturing facilities have been third-party certified to the ISO 14001 Standard. This includes identifying and acting upon significant environmental aspects and setting objectives and targets relating to operations and facilities, including:      - Managing air emissions,      - Conserving energy and natural resources,      - Managing materials to reduce environmental impact, and      - Conservation of natural resources. The company complies with all current regulatory standards and often surpasses local applicable regulatory and legal requirements. We continually strive to  improve our environmental performance by working to minimize the creation of solid and liquid waste and eliminate practices that could have a harmful impact on future generations.	NO	RMICHALO@ACH-LLC2.COM			NO	 	
53177DSTND8211D	1305203363852	007440508	COPPER	TRI	2005	INTERMET CORP RACINE MACHINING	8211 DURAND AVE	STURTEVANT	RACINE	WI	531771945	YES	NO	NO	NO	3499							332999						42.697663	-87.883861	177552684								INTERMET CORP	120919766	Facility closed and production ceased 6/10/05.  Site sold 8/31/05 to American Metal Technologies.  All correspodence directed to Todd Heavin VP Light Metals at INTERMET Corporate, 700 Tower Dr, 4th Floor, Troy MI.  48098	NO				YES	 	
19153CHMSN7825H	1305203401738	000080057	4,4'-ISOPROPYLIDENEDIPHENOL	TRI	2005	CHEMSON INC	7825 HOLSTEIN AVE	PHILADELPHIA	PHILADELPHIA	PA	19153	YES	NO	NO	NO	2869	2819						325000						39.897909	-75.232488	967394909								CHEMSON AG		COMPLETE ELIMINATION OF THIS CHEMICAL FROM ALL PRODUCTION.	NO	D.JANISZEWSKI@CHEMSONINC.COM			NO	 	
56649BSCSCSECON	1305203452723	007664417	AMMONIA	TRI	2005	BOISE WHITE PAPER LLC	400 SECOND ST	INTERNATIONAL FALLS	KOOCHICHING	MN	56649	YES	NO	NO	NO	2621	2611						322121						48.60375	-93.40509	170009265								BOISE INC	170009265	RY2005 shows significant reductions in ammonia releases versus previous years (84,000# RY2004 versus 67,000# RY2005).    Release reductions are primarily due to the use of newer, updated and more appropriate emission factors published by the National Council for Air and Stream Improvement, Inc. (NCASI) for the pulp and paper industry.  These emission factors were published in February 2006.  Examples of reduction include air emissions from various equipment sources.    Another reduction source was utilizing the 10% aqueous ammonia factor.  This had not been used in previous years.	NO	LORILYMAN@BOISEPAPER.COM			NO	 	
04289MDWST23BET	1305203451176	N040	BARIUM COMPOUNDS	TRI	2005	MIDWEST-PRICE CO LLC	23 BETHEL RD	WEST PARIS	OXFORD	ME	04289	YES	NO	NO	NO	2429							321912						44.29211	-70.53021											Barium is naturally contained in logs that are chipped by the facility.  Therefore barium is processed by the facility above the reporting threshold.  However, no barium is actually released to the environment, as all wood chips and barium naturally contained in those wood chips are sold as product.	NO				YES	 	
49855PRSQS2701L	1305203381645	N458	MERCURY COMPOUNDS	PBT	2005	PRESQUE ISLE POWER PLANT	2701 LAKESHORE BLVD	MARQUETTE	MARQUETTE	MI	49855	YES	NO	NO	NO	4911							221112						46.57763	-87.39273	007947385								WISCONSIN ENERGY CORP	157305780	Report commentary relative to the new PIPP TOXECON Baghouse:  In 2005, construction was essentially completed on a new "TOXECON" Baghouse facility for Presque Isle Units 7, 8, and 9.  Construction of this facility is part of a three year, $50 million demonstration project being conducted under the US DOE¿s Clean Coal Power Initiative.  The primary goals of this project are to achieve up to a 90% reduction in power plant mercury emissions, improve mercury related continuous emission monitoring systems, and develop technology to recover the collected mercury.  In addition, it is intended to increase particulate collection efficiency and determine the viability of sorbent injection for improved SO2 and NOx control.  The new "TOXECON" facility was placed into operation in late 2005 and demonstration testing is scheduled to continue until March 2009.	NO	DONNA.DANIHEL@WE-ENERGIES.COM			YES	 	
23804BRNCNPETER	1305203405737	007440473	CHROMIUM	TRI	2005	AMSTED RAIL CO INC	2580 FRONTAGE RD	PETERSBURG	PETERSBURG (CITY)	VA	23805	YES	NO	NO	NO	3562	3499	3462					332111						37.202755	-77.363799	070015748								AMSTED INDUSTRIES INC	005146667	We have found an alternative to landfilling "swarf" by recycling this material to the different metal scrap dealers we utilize.	NO	CANDREWS@AMSTEDRAIL.COM			YES	 	
01570MCDHSROBER	1305203464553	000108883	TOLUENE	TRI	2005	MACE ADHESIVES & COATINGS CO I NC	ROBERTS RD	DUDLEY	WORCESTER	MA	01571	YES	NO	NO	NO	2821							325510						42.030168	-71.971927	004530895										The quantity shipped off site was large again in 2005 as it was in 2004. This is due to the Consent order we were under by the state which required us to reclassify our inventory. This resulted in more off site as hazardous waste. We should be back to a normal flow in 2006	NO	JIM@MACECO.COM			NO	 	
38930MLWKL13SYC	1305203424561	007439921	LEAD	PBT	2005	MILWAUKEE ELECTRIC TOOL CORP	1003 SYCAMORE ST	GREENWOOD	LEFLORE	MS	38930	YES	NO	NO	NO	3546	3425						333991						33.510098	-90.193077	006094908								TECHTRONIC INDUSTRIES CO LTD	828075528	Improved methods, PM and operatior set-up contributed to less scrap generated on a new machine.	NO	DAVID.CREEL@MILWAUKEETOOL.COM			YES	 	
99707FRTKN1FORA	1305203439892	N511	NITRATE COMPOUNDS	TRI	2005	FORT KNOX MINE	1 FORT KNOX RD	FAIRBANKS	FAIRBANKS NORTH STAR	AK	99712	YES	NO	NO	NO	1041							212221						64.997222	-147.336111									KINROSS GOLD CORP	807545777	Lead Nitrate as a Reagent was not used in the process in 2005.	NO	DELBERT.PARR@KINROSS.COM			NO	 	
