TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 9 MISCELLANEOUS INFORMATION	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	20-NOV-13	
02140THDDG165CA	1312210233995	000067561	METHANOL	TRI	2012	DODGE CO	165 CAMBRIDGE PARK DR	CAMBRIDGE	MIDDLESEX	MA	02140	YES	NO	NO	NO								325998						42.395614	-71.146817	001045517										The Facility moved from Cambridge, MA to Billerica, MA in January 2013 but planned for the move for most of 2012.Prior to this The Dodge Company had already had most of their production being done by another company out of state.  There were only a 4 batches which required methanol, manufactured early in 2012 which were compounded in tanks which added to stack emissions.The other uses of Methanol were in smaller sized batches which are processed from smaller tanks.The waste is not necessarily generated from production during 2012.Damaged products were returned to the facility and Samples of products were saved for about 3 years.Before moving, this was shipped out as hazardous waste.  Which is the reason for a lot of waste, with very little production.The waste Manifest were provided by Dennis Alphen and Rick Daly|PRAI:The Dodge Company has another company out of state manufacturing the majority of their products, specifically hazardous products.They also moved from Cambridge, MA to Billerica, MA in January 2013Most of 2012 was preparing for the move.Production with Methanol was to use up remaining raw materials.The same ratio as RY2011 is coincidence but the production overall dropped significantly.  The ratio is not an error.|TOTRL:Previous years Methanol was made in larger mixing tanks which contribute to the stack emissions.  With the out sourcing of production and eventually the Company moving.  There were only 4 relatively small batches made with Methanol in tanks that contributed to stack emissions.  Other wise it was only used in smaller tanks which do not directly contribute to Stack emissions.  There was overall far less used in 2012 than the previous year.|TPRL:This is not an error.Most of the waste would be from damaged products that were returned to the Cambridge facility and disposing of samples which were saved for 3 years.This was in part of the company moving in January 2013.|TARL:Previous years Methanol was made in larger mixing tanks which contribute to the stack emissions.  With the out sourcing of production and eventually the Company moving.  There were only 4 relatively small batches made with Methanol in tanks that contributed to stack emissions.  Other wise it was only used in smaller tanks which do not directly contribute to Stack emissions.  There was overall far less used in 2012 than the previous year.	NO	FCIFUENTES@DODGECO.COM			NO	 	
02140THDDG165CA	1312210233983	000050000	FORMALDEHYDE	TRI	2012	DODGE CO	165 CAMBRIDGE PARK DR	CAMBRIDGE	MIDDLESEX	MA	02140	YES	NO	NO	NO								325998						42.395614	-71.146817	001045517										The Facility moved from Cambridge, MA to Billerica, MA officially in January 2013 but planned for the move for most of 2012.Prior to this The Dodge Company had already had most of their production being done by another company out of state.  There was no Stack emissions for formaldehyde because the only product made with Formaldehyde had been made in small batches.This was in a smaller tank which did not have the ventilation as larger production tanks used in the past.  It had always been calculated for Fugitive emissions.Damaged products were returned to the site.  This with many products that are saved for 3 years after testing had to be disposed of as hazardous waste.The majority of waste was not generated from production.  The waste manifests were provided by Dennis Alphen and Rick Daly.  |PRAI:It is coincidental that the production ratio is so similar to last year.The ratio itself is so low due to an on going process of no longer producing hazardous products on site.  The company also moved in January 2013 and at the moment has no plans for any production.  Any plans for production in the future are not expected to include Formaldehyde.Production in 2012 was to process some remaining raw materials.   |TARL:Previous years, Formaldehyde was used in large mixing tanks which all contributed to the stack emissions.  in 2012 none of these tanks were used with any manufacturing that included Formaldehyde.  Only one product made few times included a form of Formaldehyde.  This product is processed in a much smaller tank which does not contribute to stack emissions.  It only contributes to Fugitive emissions.  There was much less used and none of it would be factored into stack emissions.|TOTRL:Previous years, Formaldehyde was used in large mixing tanks which all contributed to the stack emissions.  in 2012 none of these tanks were used with any manufacturing that included Formaldehyde.  Only one product made few times included a form of Formaldehyde.  This product is processed in a much smaller tank which does not contribute to stack emissions.  It only contributes to Fugitive emissions.  There was much less used and none of it would be factored into stack emissions.|TPRL:This is not an error.Most of the waste would be from damaged products that were returned to the Cambridge facility and disposing of samples which were saved for 3 years.This was in part of the company moving in January 2013.	NO	FCIFUENTES@DODGECO.COM			NO	 	
02703CHMTC52GAR	1312210067361	007697372	NITRIC ACID	TRI	2012	METALOR TECHNOLOGIES USA	52 GARDNER ST	ATTLEBORO	BRISTOL	MA	02703	YES	NO	NO	NO								332999						41.942145	-71.278539	361313943								METALOR TECHNOLOGIES (USA) CORP		Refer to 8.11	NO	ANDY.COSTA@METALOR.COM			NO	 	
02184HMNTC400WO	1312210198634	000117817	DI(2-ETHYLHEXYL) PHTHALATE	TRI	2012	HAEMONETICS CORP	400 WOOD RD	BRAINTREE	NORFOLK	MA	021842486	YES	NO	NO	NO								326121	326111	339112				42.218637	-71.039217	057827420										Haemonetics Braintree, MA location intends to close it's manufacturing plant in reporting year 2014. For this reason, the off-site recycling data estimated for reporting year 2014 is halved due to the expected manufacturing closure.	NO	CLINDOP@HAEMONETICS.COM			NO	 	
01950NNSPC3MALC	1312210279954	000121448	TRIETHYLAMINE	TRI	2012	UNION SPECIALTIES INC	3 MALCOLM HOYT DR	NEWBURYPORT	ESSEX	MA	01950	YES	NO	NO	NO								325510						42.813191	-70.902598	048268007										In 2012, an air emissions inventory estimate determined approximately 62# / Year VOC for Triethylamine based on new calculations	NO	CANDYBRIDGES@UNIONSPECIALTIESINC.COM			NO	 	
01950NNSPC3MALC	1312210279941	000872504	N-METHYL-2-PYRROLIDONE	TRI	2012	UNION SPECIALTIES INC	3 MALCOLM HOYT DR	NEWBURYPORT	ESSEX	MA	01950	YES	NO	NO	NO								325510						42.813191	-70.902598	048268007										Reporting Year 2012, did not send any NMP for offsite treatment. However, material was gathered and sent offsite early 2013. Consequently, reporting year 2013 will have more than anticipated offsite treatment . Reporting year 2014, should be back to normal anticipated levels.NOTE- although the reporting levels depict fluctuations based on above explanation, total quantity involved low enough to maintain waste management compliance levels.	NO	CANDYBRIDGES@UNIONSPECIALTIESINC.COM			NO	 	
01605BSFBR100RE	1312210119638	000191242	BENZO(G,H,I)PERYLENE	PBT	2012	ABBOTT BIORESEARCH CENTER	100 RESEARCH DR	WORCESTER	WORCESTER	MA	01605	YES	NO	NO	NO								325414						42.275482	-71.769234	927001636								ABBOTT LABORATORIES	090358029	The facility used more #6 fuel oil to be able to convert a tank over to #2 fuel oil.	NO	KENNY.HARTUNG@ABBVIE.COM			NO	 	
01605BSFBR100RE	1312210119640	N590	POLYCYCLIC AROMATIC COMPOUNDS	PBT	2012	ABBOTT BIORESEARCH CENTER	100 RESEARCH DR	WORCESTER	WORCESTER	MA	01605	YES	NO	NO	NO								325414						42.275482	-71.769234	927001636								ABBOTT LABORATORIES	090358029	The facility used more #6 fuel oil to be able to convert a tank over to #2 fuel oil.	NO	KENNY.HARTUNG@ABBVIE.COM			NO	 	
01001HPHDN233MA	1312210585384	N511	NITRATE COMPOUNDS	TRI	2012	H P HOOD LLC AGAWAM	233 MAIN ST	AGAWAM	HAMPDEN	MA	01001	YES	NO	NO	NO								311511						42.083909	-72.618831	043248350								H.P. HOOD LLC	043248350	During 2011, the facility used fewer sanitation chemicals containing nitric acid and did not produce sufficient quantities of nitrate compounds in the on-site wastewater treatment process to exceed the threshold quantity.  During 2012, a primary sanitation chemical containing sulfuric acid was replaced with one that contains nitric acid.  As a result, the quantity of sulfuric acid used in the production process was reduced to zero, but the quantity of nitric acid used was increased.   In addition, our overall production volumes increased 8%, which also required an increase in the use of nitric acid.  These factors caused the quantity of nitrate compounds produced in our waste water treatment process to exceed a reportable level for 2012.|PRAI:Millions of gallons of dairy products manufactured in 2012 versus 2011.	NO	CHRISTOPHER.DODD@HPHOOD.COM			NO	 	
01001HPHDN233MA	1312210585408	007697372	NITRIC ACID	TRI	2012	H P HOOD LLC AGAWAM	233 MAIN ST	AGAWAM	HAMPDEN	MA	01001	YES	NO	NO	NO								311511						42.083909	-72.618831	043248350								H.P. HOOD LLC	043248350	During 2012, a primary sanitation chemical containing sulfuric acid was replaced with one that contains nitric acid.  As a result, the quantity of sulfuric acid used in the production process was reduced to zero, but the quantity of nitric acid used was increased.  In addition, our overall production volumes increased 8%, which also required an increase in the use of nitric acid.|PRAI:Millions of gallons of dairy products manufactured in 2012 versus 2011	NO	CHRISTOPHER.DODD@HPHOOD.COM			NO	 	
