TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	REPORTING YEAR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	FACILITY BIA CODE	FACILITY BIA NAME	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	SECTION 8.11 DISPOSAL OR OTHER RELEASES, SOURCE REDUCTION, AND RECYCLING ACTIVITIES	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	8/24/2017	
35007SPCFCHWY31	1307205260300	N982	ZINC COMPOUNDS	TRI	2007	SPECIFICATION RUBBER PRODUCTS INC	1568 1ST ST N	ALABASTER	SHELBY	AL	35007			YES	NO	NO	NO								326291						33.263284	-86.811187	004402350								AMERICAN CAST IRON PIPE CO	003397569	In july of 2006 we quit purchasing 90% of the zinc based powders and now it is all encapsulated in a rubber compound mixture.  In 2007 all zinc based powders were encapsulated in a rubber compound mixter and there was no free powders present at the facility	NO	TCARSON@SPECRUBBER.COM			YES	 	
48116CMRNP7250W	1307205349222	007440020	NICKEL	TRI	2007	WYMAN-GORDON CO	7250 WHITMORE LAKE RD	BRIGHTON	LIVINGSTON	MI	48116			YES	NO	NO	NO								331492						42.49491	-83.75812	938237146								BERKSHIRE HATHAWAY INC	001024314	Reduced kerf losses by installing bandsaws.	NO	PNELSON@WYMAN.COM			YES	 	
72901BLDRL5711S	1307205350945	001330207	XYLENE (MIXED ISOMERS)	TRI	2007	BALDOR ELECTRIC CO	5711 R S BOREHAM JR ST	FORT SMITH	SEBASTIAN	AR	72901			YES	NO	NO	NO								335312						35.327809	-94.428619	006338537								ABB INC	808229041	The plant switched to low-HAP paints to reduce emissions of HAPS in compliance with EPA's new NESHAPS air emissions standards (MACT for coating of miscellaneous metal parts).	NO	TOMMY.CROY@BALDOR.ABB.COM			NO	 	
45439DLPHH3535K	1307205684830	007440508	COPPER	TRI	2007	DELPHI AHG MORAINE PLANT	3535 S KETTERING BLVD	MORAINE	MONTGOMERY	OH	45439			YES	NO	NO	NO								336391						39.70154	-84.20749	102300394								DELPHI AUTOMOTIVE SYSTEMS LLC	043898092	This facility was shutdown october 31, 2007 and the equipment was either sold or sent to mexico as part of delphi's restructuring during bankruptcy.  This will be the last tri for this site.	NO	LINDSEY.C.WILLIAMS@DELPHI.COM			YES	 	
77081TLDYN5825C	1307205814217	007439921	LEAD	PBT	2007	TELEDYNE GEOPHYSICAL INSTRUMENTS	5825 CHIMNEY ROCK RD	HOUSTON	HARRIS	TX	77081			YES	NO	NO	NO								334511						29.71804	-95.47639									TELEDYNE TECHNOLOGIES INC	112358432	NA	NO	ERIKA.LADD@TELEDYNE.COM			YES	 	
02760LCHGR57JOH	1307205921354	007664417	AMMONIA	TRI	2007	LEACH & GARNER CO	57 JOHN  DIETSCH SQUARE	NORTH ATTLEBORO	BRISTOL	MA	02761			YES	NO	NO	NO								339911	331492	339913	331491			41.97421	-71.29757	60201770								HALLMARK SWEET	60201770	On september 28, 2007 the business leach & garner company of 57 john dietsch square, north attleboro was acquired by hallmark sweet of 49 pearl st, attleboro, ma 02763.  The property was not part of the acquisition.  The property owner is e.  F.  Leach & company, 57 john dietsch square (Po box 200), north attleboro, ma 02761.  The company has continued to operate at the 57 john dietsch sq., north attleboro site as a unit of hallmark sweet.  Since the sale there have been several rounds of employee lay offs and closures of various production processes.  The remaining production lines and employees are being absorbed into the facility at 49 pearl st, attleboro, ma.  All production operations at 57 john dietsch sq., north attleboro will cease by july 1, 2008.	NO	DICK.SMITH@STERNLEACH.COM			NO	 	
70710SHWSS7012L	1307205937788	007439921	LEAD	PBT	2007	SHAW SSS FABRICATORS INC	6501 1ST ST	ADDIS	WEST BATON ROUGE PARISH	LA	70710			YES	NO	NO	NO								332996						30.360343	-91.263578									THE SHAW GROUP INC	180038382	The emission estimation methodology for ry07 was substantially different than that of ry06 regarding the estimation of lead emissions.  The facility submitted a new air permit application and received a new permit which reflects the new calculation methodology.	NO	KENNY.ZIRKLE@CBI.COM			YES	 	
46705TRNNC5HLTH	1307205939034	007439921	LEAD	PBT	2007	TRIN INC	803 HL THOMPSON JR DR	ASHLEY	DEKALB	IN	46705			YES	NO	NO	NO								336322						41.52074	-85.05972	293086806								TRAM INC	175204494	Trin sends all lead solder scrap to be recycled.  Currently developing a lead-Free soldering process to reduce and then eliminate lead from our assemblies.	NO	CBRYANT@TRAMGROUP.COM			YES	 	
32904MTRTK35EDR	1307205940582	007439921	LEAD	PBT	2007	METRETEK INC	305 E DR SUITE A	MELBOURNE	BREVARD	FL	32904			YES	NO	NO	NO								334418	517212	334519				28.10262	-80.688422											Metretek inc.'s use of tine-Lead as an manufacturing aid, in the manufacture of our printed circuit assembly process, was terminated during june of 2005.  The process we employed was a molten wave soldering operation to create mechanical connections, such as axial, and radial, leaded capicitors and resistors into through holes of printed circuit boards.  We still do utilize a small molten solder pot to tin small gauge wire bundles.	NO	JANIET@MERCURYINSTRUMENTSMLB.COM			YES	 	
95605FFYMT890EM	1307205958895	000075058	ACETONITRILE	TRI	2007	AFFYMETRIX	890 EMBARCADERO DR	WEST SACRAMENTO	YOLO	CA	95605			YES	NO	NO	NO								334516						38.58664	-121.56344	804682573										RELOCATING OPERATIONS TO SINGAPORE	NO	JUSTIN_O'KELLY@AFFYMETRIX.COM			NO	 	
