TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10-18-2012	
24701FSRCNRTE29	1311209682590	000094360	BENZOYL PEROXIDE	TRI	Pounds																		2011	NO	MINOVA USA INC	394 SHOTT CT	BLUEFIELD	MERCER	WV	24701	YES	NO	NO	NO								325991						37.292613	-81.098178	083967885								MINOVA HOLDING INC	130382588	0		NA												NO	LEO.HICKAM@MINOVAINT.COM			NO	 	
24701FSRCNRTE29	1311209682602	000100425	STYRENE	TRI	Pounds																		2011	NO	MINOVA USA INC	394 SHOTT CT	BLUEFIELD	MERCER	WV	24701	YES	NO	NO	NO								325991						37.292613	-81.098178	083967885								MINOVA HOLDING INC	130382588	0		NA												NO	LEO.HICKAM@MINOVAINT.COM			NO	 	
26287KNGSFPOBOX	1311209141441	000067561	METHANOL	TRI	Pounds																		2011	NO	KINGSFORD MANUFACTURING CO	S RT 219	PARSONS	TUCKER	WV	26287	YES	NO	NO	NO								325191						39.078333	-79.690278	074982778								THE CLOROX CO	009138003	0		NA												NO	CAREY.PRESTON@CLOROX.COM			NO	 	
26287KNGSFPOBOX	1311209141439	N420	LEAD COMPOUNDS	PBT	Pounds																		2011	NO	KINGSFORD MANUFACTURING CO	S RT 219	PARSONS	TUCKER	WV	26287	YES	NO	NO	NO								325191						39.078333	-79.690278	074982778								THE CLOROX CO	009138003	0		NA												NO	CAREY.PRESTON@CLOROX.COM			YES	 	
26287KNGSFPOBOX	1311209141466	N511	NITRATE COMPOUNDS	TRI	Pounds																		2011	NO	KINGSFORD MANUFACTURING CO	S RT 219	PARSONS	TUCKER	WV	26287	YES	NO	NO	NO								325191						39.078333	-79.690278	074982778								THE CLOROX CO	009138003	0		NA												NO	CAREY.PRESTON@CLOROX.COM			NO	 	
26181BRGWRSTATE	1311209164540	000080159	CUMENE HYDROPEROXIDE	TRI	Pounds																		2011	NO	SABIC INNOVATIVE PLASTICS US LLC	9226 DUPONT RD	WASHINGTON	WOOD	WV	26181	YES	NO	NO	NO								325211						39.259955	-81.679295	065007205								SABIC INNOVATIVE PLASTICS US LLC	799533617	0		NA												NO	MIKE.BOSTAPH@SABIC-IP.COM			NO	 	
26181BRGWRSTATE	1311209164577	000100425	STYRENE	TRI	Pounds																		2011	NO	SABIC INNOVATIVE PLASTICS US LLC	9226 DUPONT RD	WASHINGTON	WOOD	WV	26181	YES	NO	NO	NO								325211						39.259955	-81.679295	065007205								SABIC INNOVATIVE PLASTICS US LLC	799533617	0		NA												NO	MIKE.BOSTAPH@SABIC-IP.COM			NO	 	
26181BRGWRSTATE	1311209164565	N511	NITRATE COMPOUNDS	TRI	Pounds																		2011	NO	SABIC INNOVATIVE PLASTICS US LLC	9226 DUPONT RD	WASHINGTON	WOOD	WV	26181	YES	NO	NO	NO								325211						39.259955	-81.679295	065007205								SABIC INNOVATIVE PLASTICS US LLC	799533617	0		NA												NO	MIKE.BOSTAPH@SABIC-IP.COM			NO	 	
26181BRGWRSTATE	1311209164553	000080626	METHYL METHACRYLATE	TRI	Pounds																		2011	NO	SABIC INNOVATIVE PLASTICS US LLC	9226 DUPONT RD	WASHINGTON	WOOD	WV	26181	YES	NO	NO	NO								325211						39.259955	-81.679295	065007205								SABIC INNOVATIVE PLASTICS US LLC	799533617	0		NA												NO	MIKE.BOSTAPH@SABIC-IP.COM			NO	 	
26181BRGWRSTATE	1311209164538	000141322	BUTYL ACRYLATE	TRI	Pounds																		2011	NO	SABIC INNOVATIVE PLASTICS US LLC	9226 DUPONT RD	WASHINGTON	WOOD	WV	26181	YES	NO	NO	NO								325211						39.259955	-81.679295	065007205								SABIC INNOVATIVE PLASTICS US LLC	799533617	0		NA												NO	MIKE.BOSTAPH@SABIC-IP.COM			NO	 	
