TRIFID	DOCUMENT CONTROL NUMBER	CAS NUMBER	CHEMICAL NAME	CLASSIFICATION	UNIT OF MEASURE	DIOXIN DISTRIBUTION 1	DIOXIN DISTRIBUTION 2	DIOXIN DISTRIBUTION 3	DIOXIN DISTRIBUTION 4	DIOXIN DISTRIBUTION 5	DIOXIN DISTRIBUTION 6	DIOXIN DISTRIBUTION 7	DIOXIN DISTRIBUTION 8	DIOXIN DISTRIBUTION 9	DIOXIN DISTRIBUTION 10	DIOXIN DISTRIBUTION 11	DIOXIN DISTRIBUTION 12	DIOXIN DISTRIBUTION 13	DIOXIN DISTRIBUTION 14	DIOXIN DISTRIBUTION 15	DIOXIN DISTRIBUTION 16	DIOXIN DISTRIBUTION 17	REPORTING YEAR	TRADE SECRET INDICATOR	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	TOTAL POTW TRANSFERS	BASIS OF ESTIMATE FOR POTWS	POTW A - NAME	POTW A - ADDRESS	POTW A - CITY	POTW A - STATE	POTW A - COUNTY	POTW A - ZIP	POTW B - NAME	POTW B - ADDRESS	POTW B - CITY	POTW B - STATE	POTW B - COUNTY	POTW B - ZIP	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	REVISION CODE 1	REVISION CODE 2	METAL INDICATOR	10-18-2012	
80204NTDST320WE	1311209040462	007440508	COPPER	TRI	Pounds																		2011	NO	US DEPARTMENT OF THE TREASURY US MINT DENVER	320 W COLFAX AVE	DENVER	DENVER	CO	802042693	YES	NO	YES	NO								332116						39.74001	-104.99278									US DEPARTMENT OF THE TREASURY		8.62	M2	METRO WASTEWATER DISTRICT	6450 YORK ST.	DENVER	CO	DENVER	80229							YES	TOM.JURKOWSKY@USMINT.TREAS.GOV			YES	 	
80204NTDST320WE	1311209040500	007440020	NICKEL	TRI	Pounds																		2011	NO	US DEPARTMENT OF THE TREASURY US MINT DENVER	320 W COLFAX AVE	DENVER	DENVER	CO	802042693	YES	NO	YES	NO								332116						39.74001	-104.99278									US DEPARTMENT OF THE TREASURY		24.17	M1	METRO WASTEWATER DISTRICT	6450 YORK ST.	DENVER	CO	DENVER	80229							YES	TOM.JURKOWSKY@USMINT.TREAS.GOV			YES	 	
80204NTDST320WE	1311209040486	007439921	LEAD	TRI	Pounds																		2011	NO	US DEPARTMENT OF THE TREASURY US MINT DENVER	320 W COLFAX AVE	DENVER	DENVER	CO	802042693	YES	NO	YES	NO								332116						39.74001	-104.99278									US DEPARTMENT OF THE TREASURY		.01	M2	METRO WASTEWATER DISTRICT	6450 YORK ST.	DENVER	CO	DENVER	80229							YES	TOM.JURKOWSKY@USMINT.TREAS.GOV			YES	 	
80204NTDST320WE	1311209040498	007439965	MANGANESE	TRI	Pounds																		2011	NO	US DEPARTMENT OF THE TREASURY US MINT DENVER	320 W COLFAX AVE	DENVER	DENVER	CO	802042693	YES	NO	YES	NO								332116						39.74001	-104.99278									US DEPARTMENT OF THE TREASURY		85.52	M1	METRO WASTEWATER DISTRICT	6450 YORK ST.	DENVER	CO	DENVER	80229							YES	TOM.JURKOWSKY@USMINT.TREAS.GOV			YES	 	
62222SCTTR701HA	1311209417587	007782505	CHLORINE	TRI	Pounds																		2011	NO	U S DOD USAF SCOTT AFB	701 HANGAR RD 375 CES/CEAN	SCOTT AFB	ST CLAIR	IL	62225	YES	NO	YES	NO								928110						38.53842	-89.85972			IL7570024177		ILR002659	IL0026859			US DEPARTMENT OF DEFENSE		0		NA												YES	CHRISTINE.SPARGUR@SCOTT.AF.MIL			NO	 	
96863SMRNCMAGAZ	1311209061454	N511	NITRATE COMPOUNDS	TRI	Pounds																		2011	NO	US MARINE CORPS BASE HAWAII	MARINE CORPS BASE HAWAII MOKAPU RD BUILDING 1360	MCBH KANEOHE BAY	HONOLULU	HI	96863	NO	YES	YES	NO								928110						21.353056	-157.728611			HI6170022762		HI0110078				US DEPARTMENT OF DEFENSE		0		NA												YES	DEREK.GEORGE@USMC.MIL			NO	 	
96863SMRNCMAGAZ	1311209061478	007439921	LEAD	TRI	Pounds																		2011	NO	US MARINE CORPS BASE HAWAII	MARINE CORPS BASE HAWAII MOKAPU RD BUILDING 1360	MCBH KANEOHE BAY	HONOLULU	HI	96863	NO	YES	YES	NO								928110						21.353056	-157.728611			HI6170022762		HI0110078				US DEPARTMENT OF DEFENSE		0		NA												YES	DEREK.GEORGE@USMC.MIL			YES	 	
70645SDPRT1450B	1311209035575	000071432	BENZENE	TRI	Pounds																		2011	NO	US DOE WEST HACKBERRY SPR SITE	1450 BLACK LAKE RD	HACKBERRY	CAMERON	LA	70645	YES	NO	YES	NO								424710						29.993889	-93.403889									US DEPARTMENT OF ENERGY		0		NA												YES	JERRY.PACKARD@SPR.DOE.GOV			NO	 	
70645SDPRT1450B	1311209035587	000110543	N-HEXANE	TRI	Pounds																		2011	NO	US DOE WEST HACKBERRY SPR SITE	1450 BLACK LAKE RD	HACKBERRY	CAMERON	LA	70645	YES	NO	YES	NO								424710						29.993889	-93.403889									US DEPARTMENT OF ENERGY		0		NA												YES	JERRY.PACKARD@SPR.DOE.GOV			NO	 	
88210STRSR1300W	1311209778644	007440508	COPPER	TRI	Pounds																		2011	NO	US DHS FEDERAL LAW ENFORCEMENT TRAINING CENTER ARTESIA	1300 W RICHEY BLDG 25	ARTESIA	EDDY	NM	88210	YES	NO	YES	NO								928110						32.85714	-104.41274									US DEPARTMENT OF HOMELAND SECURITY		0		NA												YES	JIMMY.HATFIELD@DHS.GOV			YES	 	
